Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Dušan Vlahović,SRB,FW,Juventus,22,2000,4.6,1,15,7,46.7,3.28,1.53,0.07,0.14,11.8,0,0,0,2.6,2.6,0.20,-1.6,-1.6
Adam Vlkanova,CZE,MF,Viktoria Plzeň,27,1994,5.1,1,10,3,30.0,1.97,0.59,0.10,0.33,19.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6
Stefan de Vrij,NED,DF,Inter,30,1992,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kyle Walker,ENG,"DF,FW",Manchester City,32,1990,3.1,0,1,0,0.0,0.32,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.03,0.0,0.0
Paul Wanner,GER,"DF,FW",Bayern Munich,16,2005,0.4,0,1,0,0.0,2.50,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Stephen Welsh,SCO,DF,Celtic,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Wendell,BRA,DF,Porto,29,1993,1.6,0,2,1,50.0,1.26,0.63,0.00,0.00,25.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Timo Werner,GER,FW,RB Leipzig,26,1996,5.6,2,13,6,46.2,2.34,1.08,0.15,0.33,12.5,0,0,0,2.4,2.4,0.19,-0.4,-0.4
Owen Wijndal,NED,DF,Ajax,22,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Josh Wilson-Esbrand,ENG,DF,Manchester City,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Axel Witsel,BEL,"DF,MF",Atlético Madrid,33,1989,5.1,0,1,0,0.0,0.19,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Maximilian Wöber,AUT,DF,RB Salzburg,24,1998,1.8,0,2,1,50.0,1.09,0.55,0.00,0.00,10.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Marius Wolf,GER,DF,Dortmund,27,1995,2.0,0,5,2,40.0,2.56,1.02,0.00,0.00,15.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Scott Wright,SCO,"FW,MF",Rangers,24,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roman Yaremchuk,UKR,FW,Club Brugge,26,1995,1.2,0,3,1,33.3,2.41,0.80,0.00,0.00,13.3,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Rıdvan Yılmaz,TUR,DF,Rangers,21,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,31.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Warren Zaïre-Emery,FRA,MF,Paris S-G,16,2006,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Denis Zakaria,SUI,MF,Chelsea,25,1996,0.8,1,1,1,100.0,1.22,1.22,1.00,1.00,16.4,0,0,0,0.1,0.1,0.13,+0.9,+0.9
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,26,1995,7.2,1,9,2,22.2,1.25,0.28,0.11,0.50,18.5,0,0,0,0.8,0.8,0.09,+0.2,+0.2
Alessandro Zanoli,ITA,DF,Napoli,21,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zeca,GRE,MF,FC Copenhagen,33,1988,1.8,0,2,0,0.0,1.12,0.00,0.00,,30.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Alessio Zerbin,ITA,FW,Napoli,23,1999,0.6,0,2,2,100.0,3.21,3.21,0.00,0.00,26.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Piotr Zieliński,POL,MF,Napoli,28,1994,6.9,4,14,8,57.1,2.04,1.16,0.14,0.25,21.3,0,2,3,3.9,1.7,0.12,+0.1,+0.3
Hakim Ziyech,MAR,"FW,MF",Chelsea,29,1993,1.6,0,12,5,41.7,7.30,3.04,0.00,0.00,21.1,3,0,0,0.6,0.6,0.05,-0.6,-0.6
Oleksandr Zubkov,UKR,"FW,MF",Shakhtar,25,1996,4.1,2,8,3,37.5,1.97,0.74,0.25,0.67,17.2,0,0,0,1.0,1.0,0.13,+1.0,+1.0
Neven Đurasek,CRO,MF,Shakhtar,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
