Player,Nation,Pos,Squad,Comp,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,34-263,1990,3.0,6,1,0,0,0,6.7,0.26,+0.7,+0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.00,11.1
Sam Johnstone,ENG,GK,Wolves,Premier League,31-206,1993,5.0,13,2,0,3,0,11.6,0.32,-1.4,-0.29,35,89,39.3,186,22,42.5,35.3,19,52.6,42.0,74,4,5.4,6,1.20,12.6
Jesse Joronen,FIN,GK,Venezia,Serie A,31-210,1993,7.0,12,3,0,3,2,10.1,0.22,+0.1,+0.02,17,72,23.6,234,45,26.5,30.5,38,26.3,34.4,116,6,5.2,5,0.71,10.0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,25-329,1998,1.0,0,0,0,0,0,1.5,0.25,+1.5,+1.53,3,6,50.0,44,8,13.6,21.2,0,,,17,1,5.9,0,0.00,10.0
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,26-316,1997,6.0,11,2,0,2,0,9.2,0.29,-1.8,-0.31,17,46,37.0,234,25,16.2,24.8,18,44.4,39.1,87,3,3.4,10,1.67,16.0
Philipp Köhn,SUI,GK,Monaco,Ligue 1,26-198,1998,7.0,4,1,0,0,0,4.1,0.18,+0.1,+0.01,22,64,34.4,153,22,28.8,31.4,44,45.5,38.2,80,6,7.5,8,1.14,14.1
Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24-153,2000,1.0,3,0,0,0,0,1.3,0.33,-1.7,-1.69,4,5,80.0,24,1,20.8,28.1,1,0.0,14.0,6,0,0.0,3,3.00,20.2
Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,25-007,1999,6.0,15,1,0,1,0,10.9,0.35,-4.1,-0.68,33,80,41.3,153,33,35.3,33.8,33,78.8,52.8,79,3,3.8,6,1.00,13.2
Alban Lafont,FRA,GK,Nantes,Ligue 1,25-268,1999,7.0,8,2,0,2,1,6.0,0.18,-1.0,-0.14,21,70,30.0,138,32,30.4,33.6,41,68.3,51.4,127,8,6.3,1,0.14,8.9
Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27-237,1997,7.0,18,4,0,2,1,14.5,0.31,-2.5,-0.35,37,123,30.1,206,26,43.2,36.8,46,73.9,49.9,124,6,4.8,7,1.00,13.7
