Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Raul Oprut,ROU,DF,Kortrijk,25,1998,3,129,43,4.8,1.4,2,51,0,1,28,3,0.00,0,6,-6,-4.19,-3.17,0.9,4.1,-3.1,-2.20,-1.28
Gift Orban,NGA,"FW,MF",Gent,21,2002,17,830,49,30.7,9.2,9,74,3,8,20,2,1.82,19,11,+8,+0.87,+0.53,15.7,12.8,+2.9,+0.32,+0.12
Joel Ordóñez,ECU,DF,Club Brugge,19,2004,9,472,52,17.5,5.2,6,75,3,3,8,6,2.32,9,4,+5,+0.95,-0.18,9.9,5.0,+4.8,+0.92,-0.25
Zakaria El Ouahdi,MAR,DF,Genk,21,2001,13,"1,062",82,39.3,11.8,12,86,7,1,26,2,1.33,13,11,+2,+0.17,-0.82,18.0,12.5,+5.5,+0.47,-0.66
Zakaria El Ouahdi,MAR,DF,RWD Molenbeek,21,2001,5,429,86,15.9,4.8,5,86,4,0,,0,1.40,5,13,-8,-1.68,-0.57,6.5,9.1,-2.5,-0.53,+0.64
Aziz Ouattara,CIV,MF,Genk,22,2001,8,285,36,10.6,3.2,3,74,1,5,12,6,1.75,3,2,+1,+0.32,-0.39,5.1,2.8,+2.4,+0.75,-0.13
Kader Ouattara,BFA,"FW,MF",Cercle Brugge,18,2005,4,44,11,1.6,0.5,0,,0,4,11,4,1.86,0,2,-2,-4.09,-4.50,0.8,2.3,-1.5,-3.05,-3.49
Luca Oyen,BEL,"FW,MF",Genk,20,2003,15,635,42,23.5,7.1,8,67,1,7,14,6,1.67,7,8,-1,-0.14,-1.06,12.7,8.7,+4.0,+0.57,-0.38
Valentine Ozornwafor,NGA,DF,Charleroi,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Rune Paeshuyse,BEL,DF,Eupen,21,2002,27,"2,272",84,84.1,25.2,26,87,20,1,21,2,0.93,24,46,-22,-0.87,+1.65,23.3,50.7,-27.4,-1.09,-0.85
Joseph Paintsil,GHA,FW,Genk,25,1998,23,"1,782",77,66.0,19.8,21,81,6,2,38,0,1.43,35,20,+15,+0.76,+0.27,39.3,21.3,+18.0,+0.91,+0.13
Victor Pálsson,ISL,DF,Eupen,32,1991,30,"2,700",90,100.0,30.0,30,90,30,0,,0,0.71,24,58,-34,-1.13,,28.9,57.5,-28.6,-0.95,
