Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Martin Erlic,CRO,DF,Bologna,26-264,1998,4,3,221,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,https://fbref.com/fr/joueurs/0fee6bda/Martin-Erlic
Sebastiano Esposito,ITA,"AT,MT",Empoli,22-104,2002,7,5,453,5.0,2,0,2,2,0,0,0,0,1.0,1.0,0.2,1.2,11,14,12,0.40,0.00,0.40,0.40,0.40,0.20,0.04,0.24,0.20,0.24,https://fbref.com/fr/joueurs/7ff93107/Sebastiano-Esposito
Nahuel Estévez,ARG,MT,Parma,28-335,1995,2,2,163,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,https://fbref.com/fr/joueurs/cec60a2f/Nahuel-Estevez
Giovanni Fabbian,ITA,MT,Bologna,21-274,2003,6,3,300,3.3,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,5,4,7,0.30,0.00,0.30,0.30,0.30,0.24,0.03,0.27,0.24,0.27,https://fbref.com/fr/joueurs/f97f9188/Giovanni-Fabbian
Alieu Fadera,GAM,"AT,MT",Como,22-346,2001,5,4,317,3.5,1,1,2,1,0,0,0,0,0.5,0.5,0.1,0.6,17,5,29,0.28,0.28,0.57,0.28,0.57,0.13,0.04,0.17,0.13,0.17,https://fbref.com/fr/joueurs/53210e42/Alieu-Fadera
Nicolò Fagioli,ITA,MT,Juventus,23-245,2001,6,3,339,3.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,14,26,13,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,https://fbref.com/fr/joueurs/366be751/Nicolo-Fagioli
Wladimiro Falcone,ITA,GB,Lecce,29-185,1995,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/9f5a610b/Wladimiro-Falcone
Davide Faraoni,ITA,"MT,DF",Hellas Verona,32-355,1991,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/aae9d04a/Davide-Faraoni
Jacopo Fazzini,ITA,MT,Empoli,21-212,2003,4,4,301,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,8,15,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,https://fbref.com/fr/joueurs/06b08c45/Jacopo-Fazzini
Mattia Felici,ITA,DF,Cagliari,23-180,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,https://fbref.com/fr/joueurs/38aa2612/Mattia-Felici
Youssouf Fofana,FRA,MT,Milan,25-278,1999,6,5,434,4.8,1,0,1,1,0,0,2,0,0.1,0.1,0.0,0.1,5,28,3,0.21,0.00,0.21,0.21,0.21,0.03,0.00,0.03,0.03,0.03,https://fbref.com/fr/joueurs/822d51d7/Youssouf-Fofana
Michael Folorunsho,ITA,AT,Napoli,26-250,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c391a179/Michael-Folorunsho
Omari Forson,ENG,"MT,AT",Monza,20-086,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/1b9728b0/Omari-Forson
Davide Frattesi,ITA,MT,Inter,24-358,1999,7,3,348,3.9,1,1,2,1,0,0,0,0,1.3,1.3,0.7,2.0,9,10,6,0.26,0.26,0.52,0.26,0.52,0.32,0.19,0.51,0.32,0.51,https://fbref.com/fr/joueurs/2a7d27c1/Davide-Frattesi
Morten Frendrup,DEN,MT,Genoa,23-190,2001,6,6,521,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,16,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/f4d60499/Morten-Frendrup
Martin Frese,DEN,DF,Hellas Verona,26-284,1998,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/fr/joueurs/b910e9c0/Martin-Frese
Remo Freuler,SUI,MT,Bologna,32-182,1992,7,7,630,7.0,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5,10,55,10,0.00,0.14,0.14,0.00,0.14,0.00,0.08,0.08,0.00,0.08,https://fbref.com/fr/joueurs/98d2c2c4/Remo-Freuler
Matteo Gabbia,ITA,DF,Milan,24-359,1999,4,4,360,4.0,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,5,18,1,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.13,0.10,0.13,https://fbref.com/fr/joueurs/c235e803/Matteo-Gabbia
Alessandro Gabrielloni,ITA,"AT,MT",Como,30-096,1994,4,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,1,6,0.00,0.00,0.00,0.00,0.00,0.18,0.24,0.42,0.18,0.42,https://fbref.com/fr/joueurs/181cb492/Alessandro-Gabrielloni
Gianluca Gaetano,ITA,"MT,AT",Cagliari,24-162,2000,4,1,139,1.5,0,1,1,0,0,0,0,0,1.8,1.8,0.3,2.1,2,7,11,0.00,0.65,0.65,0.00,0.65,1.15,0.21,1.35,1.15,1.35,https://fbref.com/fr/joueurs/3b387cc7/Gianluca-Gaetano
Roberto Gagliardini,ITA,"MT,DF",Monza,30-190,1994,3,0,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,https://fbref.com/fr/joueurs/ce30bfc8/Roberto-Gagliardini
Antonino Gallo,ITA,DF,Lecce,24-283,2000,7,7,625,6.9,0,0,0,0,0,0,1,0,0.1,0.1,1.1,1.2,16,31,20,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18,https://fbref.com/fr/joueurs/c74d63ac/Antonino-Gallo
Federico Gatti,ITA,DF,Juventus,26-112,1998,5,5,444,4.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/18dd3219/Federico-Gatti
David de Gea,ESP,GB,Fiorentina,33-342,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/7ba6d84e/David-de-Gea
