Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Georges Mikautadze,GEO,AT,Lyon,23-349,2000,7,3,347,3.9,0,0,0,0,0,1,0,0,2.6,1.7,0.1,1.8,9,18,40,0.00,0.00,0.00,0.00,0.00,0.67,0.02,0.69,0.44,0.46,https://fbref.com/fr/joueurs/4788cb6b/Georges-Mikautadze
Takumi Minamino,JPN,MT,Monaco,29-272,1995,6,5,442,4.9,1,1,2,1,0,0,1,0,1.1,1.1,2.2,3.3,5,20,26,0.20,0.20,0.41,0.20,0.41,0.22,0.44,0.66,0.22,0.66,https://fbref.com/fr/joueurs/f833a830/Takumi-Minamino
Lucas Mincarelli,FRA,DF,Montpellier,20-283,2004,3,3,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,11,10,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,https://fbref.com/fr/joueurs/02b3733e/Lucas-Mincarelli
Mostafa Mohamed,EGY,"AT,MT",Nantes,26-321,1997,6,0,114,1.3,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.8,3,4,8,0.79,0.00,0.79,0.79,0.79,0.51,0.09,0.60,0.51,0.60,https://fbref.com/fr/joueurs/595e6f3e/Mostafa-Mohamed
Florent Mollet,FRA,"MT,AT",Nantes,32-330,1991,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,1,0.00,0.00,0.00,0.00,0.00,0.42,0.25,0.68,0.42,0.68,https://fbref.com/fr/joueurs/7e82a78f/Florent-Mollet
Diego Moreira,POR,"DF,AT",Strasbourg,20-069,2004,7,5,466,5.2,1,1,2,1,0,0,1,0,0.3,0.3,1.2,1.5,17,16,29,0.19,0.19,0.39,0.19,0.39,0.06,0.22,0.29,0.06,0.29,https://fbref.com/fr/joueurs/12de1b0d/Diego-Moreira
Aimen Moueffek,FRA,MT,Saint-Étienne,23-188,2001,5,4,308,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,https://fbref.com/fr/joueurs/2591b066/Aimen-Moueffek
Youssoufa Moukoko,GER,"AT,MT",Nice,19-329,2004,4,1,111,1.2,2,1,3,2,0,0,0,0,2.2,2.2,0.6,2.7,0,1,8,1.62,0.81,2.43,1.62,2.43,1.73,0.44,2.17,1.73,2.17,https://fbref.com/fr/joueurs/6ce43701/Youssoufa-Moukoko
Louis Mouton,FRA,"MT,DF",Saint-Étienne,22-133,2002,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.24,0.03,0.24,https://fbref.com/fr/joueurs/c37823fe/Louis-Mouton
Ngal'Ayel Mukau,,MT,Lille,19-319,2004,3,1,130,1.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,15,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,https://fbref.com/fr/joueurs/bb461b8a/NgalAyel-Mukau
Marshall Munetsi,ZIM,MT,Reims,28-114,1996,7,7,623,6.9,3,0,3,3,0,0,2,0,2.7,2.7,0.2,2.8,5,12,19,0.43,0.00,0.43,0.43,0.43,0.38,0.02,0.41,0.38,0.41,https://fbref.com/fr/joueurs/2acf0cd7/Marshall-Munetsi
Junior Mwanga,FRA,MT,Strasbourg,21-156,2003,5,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/ee158be5/Junior-Mwanga
Mickael Nade,FRA,DF,Saint-Étienne,25-224,1999,3,2,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/a6b6fa6e/Mickael-Nade
Mahamadou Nagida,CMR,"MT,DF",Rennes,19-108,2005,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,7,3,3,0.00,0.00,0.00,0.00,0.00,0.08,0.34,0.42,0.08,0.42,https://fbref.com/fr/joueurs/8bfbf257/Mahamadou-Nagida
Keito Nakamura,JPN,AT,Reims,24-078,2000,7,6,483,5.4,4,1,5,4,0,0,1,0,1.3,1.3,0.7,2.0,16,17,37,0.75,0.19,0.93,0.75,0.93,0.24,0.14,0.37,0.24,0.37,https://fbref.com/fr/joueurs/d97af612/Keito-Nakamura
Sebastian Nanasi,SWE,"AT,MT",Strasbourg,22-151,2002,6,5,405,4.5,3,2,5,3,0,0,0,0,2.8,2.8,1.3,4.1,13,21,20,0.67,0.44,1.11,0.67,1.11,0.63,0.29,0.92,0.63,0.92,https://fbref.com/fr/joueurs/ce747d2a/Sebastian-Nanasi
Youssouf Ndayishimiye,BDI,DF,Nice,25-353,1998,6,5,417,4.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,6,17,3,0.22,0.00,0.22,0.22,0.22,0.04,0.01,0.05,0.04,0.05,https://fbref.com/fr/joueurs/65c55288/Youssouf-Ndayishimiye
Rassoul Ndiaye,SEN,MT,Le Havre,22-308,2001,6,4,301,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,0,9,7,0.30,0.00,0.30,0.30,0.30,0.29,0.07,0.36,0.29,0.36,https://fbref.com/fr/joueurs/36f65bdf/Rassoul-Ndiaye
Tanguy Ndombele,FRA,MT,Nice,27-291,1996,6,6,514,5.7,1,1,2,1,0,0,0,0,0.4,0.4,1.3,1.6,8,28,12,0.18,0.18,0.35,0.18,0.35,0.07,0.22,0.29,0.07,0.29,https://fbref.com/fr/joueurs/5cdddffa/Tanguy-Ndombele
Loïc Nego,HUN,"DF,AT",Le Havre,33-273,1991,7,6,520,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,14,18,36,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,https://fbref.com/fr/joueurs/c3b6fa1e/Loic-Nego
João Neves,POR,MT,Paris S-G,20-017,2004,7,6,525,5.8,0,5,5,0,0,0,0,0,0.5,0.5,1.8,2.3,13,47,26,0.00,0.86,0.86,0.00,0.86,0.08,0.31,0.40,0.08,0.40,https://fbref.com/fr/joueurs/c2a15a27/Joao-Neves
Mikayil Ngor Faye,SEN,DF,Rennes,20-092,2004,2,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,4,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,https://fbref.com/fr/joueurs/b37ae816/Mikayil-Ngor-Faye
Steve Ngoura,FRA,AT,Le Havre,19-235,2005,3,0,60,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0,1,4,0.00,0.00,0.00,0.00,0.00,0.45,0.34,0.79,0.45,0.79,https://fbref.com/fr/joueurs/731f1f5a/Steve-Ngoura
Moussa Niakhate,SEN,DF,Lyon,28-220,1996,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,13,2,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,https://fbref.com/fr/joueurs/00242715/Moussa-Niakhate
Abdoulaye Niakhate Ndiaye,SEN,DF,Brest,22-187,2002,2,2,146,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,https://fbref.com/fr/joueurs/b8cd2ae4/Abdoulaye-Niakhate-Ndiaye
Ibrahima Niane,SEN,"AT,MT",Angers,25-217,1999,4,1,111,1.2,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.0,3,1,9,0.00,0.00,0.00,0.00,0.00,0.78,0.06,0.85,0.78,0.85,https://fbref.com/fr/joueurs/46faabfa/Ibrahima-Niane
Rasmus Nicolaisen,DEN,DF,Toulouse,27-212,1997,7,7,623,6.9,0,1,1,0,0,0,0,0,0.4,0.4,0.2,0.7,3,27,2,0.00,0.14,0.14,0.00,0.14,0.06,0.03,0.10,0.06,0.10,https://fbref.com/fr/joueurs/3f319bb9/Rasmus-Nicolaisen
Arnaud Nordin,FRA,AT,Montpellier,26-119,1998,6,6,497,5.5,2,0,2,2,0,0,1,0,0.6,0.6,0.3,1.0,18,11,52,0.36,0.00,0.36,0.36,0.36,0.11,0.06,0.18,0.11,0.18,https://fbref.com/fr/joueurs/7b9a9e25/Arnaud-Nordin
Ernest Nuamah,GHA,"AT,DF",Lyon,20-348,2003,4,2,133,1.5,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,11,7,17,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,https://fbref.com/fr/joueurs/234a703c/Ernest-Nuamah
Rabby Nzingoula,CGO,MT,Montpellier,18-324,2005,4,3,293,3.3,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,6,9,11,0.31,0.00,0.31,0.31,0.31,0.16,0.00,0.16,0.16,0.16,https://fbref.com/fr/joueurs/627c7a3d/Rabby-Nzingoula
M'Bala Nzola,ANG,AT,Lens,28-057,1996,3,2,202,2.2,2,0,2,2,0,0,1,0,1.6,1.6,0.3,1.8,4,1,19,0.89,0.00,0.89,0.89,0.89,0.70,0.12,0.82,0.70,0.82,https://fbref.com/fr/joueurs/a4948e67/MBala-Nzola
Marwann Nzuzi,FRA,DF,Saint-Étienne,20-151,2004,2,2,125,1.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,2,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,https://fbref.com/fr/joueurs/165787d9/Marwann-Nzuzi
Hamzat Ojediran,NGA,MT,Lens,20-335,2003,3,0,105,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,1,6,0,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23,https://fbref.com/fr/joueurs/25124a21/Hamzat-Ojediran
Joseph Okumu,KEN,DF,Reims,27-141,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/039f1983/Joseph-Okumu
Ben Old,NZL,"MT,AT",Saint-Étienne,22-062,2002,6,4,376,4.2,0,0,0,0,0,0,0,0,0.8,0.8,0.7,1.5,10,7,19,0.00,0.00,0.00,0.00,0.00,0.20,0.16,0.36,0.20,0.36,https://fbref.com/fr/joueurs/e14e818c/Ben-Old
Becir Omeragic,SUI,DF,Montpellier,22-268,2002,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c284d6fb/Becir-Omeragic
