Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Leonardo Balerdi,ARG,DF,Marseille,25-262,1999,4,4,274,3.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,14,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,https://fbref.com/fr/joueurs/7c3ed041/Leonardo-Balerdi
Folarin Balogun,USA,AT,Monaco,23-103,2001,6,5,402,4.5,3,0,3,3,0,0,0,0,3.7,3.7,0.6,4.3,12,8,50,0.67,0.00,0.67,0.67,0.67,0.83,0.14,0.97,0.83,0.97,https://fbref.com/fr/joueurs/31822f8c/Folarin-Balogun
Abdoulaye Bamba,CIV,DF,Angers,34-172,1990,3,3,242,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/fr/joueurs/7fecbcdb/Abdoulaye-Bamba
Bradley Barcola,FRA,AT,Paris S-G,22-042,2002,7,6,464,5.2,6,0,6,6,0,0,0,0,3.6,3.6,1.1,4.7,30,14,69,1.16,0.00,1.16,1.16,1.16,0.71,0.21,0.92,0.71,0.92,https://fbref.com/fr/joueurs/a0d55a09/Bradley-Barcola
Melvin Bard,FRA,"MT,DF",Nice,23-343,2000,4,4,332,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,14,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,https://fbref.com/fr/joueurs/1ddbc7ca/Melvin-Bard
Gabriel Bares,SUI,MT,Montpellier,24-046,2000,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/5475a510/Gabriel-Bares
Dylan Batubinsika,COD,DF,Saint-Étienne,28-242,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,13,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,https://fbref.com/fr/joueurs/37d39918/Dylan-Batubinsika
Haris Belkebla,ALG,MT,Angers,30-260,1994,4,4,349,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/fr/joueurs/2b1bed19/Haris-Belkebla
Yassin Belkhdim,FRA,MT,Angers,22-243,2002,7,3,284,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,6,6,11,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,https://fbref.com/fr/joueurs/e21d1928/Yassin-Belkhdim
Eliesse Ben Seghir,MAR,"MT,AT",Monaco,19-241,2005,7,6,463,5.1,2,2,4,2,0,0,0,0,1.0,1.0,2.2,3.1,34,34,44,0.39,0.39,0.78,0.39,0.78,0.19,0.42,0.61,0.19,0.61,https://fbref.com/fr/joueurs/3bd65247/Eliesse-Ben-Seghir
Saïd Benrahma,ALG,"AT,MT",Lyon,29-065,1995,4,4,342,3.8,0,1,1,0,0,0,0,0,0.1,0.1,1.0,1.1,21,15,52,0.00,0.26,0.26,0.00,0.26,0.04,0.25,0.29,0.04,0.29,https://fbref.com/fr/joueurs/5a04fd92/Said-Benrahma
Lucas Beraldo,BRA,DF,Paris S-G,20-325,2003,5,5,442,4.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,https://fbref.com/fr/joueurs/b8aedf06/Lucas-Beraldo
Dimitry Bertaud,COD,GB,Montpellier,26-130,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/380a15e2/Dimitry-Bertaud
Emmanuel Biumla,FRA,DF,Angers,19-159,2005,5,4,373,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/e5a94f46/Emmanuel-Biumla
Marco Bizot,NED,GB,Brest,33-218,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/3d214e5f/Marco-Bizot
Ludovic Blas,FRA,"AT,MT",Rennes,26-288,1997,7,7,594,6.6,3,2,5,3,0,0,2,0,1.8,1.8,1.0,2.8,21,28,52,0.45,0.30,0.76,0.45,0.76,0.27,0.16,0.43,0.27,0.43,https://fbref.com/fr/joueurs/6191093d/Ludovic-Blas
Augustine Boakye,GHA,"MT,AT",Saint-Étienne,23-346,2000,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,https://fbref.com/fr/joueurs/59e9edb5/Augustine-Boakye
Jeremie Boga,CIV,"MT,AT",Nice,27-285,1997,4,3,247,2.7,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,16,0.00,0.36,0.36,0.00,0.36,0.13,0.14,0.27,0.13,0.27,https://fbref.com/fr/joueurs/fe012aca/Jeremie-Boga
Moïse Bombito,CAN,DF,Nice,24-198,2000,5,5,424,4.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/c2f23fc8/Moise-Bombito
Ayyoub Bouaddi,FRA,MT,Lille,17-012,2007,6,1,139,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,6,2,0.00,0.65,0.65,0.00,0.65,0.00,0.34,0.34,0.00,0.34,https://fbref.com/fr/joueurs/8006228f/Ayyoub-Bouaddi
Badredine Bouanani,ALG,"AT,MT",Nice,19-311,2004,7,2,260,2.9,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,10,10,20,0.00,0.00,0.00,0.00,0.00,0.25,0.10,0.35,0.25,0.35,https://fbref.com/fr/joueurs/0400dd2f/Badredine-Bouanani
Benjamin Bouchouari,MAR,MT,Saint-Étienne,22-336,2001,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,https://fbref.com/fr/joueurs/599f9013/Benjamin-Bouchouari
Hicham Boudaoui,ALG,MT,Nice,25-021,1999,5,5,449,5.0,1,1,2,1,0,0,2,0,0.5,0.5,0.5,0.9,12,27,11,0.20,0.20,0.40,0.20,0.40,0.09,0.09,0.19,0.09,0.19,https://fbref.com/fr/joueurs/f9d5908e/Hicham-Boudaoui
Benjamin Bourigeaud,FRA,MT,Rennes,30-274,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17,https://fbref.com/fr/joueurs/20e73fac/Benjamin-Bourigeaud
Bilal Brahimi,ALG,MT,Nice,24-214,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,https://fbref.com/fr/joueurs/02bcaf8e/Bilal-Brahimi
Lilian Brassier,FRA,DF,Marseille,24-347,1999,6,5,451,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,21,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/5b146df3/Lilian-Brassier
Aurélio Buta,POR,DF,Reims,27-247,1997,5,5,423,4.7,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,3,13,9,0.00,0.21,0.21,0.00,0.21,0.02,0.04,0.06,0.02,0.06,https://fbref.com/fr/joueurs/b4705807/Aurelio-Buta
Marcin Bułka,POL,GB,Nice,25-010,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/db87a2c4/Marcin-Bulka
Rémy Cabella,FRA,"MT,AT",Lille,34-220,1990,7,3,270,3.0,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.6,11,18,33,0.00,0.33,0.33,0.00,0.33,0.25,0.29,0.54,0.25,0.54,https://fbref.com/fr/joueurs/148e136f/Remy-Cabella
Mathieu Cafaro,FRA,"MT,AT",Saint-Étienne,27-203,1997,7,5,418,4.6,1,0,1,1,0,0,2,0,0.8,0.8,0.3,1.1,9,9,32,0.22,0.00,0.22,0.22,0.22,0.18,0.07,0.25,0.18,0.25,https://fbref.com/fr/joueurs/2a657da0/Mathieu-Cafaro
Duje Ćaleta-Car,CRO,DF,Lyon,28-027,1996,7,7,629,7.0,1,0,1,1,0,0,3,0,1.6,1.6,0.0,1.6,2,15,0,0.14,0.00,0.14,0.14,0.14,0.23,0.00,0.23,0.23,0.23,https://fbref.com/fr/joueurs/94f8d10c/Duje-Caleta-Car
Issiaga Camara,GUI,MT,Nice,19-255,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/9a34200f/Issiaga-Camara
Lamine Camara,SEN,MT,Monaco,20-287,2004,6,5,419,4.7,2,1,3,2,0,0,3,1,0.6,0.6,0.7,1.4,6,19,9,0.43,0.21,0.64,0.43,0.64,0.14,0.16,0.29,0.14,0.29,https://fbref.com/fr/joueurs/19c2ffa4/Lamine-Camara
Mahdi Camara,FRA,MT,Brest,26-106,1998,7,6,524,5.8,2,0,2,2,0,0,1,0,0.6,0.6,0.2,0.8,10,21,16,0.34,0.00,0.34,0.34,0.34,0.10,0.04,0.13,0.10,0.13,https://fbref.com/fr/joueurs/8577e60a/Mahdi-Camara
Axel Camblan,FRA,"MT,AT",Brest,21-045,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,https://fbref.com/fr/joueurs/9f4a940f/Axel-Camblan
Jaydee Canvot,FRA,DF,Toulouse,18-077,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/3684108d/Jaydee-Canvot
Pierrick Capelle,FRA,MT,Angers,37-182,1987,4,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/79b2399c/Pierrick-Capelle
Maxence Caqueret,FRA,MT,Lyon,24-242,2000,7,5,475,5.3,0,0,0,0,0,0,0,0,0.6,0.6,0.4,0.9,13,42,15,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,https://fbref.com/fr/joueurs/f81ef10d/Maxence-Caqueret
Valentin Carboni,ARG,"MT,AT",Marseille,19-223,2005,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,4,8,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,https://fbref.com/fr/joueurs/707b98f1/Valentin-Carboni
Josué Casimir,FRA,"AT,DF",Le Havre,23-020,2001,6,5,406,4.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,13,12,22,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.19,0.14,0.19,https://fbref.com/fr/joueurs/481f76cf/Josue-Casimir
Cristian Cásseres Jr.,VEN,MT,Toulouse,24-268,2000,7,6,510,5.7,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,5,31,5,0.00,0.18,0.18,0.00,0.18,0.04,0.03,0.08,0.04,0.08,https://fbref.com/fr/joueurs/f86fe8c1/Cristian-Casseres-Jr
Jean-Charles Castelletto,CMR,DF,Nantes,29-262,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,14,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/fr/joueurs/e0f3a1f6/Jean-Charles-Castelletto
