Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Player href
Tom Bischof,GER,MT,Hoffenheim,19-108,2005,4,3,250,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,12,8,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,https://fbref.com/fr/joueurs/07d3bfec/Tom-Bischof
Leonardo Bittencourt,GER,MT,Werder Bremen,30-300,1993,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,https://fbref.com/fr/joueurs/dc62fbee/Leonardo-Bittencourt
Myron Boadu,NED,AT,Bochum,23-274,2001,6,4,347,3.9,2,1,3,2,0,0,0,0,2.0,2.0,0.3,2.4,3,4,20,0.52,0.26,0.78,0.52,0.78,0.53,0.08,0.61,0.53,0.61,https://fbref.com/fr/joueurs/5b479568/Myron-Boadu
Sacha Boey,FRA,DF,Bayern Munich,24-031,2000,2,2,127,1.4,0,1,1,0,0,0,1,0,0.0,0.0,0.9,1.0,4,0,10,0.00,0.71,0.71,0.00,0.71,0.03,0.66,0.69,0.03,0.69,https://fbref.com/fr/joueurs/6c8ddd52/Sacha-Boey
Victor Boniface,NGA,AT,Leverkusen,23-296,2000,6,5,411,4.6,4,1,5,4,0,0,1,0,3.0,3.0,0.8,3.8,11,9,26,0.88,0.22,1.09,0.88,1.09,0.65,0.18,0.83,0.65,0.83,https://fbref.com/fr/joueurs/b146275b/Victor-Boniface
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25-206,1999,6,6,540,6.0,2,0,2,2,0,0,1,0,0.6,0.6,0.0,0.6,0,8,1,0.33,0.00,0.33,0.33,0.33,0.10,0.00,0.10,0.10,0.10,https://fbref.com/fr/joueurs/01834aa0/Sebastiaan-Bornauw
Carlo Boukhalfa,MAR,MT,St. Pauli,25-164,1999,5,3,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,6,7,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,https://fbref.com/fr/joueurs/1a86f4a9/Carlo-Boukhalfa
Julian Brandt,GER,MT,Dortmund,28-165,1996,6,6,472,5.2,0,3,3,0,0,0,0,0,0.8,0.8,1.2,2.0,20,38,43,0.00,0.57,0.57,0.00,0.57,0.15,0.23,0.38,0.15,0.38,https://fbref.com/fr/joueurs/a167537f/Julian-Brandt
Tim Breithaupt,GER,MT,Augsburg,22-250,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.00,0.75,0.75,0.00,0.75,0.04,0.29,0.33,0.04,0.33,https://fbref.com/fr/joueurs/ed98c321/Tim-Breithaupt
Maximilian Breunig,GER,"AT,MT",Heidenheim,24-061,2000,6,2,225,2.5,2,0,2,1,1,1,0,0,2.5,1.7,0.2,1.8,2,6,7,0.80,0.00,0.80,0.40,0.40,0.98,0.07,1.05,0.67,0.74,https://fbref.com/fr/joueurs/1e37c986/Maximilian-Breunig
Moritz Broschinski,GER,AT,Bochum,24-021,2000,6,3,282,3.1,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.1,6,4,26,0.00,0.32,0.32,0.00,0.32,0.23,0.13,0.35,0.23,0.35,https://fbref.com/fr/joueurs/bbd79358/Moritz-Broschinski
Jacob Bruun Larsen,DEN,"DF,AT",Hoffenheim,26-025,1998,5,0,92,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,4,18,0.00,0.00,0.00,0.00,0.00,0.32,0.01,0.34,0.32,0.34,https://fbref.com/fr/joueurs/4e204552/Jacob-Bruun-Larsen
Marius Bülter,GER,AT,Hoffenheim,31-199,1993,6,6,429,4.8,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.6,15,8,30,0.63,0.21,0.84,0.63,0.84,0.28,0.26,0.54,0.28,0.54,https://fbref.com/fr/joueurs/ab5b7dc1/Marius-Bulter
Jonathan Burkardt,GER,"AT,MT",Mainz 05,24-095,2000,6,6,536,6.0,5,0,5,5,0,0,0,0,2.9,2.9,0.2,3.1,6,10,26,0.84,0.00,0.84,0.84,0.84,0.49,0.03,0.52,0.49,0.52,https://fbref.com/fr/joueurs/05f99a4a/Jonathan-Burkardt
Oliver Burke,SCO,DF,Werder Bremen,27-190,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.95,0.00,1.95,1.95,1.95,https://fbref.com/fr/joueurs/f631c17f/Oliver-Burke
Marnon Busch,GER,DF,Heidenheim,29-311,1994,4,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,4,6,6,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,https://fbref.com/fr/joueurs/c38767ab/Marnon-Busch
Anthony Caci,FRA,DF,Mainz 05,27-105,1997,6,6,471,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,4,15,14,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,https://fbref.com/fr/joueurs/0118c54c/Anthony-Caci
Emre Can,GER,"MT,DF",Dortmund,30-276,1994,6,4,366,4.1,2,0,2,0,2,2,1,0,1.7,0.2,0.1,0.3,7,23,6,0.49,0.00,0.49,0.00,0.00,0.42,0.03,0.46,0.04,0.07,https://fbref.com/fr/joueurs/a65ce836/Emre-Can
Julian Chabot,GER,DF,Stuttgart,26-245,1998,6,6,519,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,27,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,https://fbref.com/fr/joueurs/ae7058f9/Julian-Chabot
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19-151,2005,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/2180c761/El-Chadaille-Bitshiabu
Fares Chaïbi,ALG,"MT,AT",Eint Frankfurt,21-321,2002,6,4,361,4.0,0,0,0,0,0,0,1,0,1.8,1.8,0.5,2.2,10,16,23,0.00,0.00,0.00,0.00,0.00,0.44,0.12,0.55,0.44,0.55,https://fbref.com/fr/joueurs/357103bd/Fares-Chaibi
Anrie Chase,JPN,DF,Stuttgart,20-204,2004,5,3,317,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,16,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,https://fbref.com/fr/joueurs/ee2cf168/Anrie-Chase
Arthur Chaves,BRA,DF,Hoffenheim,23-259,2001,1,0,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/913e4711/Arthur-Chaves
Fabio Chiarodia,ITA,DF,Gladbach,19-131,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/48780156/Fabio-Chiarodia
Alexis Claude-Maurice,FRA,AT,Augsburg,26-130,1998,1,0,34,0.4,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,0,2,2.65,0.00,2.65,2.65,2.65,0.63,0.00,0.63,0.63,0.63,https://fbref.com/fr/joueurs/741418c3/Alexis-Claude-Maurice
Nnamdi Collins,GER,DF,Eint Frankfurt,20-278,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/fr/joueurs/8eb5c94c/Nnamdi-Collins
