Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Hugo Gambor,CTA,DF,Gent,21-308,2002,5.9,1,0,0,7,9,0,3,16,9,0,0,0,22,4,8,33.3
Omri Gandelman,ISR,MF,Gent,24-170,2000,7.2,1,0,0,6,5,3,1,4,10,0,0,0,28,18,20,47.4
Wouter George,BEL,DF,OH Leuven,22-244,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Pieter Gerkens,BEL,MF,Gent,29-081,1995,4.2,0,0,0,3,4,0,21,6,6,0,0,0,15,9,7,56.3
Faisal Al Ghamdi,KSA,MF,Beerschot,23-081,2001,3.7,0,0,0,5,4,1,2,2,7,0,0,0,19,1,2,33.3
Óscar Gil,ESP,DF,OH Leuven,27-190,1997,4.9,2,1,0,11,11,1,9,5,4,0,0,0,11,7,3,70.0
Bruno Godeau,BEL,DF,Sint-Truiden,32-176,1992,11.8,1,0,0,9,6,0,1,14,16,0,0,0,51,32,14,69.6
Bryan Goncalves,FRA,DF,Dender,28-106,1996,3.4,0,0,0,4,3,0,9,4,2,0,0,0,14,4,3,57.1
Parfait Guiagon,CIV,FW,Charleroi,23-254,2001,8.8,2,0,0,12,14,0,15,1,12,1,0,0,42,5,8,38.5
Muhammed Gümüskaya,TUR,FW,Westerlo,23-306,2001,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Patrik Gunnarsson,ISL,GK,Kortrijk,23-353,2000,10.2,0,0,0,1,3,0,0,0,0,0,0,0,6,3,1,75.0
Andri Guðjohnsen,ISL,FW,Gent,22-278,2002,6.7,0,0,0,7,11,0,0,0,5,0,0,0,18,14,26,35.0
Anouar Ait El Hadj,BEL,MF,Union SG,22-196,2002,4.9,1,0,0,5,5,1,18,2,9,0,0,0,24,1,1,50.0
Geoffry Hairemans,BEL,"MF,FW",Mechelen,33-012,1991,2.6,0,0,0,2,4,0,13,2,2,0,0,0,8,4,5,44.4
Dogucan Haspolat,TUR,MF,Westerlo,24-265,2000,12.0,4,0,0,18,7,0,87,27,25,0,0,0,58,13,7,65.0
