Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Deyverson,BRA,FW,Cuiabá,33-162,1991,2.4,0,0,0,2,7,4,0,1,1,0,0,0,5,10,11,47.6
Lucas Di Yorio,ARG,FW,Ath Paranaense,27-330,1996,8.1,1,0,0,11,9,2,9,2,2,0,0,0,14,22,40,35.5
Matheus Dias,BRA,"FW,MF",Internacional,27-253,1997,0.8,1,0,0,2,1,0,1,1,2,0,0,0,1,2,1,66.7
Lautaro Díaz,ARG,FW,Cruzeiro,26-149,1998,6.6,1,0,0,9,3,1,10,3,7,0,0,0,17,14,21,40.0
Diego,BRA,DF,São Paulo,25-088,1999,9.9,2,0,0,16,2,0,5,12,8,0,0,0,39,35,13,72.9
Dodi,BRA,MF,Grêmio,28-183,1996,20.2,5,0,0,24,28,0,4,32,33,0,0,0,92,13,12,52.0
Maxime Dominguez,SUI,"FW,MF",Vasco da Gama,28-259,1996,0.7,1,0,0,4,2,0,0,1,0,0,0,0,8,0,0,
Matheus Donelli,BRA,GK,Corinthians,22-153,2002,7.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
Thiago dos Santos,BRA,DF,Fluminense,35-042,1989,14.9,7,0,0,22,17,0,1,23,16,0,1,0,64,46,35,56.8
Lucca Drummond,BRA,FW,Internacional,20-279,2004,1.8,0,0,0,4,2,0,0,0,0,0,0,0,3,1,7,12.5
David Duarte,BRA,DF,Bahia,29-267,1995,0.8,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1,80.0
Dudu,BRA,MF,Vitória,25-134,1999,3.3,4,1,1,6,5,0,2,2,6,0,0,0,31,1,4,20.0
Dudu,BRA,"FW,MF",Palmeiras,32-284,1992,3.7,0,0,0,3,11,0,21,2,3,1,0,0,23,2,3,40.0
