Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Alban Lafont,FRA,GK,Nantes,Ligue 1,25-284,1999,9,9,810,9.0,12,1.33,39,28,74.4,2,4,3,2,22.2,2,2,0,0,0.0
Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27-253,1997,9,9,810,9.0,24,2.67,52,29,63.5,2,1,6,1,11.1,5,5,0,0,0.0
Nicola Leali,ITA,GK,Genoa,Serie A,31-259,1993,3,3,270,3.0,6,2.00,15,9,60.0,0,1,2,0,0.0,0,0,0,0,
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33-190,1991,6,6,540,6.0,21,3.50,41,20,51.2,0,1,5,0,0.0,1,1,0,0,0.0
Bernd Leno,GER,GK,Fulham,Premier League,32-243,1992,9,9,810,9.0,12,1.33,39,28,69.2,3,3,3,1,11.1,0,0,0,0,
Donovan Léon,GUF,GK,Auxerre,Ligue 1,31-365,1992,9,9,810,9.0,18,2.00,48,31,66.7,3,1,5,1,11.1,2,2,0,0,0.0
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25-265,1999,2,2,180,2.0,4,2.00,8,4,50.0,1,0,1,1,50.0,0,0,0,0,
Mike Maignan,FRA,GK,Milan,Serie A,29-122,1995,9,9,810,9.0,11,1.22,32,21,65.6,4,2,3,3,33.3,1,0,1,0,100.0
Radosław Majecki,POL,GK,Monaco,Ligue 1,24-352,1999,2,2,180,2.0,2,1.00,10,8,80.0,0,1,1,1,50.0,0,0,0,0,
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,24-034,2000,11,11,990,11.0,17,1.55,42,24,64.3,1,4,6,3,27.3,3,2,1,0,33.3
Steve Mandanda,FRA,GK,Rennes,Ligue 1,39-219,1985,9,9,810,9.0,12,1.33,32,20,65.6,3,2,4,3,33.3,2,1,1,0,50.0
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,32-061,1992,9,9,810,9.0,11,1.22,32,20,68.8,5,3,1,1,11.1,2,1,1,0,50.0
Alex McCarthy,ENG,GK,Southampton,Premier League,34-335,1989,2,2,180,2.0,2,1.00,9,7,77.8,0,0,2,0,0.0,0,0,0,0,
Alex Meret,ITA,GK,Napoli,Serie A,27-225,1997,7,7,575,6.4,4,0.63,19,15,84.2,5,1,1,4,57.1,1,1,0,0,0.0
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,27-256,1997,9,9,810,9.0,12,1.33,47,35,74.5,4,2,3,3,33.3,1,0,1,0,100.0
