Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Jonathan Calleri,ARG,FW,São Paulo,31-024,1993,19.8,10,9,0,8,2,2,10,20.0,8,7,2,5,3,13,17,0
Patric Calmon PK,BRA,DF,Vitória,30-104,1994,5.5,10,5,4,5,1,6,8,75.0,2,7,4,3,15,25,16,0
Gustavo Campanharo,BRA,MF,Atl Goianiense,32-196,1992,0.2,2,1,2,0,0,0,1,0.0,1,1,0,1,0,2,2,0
Joel Campbell,CRC,"MF,FW",Atl Goianiense,32-113,1992,6.0,13,10,2,6,5,8,12,66.7,4,3,0,3,2,15,2,0
Camutanga,BRA,DF,Vitória,31-020,1993,5.0,8,5,7,0,1,5,9,55.6,4,7,6,1,2,10,19,0
Yerson Candelo,COL,DF,Criciúma,32-236,1992,0.3,3,1,1,2,0,0,0,,0,0,0,0,1,4,0,0
Luan Cândido,BRA,DF,Red Bull Bragantino,23-258,2001,20.0,40,27,20,18,2,16,28,57.1,12,23,14,9,30,70,94,1
Germán Cano,ARG,FW,Fluminense,36-258,1988,13.9,7,5,1,4,2,4,6,66.7,2,4,2,2,1,8,9,1
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,26-016,1998,11.7,26,16,6,16,4,10,28,35.7,18,20,0,20,4,30,6,0
Juninho Capixaba,BRA,"DF,MF",Red Bull Bragantino,27-103,1997,13.1,43,28,23,16,4,20,38,52.6,18,19,7,12,23,66,45,1
Felipe Carballo,URU,MF,Grêmio,28-013,1996,5.3,15,10,6,9,0,5,22,22.7,17,5,0,5,4,19,9,0
Tomás Cardona,ARG,DF,Fortaleza,29-007,1995,15.0,24,17,16,8,0,13,22,59.1,9,32,18,14,25,49,92,4
Edson Carioca,BRA,"FW,MF",Juventude,27-105,1997,3.9,9,7,4,2,3,4,7,57.1,3,4,0,4,0,9,3,0
Carlinhos,BRA,FW,Flamengo,27-248,1997,4.7,5,1,2,1,2,2,4,50.0,2,0,0,0,0,5,5,0
Antonio Carlos,BRA,DF,Fluminense,31-224,1993,12.0,6,4,5,1,0,2,4,50.0,2,12,11,1,20,26,73,1
Jan Carlos Hurtado,VEN,FW,Atl Goianiense,24-226,2000,6.6,3,3,0,2,1,0,6,0.0,6,7,1,6,2,5,6,0
João Carlos,BRA,"MF,FW",Criciúma,23-118,2001,0.3,2,2,0,1,1,2,2,100.0,0,0,0,0,1,3,1,0
Jean Carlos Vicente,BRA,"MF,FW",Juventude,32-245,1992,10.0,5,3,0,5,0,2,7,28.6,5,6,1,5,6,11,4,0
André Carrillo,PER,MF,Corinthians,33-125,1991,1.8,5,2,5,0,0,3,8,37.5,5,7,2,5,2,7,1,0
Ronie Carrillo,ECU,FW,Juventude,28-039,1996,6.9,4,3,0,1,3,1,4,25.0,3,3,1,2,2,6,7,0
Gabriel Carvalho,BRA,"FW,MF",Internacional,17-061,2007,10.6,21,16,6,11,4,8,26,30.8,18,26,0,26,3,24,6,1
Cássio,BRA,GK,Cruzeiro,37-133,1987,14.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0
Cássio,BRA,GK,Corinthians,37-133,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Iury de Castilho,BRA,"FW,MF",Vitória,29-041,1995,1.4,2,0,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0
Erick Castillo,ECU,"FW,MF",Vitória,29-255,1995,3.0,2,0,2,0,0,2,4,50.0,2,4,0,4,0,2,4,0
Ivan Cavaleiro,POR,"FW,MF",Red Bull Bragantino,30-365,1993,0.6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Murilo Cerqueira,BRA,DF,Palmeiras,27-204,1997,20.5,34,22,13,18,3,13,23,56.5,10,16,10,6,19,53,85,0
Reynaldo Cesar Moraes,BRA,DF,Vitória,27-288,1997,4.0,10,6,6,4,0,3,6,50.0,3,9,5,4,0,10,22,0
Christian,BRA,"MF,FW",Ath Paranaense,23-303,2000,14.8,26,14,10,14,2,9,20,45.0,11,13,3,10,10,36,9,0
Eliel Chrystian,BRA,"FW,MF",Cuiabá,21-265,2003,3.9,7,5,3,2,2,2,6,33.3,4,6,1,5,1,8,7,0
Chumbinho,BRA,"MF,FW",Red Bull Bragantino,21-025,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Cicinho,BUL,"DF,FW",Bahia,35-296,1988,0.9,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,0,1
José Cifuentes,ECU,MF,Cruzeiro,25-219,1999,0.8,3,2,0,2,1,2,3,66.7,1,0,0,0,0,3,3,0
Claudinho,BRA,DF,Criciúma,24-023,2000,19.0,51,35,31,14,6,31,74,41.9,43,32,8,24,26,77,40,0
