Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Henry Mosquera,COL,"FW,MF",Red Bull Bragantino,22-337,2001,28,"1,727",62,66.2,19.2,17,76,6,11,39,0,1.21,23,22,+1,+0.05,+0.56,20.4,24.2,-3.9,-0.20,+0.23
Gustavo Mosquito,BRA,FW,Vitória,27-040,1997,5,331,66,12.7,3.7,4,75,0,1,30,0,1.40,4,5,-1,-0.27,+0.16,3.4,3.9,-0.5,-0.13,+0.03
Gustavo Mosquito,BRA,FW,Corinthians,27-040,1997,10,403,40,15.4,4.5,4,57,0,6,30,3,0.70,6,6,0,0.00,+0.37,4.5,4.5,0.0,+0.01,+0.11
Jean Mota,BRA,MF,Vitória,31-002,1993,15,371,25,14.2,4.1,3,58,0,12,16,13,0.93,6,10,-4,-0.97,-0.65,5.2,5.3,-0.2,-0.04,+0.13
Hugo Moura,BRA,MF,Vasco da Gama,26-288,1998,22,"1,535",70,58.8,17.1,20,74,4,2,24,3,1.23,19,20,-1,-0.06,+0.61,18.2,20.7,-2.6,-0.15,+0.57
Lucas Moura,BRA,"FW,MF",São Paulo,32-065,1992,21,"1,623",77,60.1,18.0,19,82,7,2,31,0,1.62,29,22,+7,+0.39,+0.22,19.5,15.9,+3.6,+0.20,-0.24
Mycael,BRA,GK,Ath Paranaense,20-219,2004,8,575,72,23.7,6.4,6,90,6,2,18,14,0.67,3,6,-3,-0.47,-0.42,8.4,8.3,+0.1,+0.02,0.00
Léo Naldi,BRA,MF,Vitória,23-060,2001,17,"1,040",61,39.8,11.6,11,74,5,6,38,10,1.12,14,13,+1,+0.09,+0.83,11.2,12.7,-1.5,-0.13,+0.05
Matheus Nascimento,BRA,FW,Botafogo (RJ),20-228,2004,1,24,24,0.9,0.3,1,24,0,0,,1,3.00,0,0,0,0.00,-0.77,0.2,0.0,+0.2,+0.81,+0.45
Nata,BRA,DF,Grêmio,23-134,2001,11,506,46,19.4,5.6,5,89,4,6,10,14,1.73,5,11,-6,-1.07,-1.15,6.9,7.9,-1.0,-0.17,-0.22
Nathan,BRA,DF,Internacional,23-042,2001,1,5,5,0.2,0.1,0,,0,1,5,3,3.00,0,1,-1,-18.00,-18.43,0.3,0.2,+0.1,+2.13,+1.44
Nathan,BRA,"FW,MF",Grêmio,28-218,1996,8,325,41,12.5,3.6,3,69,0,5,24,21,0.88,5,2,+3,+0.83,+1.11,6.0,4.3,+1.7,+0.48,+0.53
Kaiky Naves,BRA,DF,Palmeiras,22-162,2002,10,729,73,27.9,8.1,9,81,7,1,1,14,2.20,18,6,+12,+1.48,+0.81,18.2,7.2,+11.0,+1.36,+0.74
Nenê,BRA,"MF,FW",Juventude,43-090,1981,22,"1,328",60,50.9,14.8,18,68,1,4,25,4,1.23,16,19,-3,-0.20,+0.01,14.2,21.2,-7.1,-0.48,+0.18
Neris,BRA,DF,Cruzeiro,32-122,1992,6,304,51,11.6,3.4,4,74,1,2,4,11,1.67,4,8,-4,-1.18,-1.57,3.4,4.3,-0.9,-0.26,-0.19
Neris,BRA,DF,Vitória,32-122,1992,9,729,81,27.9,8.1,9,81,7,0,,0,1.56,10,8,+2,+0.25,+0.92,9.1,7.3,+1.7,+0.22,+0.52
Rodrigo Nestor,BRA,"MF,FW",São Paulo,24-069,2000,21,846,40,31.3,9.4,9,69,2,12,19,5,1.57,13,9,+4,+0.43,+0.18,10.7,8.2,+2.4,+0.26,-0.05
João Neto,BRA,FW,Red Bull Bragantino,21-149,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
José Vitor Silva Neves,BRA,"MF,FW",Ath Paranaense,24-168,2000,9,176,20,7.2,2.0,0,,0,9,20,11,1.22,2,4,-2,-1.02,-0.94,1.8,4.2,-2.4,-1.20,-1.32
Newton,BRA,MF,Criciúma,24-219,2000,23,"1,679",73,64.3,18.7,19,85,13,4,17,2,1.30,19,26,-7,-0.38,-0.47,20.1,22.4,-2.3,-0.12,+0.39
Nikão,BRA,"FW,MF",Ath Paranaense,32-080,1992,16,915,57,37.7,10.2,10,74,1,6,29,3,1.00,11,9,+2,+0.20,+0.55,13.8,12.2,+1.6,+0.16,+0.23
Nonato,BRA,MF,Fluminense,26-228,1998,7,210,30,8.3,2.3,1,90,1,6,20,0,1.86,3,2,+1,+0.43,+0.78,1.2,1.5,-0.3,-0.12,+0.24
Gustavo Nunes,BRA,"FW,MF",Grêmio,18-332,2005,20,"1,238",62,47.4,13.8,11,85,7,9,34,0,1.20,14,16,-2,-0.15,-0.01,15.9,15.7,+0.2,+0.02,+0.01
Cauly Oliveira Souza,BRA,"MF,FW",Bahia,29-032,1995,29,"2,158",74,82.7,24.0,27,77,6,2,37,0,1.55,28,28,0,0.00,-1.19,24.8,25.6,-0.8,-0.03,-1.54
