Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Pedro Vilhena,BRA,FW,São Paulo,20,2002,0.2,17,16,1,0,0,0,1,1,0,0,0,0,13,0,0
Mathías Villasanti,PAR,MF,Grêmio,26,1997,29.4,1389,1281,106,105,10,0,3,1,0,0,0,0,1200,2,24
Marcos Vinicios Sorriso,BRA,"FW,DF",Red Bull Bragantino,21,2001,10.4,457,387,66,18,0,1,102,8,39,23,15,0,293,4,28
Vinicius,BRA,MF,Santos,23,1999,0.3,6,5,1,1,0,0,0,0,0,0,0,0,2,0,0
Vinícius,BRA,FW,Goiás,29,1993,13.0,496,473,21,2,0,11,55,12,4,4,0,0,326,2,24
Vinícius,BRA,FW,Grêmio,31,1991,7.3,351,344,7,2,2,0,4,0,0,0,0,0,285,0,10
Marcos Vinicius,BRA,"DF,MF",Coritiba,25,1997,1.9,89,67,22,3,1,0,7,18,1,0,1,0,51,0,9
Mateus Vital,BRA,MF,Cruzeiro,24,1998,20.9,904,854,48,24,3,15,42,14,4,1,1,0,760,2,29
Vitão,BRA,DF,Internacional,22,2000,22.7,1103,1055,45,41,1,13,2,3,0,0,0,0,960,3,5
Vitão,BRA,DF,Cuiabá,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitinho,BRA,"FW,MF",Red Bull Bragantino,23,1999,22.8,876,791,81,13,1,3,85,26,35,21,0,0,655,4,35
Paulo Vitor,BRA,"MF,DF",Cruzeiro,23,1999,1.4,76,71,5,0,0,0,8,5,0,0,0,0,67,0,4
Paulo Vitor,BRA,MF,Atlético Mineiro,18,2004,0.2,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0
