Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Vetle Dragsnes,NOR,"DF,MF",Charleroi,29,1994,19.5,1115,64,281,487,355,42,1115,34,15,44.1,18,52.9,701,3859,1671,37,32,11,27,11,649,113
Denis Drăguș,ROU,FW,Standard Liège,24,1999,3.5,137,2,14,48,78,16,137,23,13,56.5,10,43.5,98,770,316,13,5,8,20,6,90,29
Anders Dreyer,DEN,"FW,MF",Anderlecht,25,1998,24.9,1190,20,117,348,745,126,1187,47,18,38.3,26,55.3,884,5421,2427,73,62,21,48,20,835,209
Olivier Dumont,BEL,MF,Sint-Truiden,21,2002,0.9,56,0,16,25,15,1,56,2,0,0.0,2,100.0,30,135,29,1,0,1,3,3,24,2
Maxime Dupé,FRA,GK,Anderlecht,30,1993,7.0,283,215,278,5,0,0,283,0,0,,0,,223,1122,615,0,0,0,0,0,184,0
Pierre Dwomoh,BEL,MF,RWD Molenbeek,19,2004,25.3,1279,80,358,750,192,19,1279,63,32,50.8,27,42.9,834,5030,1866,27,32,5,43,30,710,46
Aron Dønnum,NOR,"DF,FW",Standard Liège,25,1998,4.8,250,14,68,97,94,11,250,26,15,57.7,10,38.5,168,1186,521,10,8,4,11,3,145,26
Malcolm Ebiowei,ENG,"FW,MF",RWD Molenbeek,19,2003,1.6,70,2,12,25,33,1,70,8,3,37.5,5,62.5,49,398,133,6,4,1,6,8,42,15
Dennis Eckert,GER,FW,Union SG,26,1997,12.6,367,13,27,152,192,77,364,12,5,41.7,5,41.7,258,1577,561,24,10,17,21,14,266,102
Malamine Efekele,FRA,"FW,MF",Cercle Brugge,19,2004,2.0,74,1,15,30,31,14,74,3,1,33.3,2,66.7,46,261,66,2,3,0,11,3,36,13
Chidera Ejuke,NGA,"FW,DF",Antwerp,25,1998,14.7,1002,14,81,406,538,70,1002,109,60,55.0,47,43.1,805,5998,2565,73,65,32,51,30,770,152
Jurgen Ekkelenkamp,NED,MF,Antwerp,23,2000,23.5,1155,35,171,650,342,83,1155,27,11,40.7,15,55.6,880,4934,2028,31,37,9,47,24,847,101
Renaud Emond,BEL,FW,Standard Liège,31,1991,1.1,32,4,6,12,14,5,32,0,0,,0,,17,76,13,0,0,0,2,1,23,6
Renaud Emond,BEL,FW,Eupen,31,1991,4.8,147,7,13,94,41,13,147,2,0,0.0,2,100.0,91,460,134,2,3,0,9,2,114,21
Romaric Etonde,FRA,MF,Cercle Brugge,18,2005,0.1,6,0,0,3,3,0,6,1,1,100.0,0,0.0,4,24,7,0,0,0,1,0,4,0
Alieu Fadera,GAM,"FW,DF",Genk,21,2001,10.7,556,7,66,196,301,72,556,46,14,30.4,28,60.9,409,3000,1171,38,19,27,31,23,383,111
Noah Fadiga,SEN,"DF,FW",Gent,23,1999,4.6,244,8,50,115,83,18,244,19,7,36.8,10,52.6,174,1159,464,8,6,7,10,5,155,39
Matias Fernandez-Pardo,BEL,"FW,MF",Gent,18,2005,2.1,87,1,11,28,52,10,87,7,3,42.9,3,42.9,69,708,345,15,11,5,5,2,67,20
Fabio Ferraro,BEL,MF,RWD Molenbeek,20,2002,0.2,6,0,0,5,1,0,6,1,0,0.0,0,0.0,6,57,20,0,1,0,0,0,6,1
Oleksandr Filin,RUS,DF,Eupen,27,1996,9.7,595,81,298,267,35,8,595,1,1,100.0,0,0.0,354,1973,1080,5,7,1,7,2,323,3
Matteo Filorizzo,BEL,"FW,MF",Eupen,17,2006,0.4,13,0,0,2,11,2,13,1,0,0.0,1,100.0,8,25,4,0,0,0,3,0,9,2
Seydou Fini,ITA,"DF,FW",Standard Liège,17,2006,0.5,38,0,7,15,18,1,38,3,2,66.7,1,33.3,25,193,76,1,0,1,3,1,26,6
Alfreð Finnbogason,ISL,FW,Eupen,34,1989,12.5,413,8,49,207,163,43,413,12,4,33.3,7,58.3,316,1695,643,14,11,6,21,10,300,67
Mathias Fixelles,BEL,MF,Westerlo,26,1996,6.4,374,16,80,214,92,6,374,17,12,70.6,2,11.8,272,1624,723,13,11,1,14,8,240,16
Alexis Flips,FRA,"FW,MF",Anderlecht,23,2000,4.2,256,2,21,90,150,17,256,8,4,50.0,3,37.5,188,1015,432,10,9,2,19,5,174,42
Malick Fofana,BEL,"DF,MF",Gent,18,2005,12.7,696,13,92,276,337,72,696,50,22,44.0,20,40.0,506,4138,2110,86,43,37,25,13,476,110
Núrio Fortuna,ANG,"DF,MF",Gent,28,1995,4.4,297,20,114,159,26,1,297,6,0,0.0,4,66.7,202,1177,541,4,6,0,5,3,181,4
Marlon Fossey,USA,DF,Standard Liège,24,1998,18.0,1168,83,346,473,360,31,1168,32,17,53.1,11,34.4,697,4328,1662,45,29,8,33,20,632,100
Iver Fossum,NOR,"MF,FW",Kortrijk,27,1996,1.9,82,7,22,42,19,1,82,3,0,0.0,2,66.7,49,283,82,0,0,1,0,2,42,4
