Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
David Braz,BRA,DF,Fluminense,35,1987,9.6,10,1.04,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Brenno,BRA,GK,Grêmio,23,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Breno,BRA,MF,América (MG),19,2003,12.9,27,2.09,21,0,2,3,0,1,2,0.16,1,0,0,1,0,0
Breno,BRA,MF,Botafogo (RJ),22,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Breno,BRA,FW,Palmeiras,27,1996,15.2,37,2.44,23,0,1,1,10,2,6,0.40,3,0,0,1,2,0
Emanuel Brítez,ARG,DF,Fortaleza,30,1992,30.7,36,1.17,29,1,0,4,0,2,2,0.07,2,0,0,0,0,0
Bruninho,BRA,"FW,MF",Red Bull Bragantino,19,2003,7.9,37,4.66,22,4,4,4,3,0,2,0.25,1,0,1,0,0,0
Fabrício Bruno,BRA,DF,Flamengo,26,1996,34.0,27,0.79,21,1,0,5,0,0,4,0.12,4,0,0,0,0,0
Vitor Bueno,BRA,"MF,FW",Ath Paranaense,28,1994,23.1,137,5.95,88,34,6,5,3,1,14,0.61,10,1,0,1,1,1
Esteban Burgos,ARG,DF,América (MG),31,1992,3.3,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabricio Bustos,ARG,DF,Internacional,26,1996,27.8,66,2.38,54,3,1,5,2,1,6,0.22,6,0,0,0,0,0
Rafael Cabral,BRA,GK,Cruzeiro,32,1990,37.0,5,0.14,5,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Cacá,BRA,DF,Ath Paranaense,23,1999,18.8,12,0.64,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Cadu,BRA,DF,Santos,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Caetano,BRA,DF,Corinthians,23,1999,13.4,8,0.60,7,0,0,1,0,0,1,0.07,1,0,0,0,0,0
Jonathan Cafu,BRA,"FW,MF",Cuiabá,31,1991,19.0,55,2.90,45,1,4,2,3,0,6,0.32,4,0,0,0,2,0
Júnior Caiçara,BRA,DF,Santos,33,1989,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Caio,BRA,"MF,DF",Flamengo,29,1993,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Caíque,BRA,GK,Grêmio,25,1997,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Calebe,BRA,"MF,FW",Fortaleza,22,2000,16.4,79,4.81,52,7,10,3,6,1,8,0.49,7,0,1,0,0,0
Jonathan Calleri,ARG,FW,São Paulo,29,1993,15.0,37,2.47,27,0,0,5,5,0,4,0.27,3,0,0,0,1,0
Patric Calmon PK,BRA,DF,Cuiabá,28,1994,5.8,16,2.77,14,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Guilherme Camacho,BRA,MF,Santos,32,1990,5.0,6,1.21,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathan Camargo,BRA,MF,Red Bull Bragantino,17,2005,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gustavo Campanharo,BRA,MF,Internacional,30,1992,7.7,13,1.68,10,0,1,0,1,1,0,0.00,0,0,0,0,0,0
Camilo Cándido,URU,DF,Bahia,27,1995,13.8,38,2.75,33,1,2,2,0,0,4,0.29,2,0,1,1,0,0
Luan Cândido,BRA,DF,Red Bull Bragantino,21,2001,12.0,24,1.99,18,2,1,1,2,0,1,0.08,1,0,0,0,0,0
Germán Cano,ARG,FW,Fluminense,34,1988,27.4,36,1.31,27,0,1,8,0,0,5,0.18,3,0,0,2,0,0
Agustín Canobbio,URU,"FW,MF",Ath Paranaense,24,1998,23.5,107,4.56,75,4,8,7,12,1,9,0.38,8,0,0,0,1,0
Víctor Cantillo,COL,MF,Corinthians,29,1993,3.0,5,1.69,5,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Manuel Capasso,ARG,DF,Vasco da Gama,26,1996,6.2,7,1.14,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Juninho Capixaba,BRA,DF,Red Bull Bragantino,25,1997,31.9,111,3.47,80,9,3,9,6,4,3,0.09,2,0,0,1,0,0
Gabriel Carabajal,ARG,MF,Vasco da Gama,31,1991,1.4,11,8.11,9,0,2,0,0,0,1,0.74,1,0,0,0,0,0
Felipe Carballo,URU,MF,Grêmio,26,1996,17.1,33,1.93,28,1,0,4,0,0,3,0.18,2,0,0,1,0,0
Johnny Cardoso,USA,MF,Internacional,21,2001,17.9,34,1.91,29,0,1,2,0,2,7,0.39,4,0,0,2,0,1
Ed Carlos,BRA,"MF,FW",Santos,21,2001,0.4,3,7.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
João Carlos,BRA,GK,Cuiabá,34,1988,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ryan Carlos,BRA,DF,Bahia,20,2002,6.4,16,2.49,12,1,2,1,0,0,2,0.31,2,0,0,0,0,0
Alan Carvalho,CHN,MF,Fluminense,33,1989,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cássio,BRA,GK,Corinthians,35,1987,36.8,4,0.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Luciano Castán,BRA,DF,Cruzeiro,33,1989,35.7,26,0.73,22,1,0,3,0,0,1,0.03,1,0,0,0,0,0
Iury de Castilho,BRA,FW,Cuiabá,27,1995,4.4,8,1.81,5,0,2,0,1,0,0,0.00,0,0,0,0,0,0
Matheus Cavichioli,BRA,GK,América (MG),36,1986,15.0,4,0.27,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Juan Cazares,ECU,"MF,FW",América (MG),30,1992,3.1,16,5.07,12,3,0,1,0,0,3,0.95,2,0,0,1,0,0
Brayan Ceballos,COL,DF,Fortaleza,21,2001,2.3,1,0.44,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
