Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Magnus Mattsson,DEN,MF,FC Copenhagen,24,1999,1.3,6,4,1,3,2,3,4,75.0,1,1,0,1,0,6,2,0
Mykola Matviyenko,UKR,DF,Shakhtar,27,1996,5.0,11,5,7,3,1,6,15,40.0,9,10,5,5,2,13,29,2
Eric Maxim Choupo-Moting,CMR,"FW,MF",Bayern Munich,34,1989,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0
Noussair Mazraoui,MAR,DF,Bayern Munich,25,1997,7.2,17,11,8,7,2,8,15,53.3,7,8,3,5,7,24,8,0
Kylian Mbappé,FRA,FW,Paris S-G,24,1998,12.0,2,1,1,0,1,2,4,50.0,2,3,0,3,4,6,0,0
Callum McGregor,SCO,MF,Celtic,30,1993,5.8,4,4,1,2,1,2,7,28.6,5,12,6,6,6,10,17,0
Scott McKenna,SCO,DF,FC Copenhagen,26,1996,2.0,2,2,1,0,1,1,1,100.0,0,6,6,0,2,4,6,0
Scott McTominay,SCO,MF,Manchester Utd,26,1996,4.2,2,1,1,1,0,1,7,14.3,6,5,3,2,1,3,6,0
Facundo Medina,ARG,DF,Lens,24,1999,5.5,9,6,5,4,0,6,7,85.7,1,10,0,10,5,14,13,0
Hannibal Mejbri,TUN,"MF,FW",Manchester Utd,20,2003,0.7,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
Birger Meling,NOR,DF,FC Copenhagen,28,1994,2.1,7,5,4,2,1,3,6,50.0,3,2,0,2,0,7,5,0
Memphis,NED,FW,Atlético Madrid,29,1994,1.2,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0
Joe Mendes,SWE,DF,Braga,20,2002,2.3,3,1,2,0,1,2,3,66.7,1,3,1,2,2,5,4,0
Nuno Mendes,POR,DF,Paris S-G,21,2002,4.7,11,8,6,4,1,6,18,33.3,12,8,2,6,9,20,11,0
Brais Méndez,ESP,MF,Real Sociedad,26,1997,5.8,13,8,0,8,5,6,10,60.0,4,7,1,6,3,16,8,0
Ferland Mendy,FRA,DF,Real Madrid,28,1995,9.7,14,9,10,3,1,10,14,71.4,4,10,1,9,6,20,16,0
Nampalys Mendy,SEN,MF,Lens,31,1992,4.1,8,4,4,2,2,4,8,50.0,4,0,0,0,7,15,7,0
Alex Meret,ITA,GK,Napoli,26,1997,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
