Player,Pos,Squad,Age,Club,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Robert Lewandowski,FW,Poland,33,Barcelona,1988,4,4,360,4.0,2,1,3,1,1,2,0,0,2.9,1.4,0.4,1.8,5,10,17,0.50,0.25,0.75,0.25,0.50,0.73,0.10,0.83,0.34,0.44
Matthijs de Ligt,DF,Netherlands,22,Bayern Munich,1999,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jesper Lindstrøm,"MF,FW",Denmark,22,Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,4,15,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Marko Livaja,FW,Croatia,28,Hajduk Split,1993,6,3,241,2.7,1,1,2,1,0,0,0,0,0.8,0.8,0.1,0.9,1,8,21,0.37,0.37,0.75,0.37,0.75,0.31,0.03,0.34,0.31,0.34
Dominik Livaković,GK,Croatia,27,Dinamo Zagreb,1995,7,7,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcos Llorente,DF,Spain,27,Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Hugo Lloris,GK,France,35,Tottenham,1986,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dejan Lovren,DF,Croatia,32,Zenit,1989,6,6,600,6.7,0,1,1,0,0,0,1,0,0.3,0.3,0.0,0.3,3,23,1,0.00,0.15,0.15,0.00,0.15,0.04,0.01,0.05,0.04,0.05
Hirving Lozano,FW,Mexico,26,Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0,0.2,0.2,1.0,1.2,12,9,33,0.00,0.00,0.00,0.00,0.00,0.07,0.36,0.42,0.07,0.42
Romelu Lukaku,FW,Belgium,29,Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,1.7,1.7,0.0,1.8,1,0,5,0.00,0.00,0.00,0.00,0.00,2.84,0.06,2.90,2.84,2.90
Saša Lukić,MF,Serbia,25,Torino,1996,3,3,245,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Ali Maâloul,DF,Tunisia,32,Al Ahly,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Awer Mabil,MF,Australia,26,Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alexis Mac Allister,MF,Argentina,23,Brighton,1998,6,6,550,6.1,1,1,2,1,0,0,0,0,0.7,0.7,0.9,1.6,19,24,27,0.16,0.16,0.33,0.16,0.33,0.12,0.15,0.27,0.12,0.27
Jamie Maclaren,FW,Australia,28,Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Assim Madibo,MF,Qatar,25,Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Abdullah Madu,"DF,MF",Saudi Arabia,28,Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daizen Maeda,FW,Japan,24,Celtic,1997,3,3,180,2.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,2,1,5,0.50,0.00,0.50,0.50,0.50,0.24,0.00,0.24,0.24,0.24
Harry Maguire,DF,England,29,Manchester Utd,1993,5,5,429,4.8,0,1,1,0,0,0,1,0,0.4,0.4,0.0,0.4,10,26,1,0.00,0.21,0.21,0.00,0.21,0.08,0.01,0.09,0.08,0.09
Lovro Majer,"MF,FW",Croatia,24,Rennes,1998,7,1,130,1.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,5,5,16,0.69,0.00,0.69,0.69,0.69,0.67,0.07,0.74,0.67,0.74
Nemanja Maksimović,MF,Serbia,27,Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Abdulellah Al-Malki,MF,Saudi Arabia,27,Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Steve Mandanda,GK,France,37,Rennes,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
José María Giménez,DF,Uruguay,27,Atlético Madrid,1995,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,12,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
João Mário,"FW,MF",Portugal,29,Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marquinhos,DF,Brazil,28,Paris S-G,1994,5,4,426,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.8,0.9,7,32,3,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.21,0.04,0.21
Henry Martín,FW,Mexico,29,América,1992,2,2,146,1.6,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,0,1,6,0.62,0.00,0.62,0.62,0.62,0.57,0.13,0.70,0.57,0.70
Gabriel Martinelli,FW,Brazil,20,Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,10,3,20,0.00,0.00,0.00,0.00,0.00,0.42,0.14,0.56,0.42,0.56
Carlos Martínez,DF,Costa Rica,23,San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emiliano Martínez,GK,Argentina,29,Aston Villa,1992,7,7,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lautaro Martínez,FW,Argentina,24,Inter,1997,6,2,241,2.7,0,0,0,0,0,0,0,0,1.9,1.9,0.0,1.9,1,0,21,0.00,0.00,0.00,0.00,0.00,0.87,0.02,0.89,0.87,0.89
Lisandro Martínez,DF,Argentina,24,Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,3,6,2,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25,0.04,0.25
Pape Matar Sarr,MF,Senegal,19,Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.17,0.05,0.22,0.17,0.22
Rónald Matarrita,"DF,MF",Costa Rica,27,FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eric Maxim Choupo-Moting,"FW,MF",Cameroon,33,Bayern Munich,1989,3,3,253,2.8,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.9,3,13,4,0.36,0.00,0.36,0.36,0.36,0.29,0.02,0.31,0.29,0.31
Noussair Mazraoui,DF,Morocco,24,Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,5,9,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
Kylian Mbappé,FW,France,23,Paris S-G,1998,7,6,598,6.6,8,2,10,6,2,2,0,0,5.2,3.6,1.3,5.0,40,25,79,1.20,0.30,1.51,0.90,1.20,0.82,0.21,1.04,0.58,0.79
Bryan Mbeumo,"FW,MF",Cameroon,22,Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,2,3,17,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19
Riley McGree,"FW,MF",Australia,23,Middlesbrough,1998,4,4,265,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.8,1,7,14,0.00,0.34,0.34,0.00,0.34,0.05,0.22,0.27,0.05,0.27
Weston McKennie,MF,United States,23,Juventus,1998,4,4,271,3.0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,10,19,18,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.27,0.13,0.27
Hannibal Mejbri,MF,Tunisia,19,Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Memphis,FW,Netherlands,28,Barcelona,1994,5,3,297,3.3,1,0,1,1,0,0,1,0,1.5,1.5,0.5,2.0,7,6,32,0.30,0.00,0.30,0.30,0.30,0.44,0.16,0.61,0.44,0.61
Nuno Mendes,DF,Portugal,19,Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Jhegson Méndez,MF,Ecuador,25,LAFC,1997,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Edouard Mendy,GK,Senegal,30,Chelsea,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Nampalys Mendy,MF,Senegal,29,Leicester City,1992,4,3,272,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,9,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Gideon Mensah,DF,Ghana,23,Auxerre,1998,1,1,87,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,4,3,0.00,1.03,1.03,0.00,1.03,0.00,0.28,0.28,0.00,0.28
Chris Mepham,DF,Wales,24,Bournemouth,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Yassine Meriah,DF,Tunisia,28,Espérance de Tunis,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,11,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Dries Mertens,"MF,FW",Belgium,35,Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,2,1,10,0.00,0.00,0.00,0.00,0.00,0.94,0.17,1.11,0.94,1.11
Lionel Messi,FW,Argentina,34,Paris S-G,1987,7,7,690,7.7,7,3,10,3,4,5,1,0,6.6,2.7,2.5,5.2,29,66,37,0.91,0.39,1.30,0.39,0.78,0.94,0.35,1.30,0.38,0.74
Thomas Meunier,DF,Belgium,30,Dortmund,1991,3,2,211,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,5,8,19,0.00,0.00,0.00,0.00,0.00,0.09,0.21,0.30,0.09,0.30
Nikola Milenković,DF,Serbia,24,Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,10,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Arkadiusz Milik,"FW,MF",Poland,28,Juventus,1994,3,1,101,1.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,1,4,0.00,0.00,0.00,0.00,0.00,0.22,0.09,0.31,0.22,0.31
Sergej Milinković-Savić,MF,Serbia,27,Lazio,1995,3,3,233,2.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,4,15,7,0.39,0.00,0.39,0.39,0.39,0.07,0.00,0.07,0.07,0.07
Vanja Milinković-Savić,GK,Serbia,25,Torino,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Éder Militão,DF,Brazil,24,Real Madrid,1998,4,4,347,3.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,21,8,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
Liam Millar,DF,Canada,22,Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kamal Miller,DF,Canada,25,CF Montréal,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kim Min-jae,DF,Korea Republic,25,Napoli,1996,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Takumi Minamino,FW,Japan,27,Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36
Kaoru Mitoma,MF,Japan,25,Brighton,1997,4,0,165,1.8,0,1,1,0,0,0,0,0,0.1,0.1,1.2,1.3,8,3,6,0.00,0.55,0.55,0.00,0.55,0.05,0.83,0.88,0.05,0.88
Aleksandar Mitrović,FW,Serbia,27,Fulham,1994,3,3,262,2.9,2,0,2,2,0,0,1,0,1.6,1.6,0.7,2.4,2,5,11,0.69,0.00,0.69,0.69,0.69,0.57,0.24,0.81,0.57,0.81
Stefan Mitrović,DF,Serbia,32,Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Filip Mladenović,DF,Serbia,30,Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Luka Modrić,MF,Croatia,36,Real Madrid,1985,7,7,653,7.3,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,21,82,21,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.16,0.06,0.16
Ismaeel Mohammad,DF,Qatar,32,Al Duhail SC,1990,2,2,174,1.9,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,6,1,9,0.00,0.52,0.52,0.00,0.52,0.21,0.04,0.26,0.21,0.26
Milad Mohammadi,DF,IR Iran,28,AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sadegh Moharrami,DF,IR Iran,26,Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nahuel Molina,DF,Argentina,24,Atlético Madrid,1998,7,6,567,6.3,1,1,2,1,0,0,0,0,0.5,0.5,0.3,0.8,10,15,32,0.16,0.16,0.32,0.16,0.32,0.07,0.05,0.12,0.07,0.12
César Montes,DF,Mexico,25,Monterrey,1997,3,3,270,3.0,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,3,12,1,0.00,0.33,0.33,0.00,0.33,0.06,0.17,0.23,0.06,0.23
Gonzalo Montiel,"DF,MF",Argentina,25,Sevilla,1997,4,1,118,1.3,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,4,4,11,0.00,0.00,0.00,0.00,0.00,0.02,0.40,0.43,0.02,0.43
Kim Moonhwan,DF,Korea Republic,26,Jeonbuk,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,2,13,33,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Kieffer Moore,FW,Wales,29,Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.3,2,7,13,0.00,0.00,0.00,0.00,0.00,0.41,0.10,0.51,0.41,0.51
Shaq Moore,DF,United States,25,Nashville SC,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aaron Mooy,MF,Australia,31,Celtic,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,19,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Álvaro Morata,FW,Spain,29,Atlético Madrid,1992,4,1,185,2.1,3,1,4,3,0,0,0,0,1.4,1.4,0.2,1.6,5,5,13,1.46,0.49,1.95,1.46,1.95,0.79,0.14,0.93,0.79,0.93
Héctor Moreno,DF,Mexico,34,Monterrey,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,16,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Hidemasa Morita,MF,Japan,27,Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,11,4,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Joe Morrell,MF,Wales,25,Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan Morris,"FW,DF",United States,27,Seattle Sounders FC,1994,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Youssoufa Moukoko,FW,Germany,17,Dortmund,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mason Mount,MF,England,23,Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,9,17,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
Youssef Msakni,"MF,FW",Tunisia,31,Al-Arabi,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,5,7,17,0.00,0.00,0.00,0.00,0.00,0.29,0.34,0.62,0.29,0.62
Thomas Müller,"FW,MF",Germany,32,Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,2,6,13,0.00,0.00,0.00,0.00,0.00,0.14,0.28,0.42,0.14,0.42
Munir,GK,Morocco,33,Al-Wehda,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mohammed Muntari,"FW,MF",Qatar,28,Al Duhail SC,1993,3,0,63,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,1.43,0.00,1.43,1.43,1.43,0.30,0.03,0.33,0.30,0.33
Yunus Musah,MF,United States,19,Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,14,23,16,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.11,0.08,0.11
Jamal Musiala,"MF,FW",Germany,19,Bayern Munich,2003,3,3,258,2.9,0,1,1,0,0,0,0,0,1.9,1.9,0.9,2.8,21,19,31,0.00,0.35,0.35,0.00,0.35,0.67,0.30,0.97,0.67,0.97
Joakim Mæhle,DF,Denmark,25,Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,8,32,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
Georges-Kévin N'Koudou,"FW,MF",Cameroon,27,Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Yuto Nagatomo,"MF,DF",Japan,35,FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Sami Al-Najei,MF,Saudi Arabia,25,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keylor Navas,GK,Costa Rica,35,Paris S-G,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iliman Ndiaye,"FW,MF",Senegal,22,Sheffield Utd,2000,3,2,135,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,0,16,0.00,0.67,0.67,0.00,0.67,0.09,0.14,0.22,0.09,0.22
Victor Nelsson,DF,Denmark,23,Galatasaray,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Neuer,GK,Germany,36,Bayern Munich,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rúben Neves,MF,Portugal,25,Wolves,1997,5,4,268,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,19,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Neymar,MF,Brazil,30,Paris S-G,1992,3,3,279,3.1,2,0,2,1,1,1,0,0,2.7,1.9,0.8,2.7,9,23,23,0.65,0.00,0.65,0.32,0.32,0.98,0.29,1.27,0.70,0.98
Moumi Ngamaleu,"FW,MF",Cameroon,27,Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,3,12,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Jerome Ngom Mbekeli,MF,Cameroon,23,Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,2.23,2.23,0.00,2.23
Nicolas Nkoulou,DF,Cameroon,32,Aris,1990,2,2,180,2.0,0,1,1,0,0,0,1,0,0.3,0.3,0.0,0.3,0,2,1,0.00,0.50,0.50,0.00,0.50,0.14,0.00,0.14,0.14,0.14
Andries Noppert,GK,Netherlands,28,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ahmad Nourollahi,MF,IR Iran,29,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Olivier Ntcham,MF,Cameroon,26,Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,4,0,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.25,0.16,0.25
Matheus Nunes,MF,Portugal,23,Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.14,0.03,0.14
Darwin Núñez,FW,Uruguay,22,Liverpool,1999,3,3,240,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,6,3,26,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23
Christian Nørgaard,MF,Denmark,28,Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guillermo Ochoa,GK,Mexico,36,América,1985,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denis Odoi,DF,Ghana,34,Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noah Okafor,"FW,MF",Switzerland,22,RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,1,9,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14
Mathías Olivera,DF,Uruguay,24,Napoli,1997,3,3,253,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1,8,10,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18
Dani Olmo,FW,Spain,24,RB Leipzig,1998,4,4,367,4.1,1,1,2,1,0,0,0,0,1.4,1.4,0.5,1.9,6,11,61,0.25,0.25,0.49,0.25,0.49,0.34,0.11,0.46,0.34,0.46
Amadou Onana,MF,Belgium,20,Everton,2001,2,1,104,1.2,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,0,2,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40
André Onana,GK,Cameroon,26,Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gaël Ondoua,MF,Cameroon,26,Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Loïs Openda,FW,Belgium,22,Lens,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
