Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Ángel Di María,"MF,FW",Argentina,34,1988,3.2,203,1,13,58,135,18,203,28,13,46.4,8,28.6,157,1140,609,23,8,10,9,6,165,60
Boulaye Dia,FW,Senegal,25,1996,3.5,83,3,5,28,52,11,83,4,1,25.0,1,25.0,47,237,58,4,2,2,9,8,59,19
Abdou Diallo,DF,Senegal,26,1996,3.7,210,19,98,98,15,1,210,0,0,,0,,143,1000,553,2,1,0,2,2,139,1
Rúben Dias,DF,Portugal,25,1997,4.0,293,22,145,146,3,2,293,0,0,,0,,207,919,522,0,1,0,2,1,216,0
Krépin Diatta,"FW,MF",Senegal,23,1999,2.0,90,0,5,34,53,2,90,3,1,33.3,2,66.7,69,551,332,8,8,1,7,7,76,10
Famara Diedhiou,FW,Senegal,29,1992,1.0,25,3,4,9,12,6,25,1,0,0.0,1,100.0,15,40,10,0,0,0,2,2,21,0
Bamba Dieng,FW,Senegal,22,2000,1.1,33,0,2,17,14,3,33,2,0,0.0,1,50.0,21,48,14,0,0,0,4,4,22,3
Eric Dier,DF,England,28,1994,0.4,44,2,22,23,0,0,44,0,0,,0,,35,111,49,0,0,0,0,0,35,0
Axel Disasi,DF,France,24,1998,1.0,91,4,19,48,25,2,91,2,1,50.0,1,50.0,37,207,58,1,4,0,0,1,50,3
Alexander Djiku,"DF,FW",Ghana,27,1994,1.1,43,15,33,10,0,0,43,0,0,,0,,17,76,18,0,0,0,0,0,18,0
Ritsu Doan,FW,Japan,23,1998,2.4,94,3,14,37,43,6,94,8,4,50.0,3,37.5,48,250,96,1,1,1,7,3,50,6
Jeremy Doku,"MF,FW",Belgium,20,2002,0.2,17,0,1,7,10,2,17,4,2,50.0,1,25.0,12,185,96,4,2,0,1,0,14,4
Kasper Dolberg,FW,Denmark,24,1997,1.3,35,1,4,12,19,4,35,3,1,33.3,2,66.7,28,167,34,0,4,0,9,4,28,14
Mohamed Dräger,DF,Tunisia,25,1996,1.5,74,4,25,29,21,4,74,2,1,50.0,1,50.0,24,107,63,0,0,0,5,0,34,9
Óscar Duarte,DF,Costa Rica,33,1989,3.0,132,29,93,35,4,1,132,0,0,,0,,62,276,94,0,1,0,1,0,70,0
Mitchell Duke,FW,Australia,31,1991,3.0,97,0,11,47,41,11,97,2,1,50.0,1,50.0,46,191,57,1,4,0,11,1,62,9
Denzel Dumfries,DF,Netherlands,26,1996,5.3,281,7,54,135,93,12,281,8,0,0.0,6,75.0,164,791,286,12,4,4,13,7,170,37
Paulo Dybala,FW,Argentina,28,1993,0.2,20,1,1,12,7,1,20,2,1,50.0,1,50.0,9,21,3,0,0,0,0,1,13,4
Enzo Ebosse,DF,Cameroon,23,1999,1.0,49,9,28,21,1,0,49,0,0,,0,,24,160,87,2,0,0,0,0,29,0
Ederson,GK,Brazil,28,1993,1.0,32,30,32,0,0,0,32,0,0,,0,,25,114,71,0,0,0,0,0,15,0
Jorge Eduardo Sánchez,DF,Mexico,24,1997,1.9,115,6,33,48,34,4,115,4,1,25.0,3,75.0,52,174,61,1,1,1,4,4,55,13
Nico Elvedi,DF,Switzerland,25,1996,2.0,165,26,93,69,3,1,165,0,0,,0,,90,671,489,5,1,0,1,0,114,0
Breel Embolo,FW,Switzerland,25,1997,3.6,91,3,4,45,42,10,91,6,2,33.3,3,50.0,56,422,196,7,5,1,10,10,77,18
Youssef En-Nesyri,FW,Morocco,25,1997,6.0,129,13,37,62,30,13,129,8,5,62.5,3,37.5,50,157,44,2,2,2,9,1,71,14
Wataru Endo,MF,Japan,29,1993,3.4,241,14,60,140,42,2,241,5,1,20.0,2,40.0,114,468,244,3,6,0,2,5,149,6
Devis Epassy,GK,Cameroon,29,1993,2.0,92,77,91,1,0,0,92,0,0,,0,,52,370,175,0,0,0,0,0,32,0
Christian Eriksen,MF,Denmark,30,1992,3.0,254,1,29,142,89,7,254,4,0,0.0,4,100.0,175,690,358,5,6,0,6,3,176,18
Michael Estrada,FW,Ecuador,26,1996,2.5,71,1,2,46,23,7,71,3,2,66.7,1,33.3,27,109,30,1,0,0,6,2,59,7
