Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Nicolás Otamendi,DF,Argentina,34,1988,7,690,99,100.0,7.7,7,99,7,0,,0,2.00,15,8,+7,+0.91,,15.1,4.6,+10.4,+1.49,+1.49
Otávio,MF,Portugal,27,1995,3,196,65,43.6,2.2,3,65,0,0,,0,2.00,5,2,+3,+1.38,+0.31,3.4,1.8,+1.6,+0.73,+0.76
Abdullah Otayf,MF,Saudi Arabia,29,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Samuel Oum Gouet,MF,Cameroon,24,1997,2,100,50,37.0,1.1,1,90,1,1,10,1,0.50,0,1,-1,-0.90,-1.43,0.8,1.6,-0.8,-0.71,+0.12
Azzedine Ounahi,MF,Morocco,22,2000,7,568,81,86.1,6.3,6,89,2,1,35,0,1.57,4,3,+1,+0.16,+0.16,5.4,6.7,-1.4,-0.22,-0.78
Bryan Oviedo,DF,Costa Rica,32,1990,3,260,87,96.3,2.9,3,87,1,0,,0,1.00,3,9,-6,-2.08,+15.92,1.4,9.0,-7.5,-2.61,+7.77
Mohammed Al-Owais,GK,Saudi Arabia,30,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,
Elisha Owusu,MF,Ghana,24,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Juan Pablo Vargas,DF,Costa Rica,27,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,4,-2,-2.00,+1.00,1.3,5.7,-4.4,-4.40,-2.25
Willian Pacho,DF,Ecuador,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Diego Palacios,DF,Ecuador,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Exequiel Palacios,"MF,DF",Argentina,23,1998,3,50,17,7.2,0.6,0,,0,3,17,4,3.00,1,0,+1,+1.80,+0.96,1.2,0.6,+0.6,+1.05,-0.34
João Palhinha,MF,Portugal,26,1995,3,38,13,8.4,0.4,0,,0,3,13,2,2.00,1,2,-1,-2.37,-3.90,1.1,1.4,-0.2,-0.57,-0.95
James Pantemis,GK,Canada,25,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Lucas Paquetá,MF,Brazil,24,1997,4,314,79,65.4,3.5,4,79,1,0,,1,2.50,7,1,+6,+1.72,+2.26,8.6,1.1,+7.5,+2.14,+0.81
Leandro Paredes,MF,Argentina,27,1994,5,225,45,32.6,2.5,2,60,0,3,35,2,1.60,6,5,+1,+0.40,-0.76,6.6,1.9,+4.7,+2.42,+1.42
Thomas Partey,MF,Ghana,29,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,
Mario Pašalić,"FW,MF",Croatia,27,1995,7,271,39,39.3,3.0,2,58,0,5,31,0,1.43,1,2,-1,-0.33,-0.76,2.2,4.2,-2.0,-0.75,-0.35
Remko Pasveer,GK,Netherlands,38,1983,0,,,,,0,,0,0,,5,,,,,,,,,,,
Rui Patrício,GK,Portugal,34,1988,0,,,,,0,,0,0,,5,,,,,,,,,,,
Benjamin Pavard,DF,France,26,1996,1,88,88,13.3,1.0,1,88,0,0,,6,3.00,4,1,+3,+3.07,+2.28,3.7,0.5,+3.2,+3.24,+3.13
Strahinja Pavlović,DF,Serbia,21,2001,3,235,78,87.0,2.6,3,78,2,0,,0,0.33,5,6,-1,-0.38,+4.76,2.9,6.3,-3.4,-1.30,+0.13
Pedri,MF,Spain,19,2002,4,356,89,91.3,4.0,4,89,3,0,,0,1.25,6,3,+3,+0.76,-7.18,5.3,3.4,+1.9,+0.52,-0.69
Pedro,FW,Brazil,24,1997,2,64,32,13.3,0.7,0,,0,2,32,3,0.50,1,2,-1,-1.41,-2.70,2.5,0.5,+2.0,+5.36,+3.77
Facundo Pellistri,"MF,FW",Uruguay,20,2001,3,181,60,67.0,2.0,2,76,0,1,29,0,1.33,2,1,+1,+0.50,+1.51,2.7,2.5,+0.2,+0.09,+0.13
Pepe,DF,Portugal,39,1983,4,360,90,80.0,4.0,4,90,4,0,,1,1.50,9,4,+5,+1.25,+0.25,5.9,5.4,+0.4,+0.11,-0.97
Danilo Pereira,DF,Portugal,30,1991,1,90,90,20.0,1.0,1,90,1,0,,0,3.00,3,2,+1,+1.00,-0.25,2.0,0.9,+1.1,+1.07,+0.97
Ivan Perišić,"FW,DF",Croatia,33,1989,7,669,96,97.0,7.4,7,96,4,0,,0,1.43,7,7,0,0.00,-4.29,6.2,11.0,-4.8,-0.68,-2.07
Bruno Petković,FW,Croatia,27,1994,6,234,39,33.9,2.6,1,61,0,5,35,1,1.50,4,3,+1,+0.38,+0.38,3.2,4.9,-1.7,-0.76,-0.33
Germán Pezzella,DF,Argentina,30,1991,3,60,20,8.7,0.7,0,,0,3,20,4,1.67,0,3,-3,-4.50,-5.93,1.2,1.5,-0.4,-1.32,-2.78
Kalvin Phillips,MF,England,26,1995,2,42,21,9.3,0.5,0,,0,2,21,3,3.00,1,0,+1,+2.14,+0.38,1.3,0.4,+0.9,+1.95,+1.14
Krzysztof Piątek,FW,Poland,26,1995,2,28,14,7.8,0.3,0,,0,2,14,2,1.50,1,0,+1,+3.21,+4.03,0.8,0.6,+0.2,+0.56,+1.35
Jordan Pickford,GK,England,28,1994,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,13,4,+9,+1.80,,8.6,4.0,+4.6,+0.91,
Samuel Piette,MF,Canada,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Orbelín Pineda,MF,Mexico,26,1996,1,76,76,28.1,0.8,1,76,0,0,,2,3.00,2,0,+2,+2.37,+3.76,1.9,0.4,+1.4,+1.71,+1.96
Yeremi Pino,"FW,MF",Spain,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Gonzalo Plata,"MF,FW",Ecuador,21,2000,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,4,3,+1,+0.33,+0.33,3.7,2.6,+1.1,+0.37,-5.44
Nick Pope,GK,England,30,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
Jackson Porozo,DF,Ecuador,21,2000,2,96,48,35.6,1.1,1,90,1,1,6,1,0.50,1,1,0,0.00,-0.52,1.8,0.1,+1.6,+1.55,+1.79
Yussuf Poulsen,"FW,MF",Denmark,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Morteza Pouraliganji,DF,IR Iran,30,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,
Ángelo Preciado,DF,Ecuador,24,1998,3,264,88,97.8,2.9,3,88,2,0,,0,1.33,4,3,+1,+0.34,+0.34,3.6,2.5,+1.1,+0.37,-0.79
Ayrton Preciado,MF,Ecuador,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Christian Pulisic,"FW,MF",United States,23,1998,4,315,79,87.5,3.5,4,79,3,0,,0,1.25,3,4,-1,-0.29,-0.29,3.7,3.9,-0.2,-0.05,+0.15
Adrien Rabiot,MF,France,27,1995,6,483,81,73.2,5.4,5,91,4,1,28,0,2.17,13,6,+7,+1.30,+0.80,10.4,7.1,+3.3,+0.62,+0.34
Uroš Račić,MF,Serbia,24,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nemanja Radonjić,"DF,FW",Serbia,26,1996,3,60,20,22.2,0.7,0,,0,3,20,0,0.33,0,2,-2,-3.00,-2.57,0.4,1.7,-1.3,-1.93,-0.79
Baba Rahman,DF,Ghana,27,1994,3,183,61,67.8,2.0,2,90,2,1,3,0,1.00,2,5,-3,-1.48,-2.51,2.5,4.1,-1.6,-0.79,-0.96
Predrag Rajković,GK,Serbia,26,1995,0,,,0.0,0.0,0,,0,0,,2,0.00,2,3,-1,,,,,,,
Moisés Ramírez,GK,Ecuador,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Gonçalo Ramos,"FW,MF",Portugal,20,2001,4,152,38,33.8,1.7,2,70,0,2,6,1,2.25,6,3,+3,+1.78,+0.87,3.8,2.2,+1.6,+0.92,+0.93
Aaron Ramsdale,GK,England,24,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Aaron Ramsey,MF,Wales,31,1990,3,266,89,98.5,3.0,3,89,2,0,,0,0.33,1,4,-3,-1.02,+43.98,2.6,4.1,-1.5,-0.49,+9.06
Raphinha,FW,Brazil,25,1996,5,315,63,65.6,3.5,4,76,1,1,12,0,2.00,6,2,+4,+1.14,+0.60,8.1,1.4,+6.7,+1.91,+0.16
Marcus Rashford,FW,England,24,1997,5,140,28,31.1,1.6,1,74,0,4,17,0,2.00,5,1,+4,+2.57,+1.12,3.0,1.5,+1.6,+1.00,+0.13
David Raum,DF,Germany,24,1998,3,242,81,89.6,2.7,3,81,1,0,,0,1.33,3,4,-1,-0.37,-6.80,6.6,2.9,+3.7,+1.39,-8.01
Bassam Al-Rawi,DF,Qatar,24,1997,1,90,90,33.3,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23
David Raya,GK,Spain,26,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
