Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Takehiro Tomiyasu,"DF,MF",Japan,23,1998,2.1,73,103,70.9,1188,500,36,43,83.7,32,41,78.0,4,18,22.2,0,0.2,0.1,-0.2,3,6,2,0,7
Mehdi Torabi,MF,IR Iran,27,1994,0.7,30,37,81.1,421,168,19,21,90.5,9,12,75.0,1,1,100.0,0,0.6,0.2,-0.6,3,5,0,0,6
Félix Torres Caicedo,DF,Ecuador,25,1997,3.0,168,208,80.8,3340,1317,51,58,87.9,94,103,91.3,23,42,54.8,1,0.4,0.0,+0.6,1,3,0,0,2
Ferrán Torres,FW,Spain,22,2000,2.4,59,85,69.4,878,123,33,38,86.8,22,29,75.9,1,5,20.0,0,0.2,0.2,-0.2,1,1,3,0,7
Gerson Torres,MF,Costa Rica,24,1997,0.7,16,16,100.0,228,14,8,8,100.0,8,8,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Pau Torres,DF,Spain,25,1997,1.0,174,191,91.1,3177,815,51,54,94.4,111,120,92.5,11,14,78.6,0,0.0,0.0,0.0,0,11,0,0,7
Kieran Trippier,DF,England,31,1990,2.3,165,195,84.6,2930,762,80,84,95.2,68,76,89.5,16,29,55.2,0,0.1,0.2,-0.1,3,11,2,0,17
Leandro Trossard,"FW,MF",Belgium,27,1994,1.1,43,57,75.4,822,144,21,26,80.8,16,21,76.2,6,7,85.7,0,0.1,0.0,-0.1,2,4,0,0,5
Matt Turner,GK,United States,27,1994,4.0,101,128,78.9,2504,1748,26,26,100.0,50,51,98.0,24,50,48.0,0,0.0,0.0,0.0,0,2,0,0,0
Ayase Ueda,FW,Japan,23,1998,0.5,7,12,58.3,89,11,5,8,62.5,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1
Hwang Ui-jo,"FW,MF",Korea Republic,29,1992,1.2,9,11,81.8,120,19,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Dayot Upamecano,DF,France,23,1998,5.3,314,351,89.5,6860,2217,83,88,94.3,172,179,96.1,56,75,74.7,0,0.1,0.1,-0.1,2,28,0,0,26
Enner Valencia,"FW,MF",Ecuador,32,1989,2.8,40,57,70.2,534,70,25,34,73.5,14,14,100.0,0,1,0.0,0,0.3,0.2,-0.3,3,2,1,1,1
Federico Valverde,MF,Uruguay,23,1998,3.0,159,189,84.1,2866,875,68,73,93.2,63,73,86.3,23,34,67.6,0,0.4,0.4,-0.4,4,21,3,1,29
Virgil van Dijk,DF,Netherlands,30,1991,5.3,311,356,87.4,6371,2470,94,102,92.2,179,194,92.3,38,57,66.7,0,0.1,0.1,-0.1,2,7,1,0,18
Raphaël Varane,DF,France,29,1993,5.8,256,286,89.5,5125,1467,78,85,91.8,155,162,95.7,23,38,60.5,0,0.0,0.0,0.0,0,20,0,0,7
Guillermo Varela,DF,Uruguay,29,1993,2.0,62,92,67.4,1043,465,31,38,81.6,22,33,66.7,7,14,50.0,0,0.1,0.0,-0.1,1,3,2,1,5
Ruben Vargas,FW,Switzerland,23,1998,3.2,80,117,68.4,1145,310,49,57,86.0,26,41,63.4,3,9,33.3,1,0.6,0.7,+0.4,5,4,1,0,8
