Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Edinson Cavani,FW,Uruguay,35,1987,1.4,0,3,0,0.0,2.18,0.00,0.00,,13.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Ghaylène Chaalali,MF,Tunisia,28,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Chacón,MF,Costa Rica,21,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ilias Chair,MF,Morocco,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kwon Chang-hoon,"FW,MF",Korea Republic,27,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Chávez,MF,Mexico,26,1996,3.0,1,10,4,40.0,3.33,1.33,0.10,0.25,31.4,4,0,0,0.3,0.3,0.03,+0.7,+0.7
Walid Cheddira,FW,Morocco,24,1998,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,9.8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Roozbeh Cheshmi,"DF,MF",IR Iran,28,1993,0.6,1,1,1,100.0,1.55,1.55,1.00,1.00,28.1,0,0,0,0.1,0.1,0.05,+0.9,+0.9
Andreas Christensen,DF,Denmark,26,1996,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,5.9,0,0,0,0.4,0.4,0.18,+0.6,+0.6
Hong Chul,DF,Korea Republic,31,1990,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Cifuentes,MF,Ecuador,23,1999,0.7,0,1,1,100.0,1.53,1.53,0.00,0.00,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Pathé Ciss,MF,Senegal,28,1994,1.6,0,1,0,0.0,0.62,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Sebastián Coates,DF,Uruguay,31,1990,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Rubin Colwill,MF,Wales,20,2002,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Kingsley Coman,"FW,MF",France,26,1996,1.9,0,1,0,0.0,0.53,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Eray Cömert,DF,Switzerland,24,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Anthony Contreras,"FW,MF",Costa Rica,22,2000,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andreas Cornelius,FW,Denmark,29,1993,1.0,0,5,2,40.0,4.89,1.96,0.00,0.00,10.2,0,0,0,1.0,1.0,0.20,-1.0,-1.0
Ángel Correa,MF,Argentina,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Costa,GK,Portugal,22,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thibaut Courtois,GK,Belgium,30,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
