Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Gabriel Jesus,FW,Brazil,25,1997,1.0,6,5.81,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Raúl Jiménez,FW,Mexico,31,1991,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kim Jin-su,DF,Korea Republic,30,1992,3.5,7,2.00,6,0,0,0,0,1,1,0.29,1,0,0,0,0,0
Brennan Johnson,"FW,MF",Wales,21,2001,1.0,1,0.99,0,1,0,0,0,0,1,0.99,0,1,0,0,0,0
Alistair Johnston,DF,Canada,23,1998,3.0,8,2.67,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Frenkie de Jong,MF,Netherlands,25,1997,5.3,9,1.82,8,0,0,1,0,0,2,0.40,2,0,0,0,0,0
Luuk de Jong,FW,Netherlands,31,1990,0.6,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luka Jović,FW,Serbia,24,1997,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Son Jun-ho,"MF,DF",Korea Republic,30,1992,0.8,3,3.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vinicius Júnior,FW,Brazil,21,2000,3.3,16,4.82,12,0,1,2,1,0,4,1.20,3,0,0,1,0,0
Josip Juranović,DF,Croatia,26,1995,6.7,15,2.50,12,3,0,0,0,0,2,0.33,2,0,0,0,0,0
Daichi Kamada,"FW,MF",Japan,25,1996,3.6,7,1.96,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Jakub Kamiński,MF,Poland,20,2002,2.6,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28,1994,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Harry Kane,FW,England,28,1993,4.5,10,2.24,5,0,1,3,1,0,3,0.67,3,0,0,0,0,0
Lee Kang-in,"MF,FW",Korea Republic,21,2001,1.6,13,7.96,8,0,0,2,2,1,3,1.84,1,0,0,0,1,1
