Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Cameron Carter-Vickers,DF,United States,24,1997,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0
Dani Carvajal,DF,Spain,30,1992,1.5,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,1,0
William Carvalho,MF,Portugal,30,1992,2.4,6,5,4,2,0,1,2,50.0,1,2,0,2,0,6,3,0
Casemiro,MF,Brazil,30,1992,4.3,11,4,3,5,3,4,6,66.7,2,13,2,11,7,18,5,0
Matty Cash,DF,Poland,24,1997,4.0,4,3,3,1,0,3,6,50.0,3,7,2,5,0,4,17,0
Timothy Castagne,DF,Belgium,26,1995,3.0,7,4,6,1,0,4,6,66.7,2,1,0,1,2,9,4,0
Jean-Charles Castelletto,DF,Cameroon,27,1995,2.0,3,3,2,1,0,0,1,0.0,1,2,1,1,6,9,12,0
Lucas Cavallini,FW,Canada,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edinson Cavani,FW,Uruguay,35,1987,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ghaylène Chaalali,MF,Tunisia,28,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0
Daniel Chacón,MF,Costa Rica,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ilias Chair,MF,Morocco,24,1997,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Kwon Chang-hoon,"FW,MF",Korea Republic,27,1994,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Luis Chávez,MF,Mexico,26,1996,3.0,1,0,0,1,0,1,4,25.0,3,6,0,6,1,2,3,0
Walid Cheddira,FW,Morocco,24,1998,0.7,1,0,0,1,0,0,0,,0,0,0,0,0,1,2,0
Roozbeh Cheshmi,"DF,MF",IR Iran,28,1993,0.6,0,0,0,0,0,0,0,,0,1,1,0,2,2,3,0
Andreas Christensen,DF,Denmark,26,1996,3.0,4,2,1,3,0,2,2,100.0,0,7,5,2,4,8,9,0
Hong Chul,DF,Korea Republic,31,1990,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0
José Cifuentes,MF,Ecuador,23,1999,0.7,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0
Pathé Ciss,MF,Senegal,28,1994,1.6,3,3,1,2,0,0,2,0.0,2,1,1,0,2,5,4,0
Sebastián Coates,DF,Uruguay,31,1990,2.0,1,0,0,1,0,0,0,,0,3,1,2,1,2,6,0
Rubin Colwill,MF,Wales,20,2002,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Kingsley Coman,"FW,MF",France,26,1996,1.9,3,2,1,2,0,1,2,50.0,1,3,0,3,2,5,1,0
Eray Cömert,DF,Switzerland,24,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,2,0
Anthony Contreras,"FW,MF",Costa Rica,22,2000,1.4,5,2,3,2,0,1,1,100.0,0,0,0,0,1,6,0,0
Andreas Cornelius,FW,Denmark,29,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ángel Correa,MF,Argentina,27,1995,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
Diogo Costa,GK,Portugal,22,1999,5.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,1
Thibaut Courtois,GK,Belgium,30,1992,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Jason Cummings,FW,Australia,26,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
