Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Fabian Frei,MF,Switzerland,33,1989,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
Remo Freuler,MF,Switzerland,30,1992,3.6,154,146,7,5,0,0,0,2,0,0,0,0,127,1,2
Keysher Fuller,"DF,MF",Costa Rica,27,1994,2.8,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2
Niclas Füllkrug,FW,Germany,29,1993,0.8,24,21,3,0,0,1,0,0,0,0,0,0,15,0,2
Rogelio Funes Mori,FW,Mexico,31,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Gakpo,"FW,MF",Netherlands,23,1999,5.0,148,120,27,7,1,0,33,4,16,6,8,0,93,1,5
Hernán Galíndez,GK,Ecuador,35,1987,3.0,74,46,28,7,0,0,0,0,0,0,0,0,44,0,0
Jesús Gallardo,DF,Mexico,27,1994,3.0,134,109,22,4,0,0,9,18,0,0,0,0,93,3,4
Idrissa Gana Gueye,MF,Senegal,32,1989,3.0,133,113,17,4,0,0,15,2,7,4,2,0,107,3,2
Gavi,MF,Spain,17,2004,3.2,154,146,8,3,0,0,4,0,0,0,0,0,133,0,5
Sultan Al-Ghanam,"DF,MF",Saudi Arabia,28,1994,1.4,52,37,15,1,0,0,7,14,0,0,0,0,34,0,3
Nader Ghandri,DF,Tunisia,27,1995,1.0,33,32,1,0,0,0,0,0,0,0,0,0,27,0,0
Saman Ghoddos,MF,IR Iran,28,1993,0.5,20,17,3,1,0,0,2,1,1,1,0,0,15,0,1
Ali Gholizadeh,"MF,FW",IR Iran,26,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2
Matthias Ginter,DF,Germany,28,1994,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Olivier Giroud,FW,France,35,1986,4.7,74,66,7,0,1,1,0,0,0,0,0,0,48,1,0
Kamil Glik,DF,Poland,34,1988,4.0,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0
Serge Gnabry,"FW,MF",Germany,26,1995,2.9,118,112,4,0,0,0,7,4,0,0,0,0,86,2,8
Diego Godín,DF,Uruguay,36,1986,1.7,103,101,2,2,0,0,0,0,0,0,0,0,87,0,0
Maxi Gómez,FW,Uruguay,25,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Papu Gómez,"MF,FW",Argentina,34,1988,1.2,60,56,1,0,0,1,1,0,1,0,0,0,53,3,0
Shūichi Gonda,GK,Japan,33,1989,4.3,113,73,39,13,0,1,0,0,0,0,0,0,68,1,0
Craig Goodwin,MF,Australia,30,1991,2.6,95,84,11,3,0,0,18,4,4,3,1,0,58,0,4
Leon Goretzka,MF,Germany,27,1995,1.8,57,55,0,0,0,0,1,0,0,0,0,0,42,2,1
Mario Götze,MF,Germany,30,1992,0.4,23,23,0,0,0,0,2,0,0,0,0,0,21,0,2
Jack Grealish,FW,England,26,1995,1.0,54,53,1,1,0,0,0,0,0,0,0,0,48,0,3
Antoine Griezmann,MF,France,31,1991,6.0,329,274,52,20,4,5,40,1,28,13,11,0,258,3,5
Kamil Grosicki,MF,Poland,34,1988,0.0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0
Carlos Gruezo,MF,Ecuador,27,1995,0.5,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Marko Grujić,MF,Serbia,26,1996,0.1,17,16,1,0,0,0,0,1,0,0,0,0,14,0,0
Andrés Guardado,MF,Mexico,35,1986,0.5,16,14,2,1,0,0,0,0,0,0,0,0,11,0,1
Nemanja Gudelj,"MF,DF",Serbia,30,1991,1.0,52,51,1,1,0,1,0,0,0,0,0,0,44,0,1
Cho Gue-sung,FW,Korea Republic,24,1998,3.1,63,56,7,0,0,0,1,0,0,0,0,0,40,0,0
Mattéo Guendouzi,"FW,MF",France,23,1999,0.9,33,30,3,1,0,1,0,1,0,0,0,0,27,0,2
Raphaël Guerreiro,DF,Portugal,28,1993,3.1,185,156,28,1,0,0,13,25,2,0,2,0,156,1,2
Pape Gueye,MF,Senegal,23,1999,1.7,62,55,6,3,0,0,1,0,2,0,0,0,45,1,2
