Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Patrik Hrošovský,SVK,MF,Genk,32-194,1992,8.8,8,5,0,5,3,4,9,44.4,5,7,1,6,3,11,11,0
Dean Huiberts,NED,MF,Beerschot,24-170,2000,2.2,9,2,4,4,1,5,8,62.5,3,3,2,1,2,11,3,0
Oh Hyeon-gyu,KOR,FW,Genk,23-204,2001,1.5,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0
Hong Hyunseok,KOR,MF,Gent,25-139,1999,2.8,4,2,2,2,0,1,6,16.7,5,2,0,2,1,5,1,0
Mounaim El Idrissy,FRA,"DF,FW",Kortrijk,25-266,1999,3.4,7,7,6,1,0,1,3,33.3,2,3,1,2,4,11,6,0
Chukwubuikem Ikwuemesi,NGA,FW,OH Leuven,23-089,2001,4.1,1,1,0,1,0,0,0,,0,2,0,2,1,2,2,0
Atsuki Ito,JPN,MF,Gent,26-083,1998,5.6,16,11,5,9,2,6,16,37.5,10,6,2,4,9,25,16,1
Ryotaro Ito,JPN,MF,Sint-Truiden,26-270,1998,8.2,8,7,4,3,1,3,9,33.3,6,3,1,2,2,10,2,0
Franjo Ivanović,CRO,FW,Union SG,21-032,2003,4.7,4,2,1,2,1,0,7,0.0,7,6,1,5,0,4,3,0
Vincent Janssen,NED,FW,Antwerp,30-140,1994,11.8,19,17,4,12,3,12,20,60.0,8,6,0,6,5,24,12,0
Wolke Janssens,BEL,DF,Sint-Truiden,29-296,1995,1.0,2,0,2,0,0,1,2,50.0,1,1,0,1,1,3,9,0
Ardon Jashari,SUI,MF,Club Brugge,22-095,2002,5.1,9,6,6,3,0,2,6,33.3,4,1,1,0,5,14,7,0
Edisson Jordanov,BUL,DF,Westerlo,31-147,1993,0.8,1,1,1,0,0,1,2,50.0,1,1,0,1,2,3,2,0
Ferran Jutglà,ESP,"FW,MF",Club Brugge,25-275,1999,3.2,6,2,1,3,2,2,2,100.0,0,2,1,1,0,6,2,0
Mathias Jørgensen,DEN,DF,Anderlecht,34-193,1990,8.0,10,5,8,2,0,7,10,70.0,3,16,13,3,8,18,30,0
Elton Kabangu,BEL,"FW,MF",Union SG,26-268,1998,1.4,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
Abdelkahar Kadri,ALG,MF,Kortrijk,24-131,2000,8.3,21,13,9,7,5,9,16,56.3,7,13,2,11,9,30,3,1
Emmanuel Kakou,CIV,DF,Cercle Brugge,19-125,2005,6.0,9,4,6,3,0,3,10,30.0,7,9,3,6,9,18,18,0
Ismaël Kandouss,MAR,MF,Gent,26-356,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Takuro Kaneko,JPN,"MF,FW",Kortrijk,27-095,1997,7.5,13,10,4,6,3,8,13,61.5,5,11,1,10,6,19,5,0
Konstantinos Karetsas,BEL,MF,Genk,16-349,2007,5.0,8,4,2,2,4,5,9,55.6,4,7,0,7,0,8,0,0
Joris Kayembe,COD,"DF,MF",Genk,30-086,1994,11.9,23,14,14,6,3,10,16,62.5,6,7,2,5,18,41,27,1
Charly Keita,FRA,FW,Beerschot,25-139,1999,6.4,1,0,0,1,0,0,1,0.0,1,10,2,8,1,2,8,0
Check Keita,FRA,DF,Charleroi,21-214,2003,5.6,15,9,11,4,0,11,11,100.0,0,8,3,5,4,19,9,0
Mandela Keita,BEL,"MF,DF",Antwerp,22-176,2002,2.6,7,3,3,3,1,5,7,71.4,2,2,1,1,5,12,3,0
Gyrano Kerk,SUR,"FW,MF",Antwerp,28-336,1995,9.0,11,9,8,2,1,4,18,22.2,14,10,0,10,2,13,5,0
Anan Khalaili,ISR,"DF,FW",Union SG,20-060,2004,2.8,9,4,5,3,1,3,5,60.0,2,4,0,4,3,12,4,0
Bilal El Khannouss,MAR,MF,Genk,20-176,2004,0.8,2,1,1,0,1,0,0,,0,1,0,1,0,2,3,0
Leo Kokubo,JPN,GK,Sint-Truiden,23-284,2001,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1
Mory Konaté,GUI,MF,Mechelen,30-353,1993,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
Mohamed Koné,CIV,GK,Charleroi,22-240,2002,11.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1
Josué Kongolo,BEL,DF,Genk,18-203,2006,0.8,3,3,0,3,0,1,1,100.0,0,0,0,0,2,5,5,0
Tolis Konstantopoulos,GRE,DF,Beerschot,22-092,2002,8.7,26,17,18,7,1,13,23,56.5,10,14,7,7,15,41,47,0
Ayouba Kosiah,LBR,"FW,DF",Beerschot,23-103,2001,2.3,3,2,0,3,0,1,2,50.0,1,1,0,1,0,3,0,0
Florian Krüger,GER,"FW,MF",Beerschot,25-263,1999,1.3,1,0,0,0,1,1,3,33.3,2,2,0,2,0,1,1,0
Léandre Kuavita,BEL,MF,Standard Liège,20-155,2004,7.0,8,4,1,5,2,6,9,66.7,3,9,1,8,5,13,11,0
Sven Kums,BEL,MF,Gent,36-250,1988,4.0,9,4,3,2,4,4,12,33.3,8,6,2,4,2,11,7,0
Hasan Kuruçay,,DF,OH Leuven,27-063,1997,3.5,5,3,4,1,0,3,4,75.0,1,1,1,0,2,7,18,0
Roman Květ,CZE,"MF,FW",Dender,26-321,1997,8.2,15,7,3,5,7,6,19,31.6,13,14,1,13,7,22,7,0
Grejohn Kyei,FRA,FW,Charleroi,29-082,1995,3.7,3,1,0,3,0,2,2,100.0,0,2,1,1,0,3,3,0
Grejohn Kyei,FRA,"FW,MF",Standard Liège,29-082,1995,2.4,2,1,1,0,1,2,3,66.7,1,0,0,0,0,2,6,0
Bram Lagae,BEL,DF,Kortrijk,20-293,2004,8.0,11,7,8,3,0,8,15,53.3,7,15,7,8,6,17,37,2
Hugo Lambotte,BEL,MF,Sint-Truiden,18-135,2006,0.4,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0
Senne Lammens,BEL,GK,Antwerp,22-118,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Lion Lauberbach,GER,FW,Mechelen,26-261,1998,7.3,3,1,1,2,0,0,2,0.0,2,2,0,2,0,3,7,0
Henry Lawrence,ENG,DF,Standard Liège,23-042,2001,6.6,8,5,5,2,1,4,10,40.0,6,8,5,3,5,13,18,0
