Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Michal Tomič,SVK,DF,Bodø/Glimt,25-201,1999,0.5,2,1,1,1,0,1,2,50.0,1,1,1,0,3,5,0,0
Lucas Torreira,URU,MF,Galatasaray,28-249,1996,1.8,6,2,0,6,0,4,6,66.7,2,1,0,1,2,8,1,0
Cenk Tosun,TUR,"FW,MF",Fenerbahçe,33-132,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adama Traoré,MLI,FW,Ferencváros,29-134,1995,1.8,3,3,2,0,1,2,3,66.7,1,1,0,1,0,3,1,0
Bertrand Traoré,BFA,FW,Ajax,29-041,1995,0.8,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,4,0
Dor Turgeman,ISR,FW,Maccabi Tel Aviv,20-359,2003,0.9,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,0,0
Beñat Turrientes,ESP,MF,Real Sociedad,22-260,2002,1.0,2,0,1,0,1,0,1,0.0,1,2,1,1,0,2,0,0
Tuta,BRA,DF,Eint Frankfurt,25-105,1999,1.0,1,1,0,1,0,0,0,,0,2,1,1,0,1,1,0
Oleksandr Tymchyk,UKR,DF,Dynamo Kyiv,27-271,1997,1.0,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,5,0
Kostas Tzolakis,GRE,GK,Olympiacos,21-344,2002,2.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0
Salih Uçan,TUR,MF,Beşiktaş,30-285,1994,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Destiny Udogie,ITA,DF,Tottenham,21-324,2002,0.9,3,2,3,0,0,1,1,100.0,0,0,0,0,1,4,2,0
Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-189,2001,1.0,4,2,1,3,0,2,3,66.7,1,2,1,1,2,6,2,0
Cengiz Ünder,TUR,FW,Fenerbahçe,27-095,1997,0.8,2,2,1,1,0,1,3,33.3,2,1,0,1,1,3,0,0
Lars Unnerstall,GER,GK,Twente,34-089,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Vladyslav Vanat,UKR,FW,Dynamo Kyiv,22-287,2002,1.8,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,2,0
Charles Vanhoutte,BEL,MF,Union SG,26-031,1998,2.0,5,2,1,4,0,3,7,42.9,4,10,4,6,4,9,2,0
Alan Varela,ARG,"MF,FW",Porto,23-105,2001,1.0,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,0,0
Barnabás Varga,HUN,FW,Ferencváros,30-266,1994,2.0,2,1,0,2,0,0,1,0.0,1,1,0,1,1,3,4,0
Daniel Vašulín,,"MF,FW",Viktoria Plzeň,26-128,1998,0.7,1,1,0,0,1,0,0,,0,2,0,2,0,1,2,0
Luis Vázquez,ARG,FW,Anderlecht,23-267,2001,1.2,2,2,1,1,0,1,3,33.3,2,0,0,0,0,2,3,0
Matías Vecino,URU,MF,Lazio,33-054,1991,1.7,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,5,0
Kristoffer Velde,NOR,MF,Olympiacos,25-038,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Micky van de Ven,NED,DF,Tottenham,23-181,2001,1.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Olivier Verdon,BEN,DF,Ludogorets,29-012,1995,2.0,6,3,6,0,0,3,4,75.0,1,1,0,1,1,7,6,0
Jordan Veretout,FRA,MF,Lyon,31-230,1993,0.8,4,2,2,2,0,2,3,66.7,1,0,0,0,1,5,2,0
Yari Verschaeren,BEL,MF,Anderlecht,23-097,2001,1.3,2,1,1,1,0,2,2,100.0,0,1,1,0,0,2,2,0
Guglielmo Vicario,ITA,GK,Tottenham,28-010,1996,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0
Caio Vidal,BRA,FW,Ludogorets,23-348,2000,1.2,0,0,0,0,0,0,4,0.0,4,1,0,1,1,1,1,0
Fabio Vieira,POR,"FW,MF",Porto,24-140,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Daniel Vivian,ESP,DF,Athletic Club,25-094,1999,1.9,8,1,5,3,0,5,5,100.0,0,3,1,2,4,12,9,0
Michel Vlap,NED,MF,Twente,27-137,1997,1.4,3,1,1,0,2,2,3,66.7,1,4,3,1,0,3,3,0
Nazar Voloshyn,UKR,FW,Dynamo Kyiv,21-122,2003,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Matěj Vydra,CZE,FW,Viktoria Plzeň,32-169,1992,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Kasper Waarst Høgh,DEN,FW,Bodø/Glimt,23-316,2000,1.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Conrad Wallem,NOR,"DF,FW",Slavia Prague,24-130,2000,1.7,2,1,1,0,1,0,1,0.0,1,3,0,3,0,2,2,1
Wout Weghorst,NED,FW,Ajax,32-071,1992,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Timo Werner,GER,"FW,MF",Tottenham,28-225,1996,0.9,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Owen Wijndal,NED,FW,Ajax,24-324,1999,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,3,0
Iñaki Williams,GHA,FW,Athletic Club,30-124,1994,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Nico Williams,ESP,"FW,MF",Athletic Club,22-097,2002,1.3,2,2,0,2,0,2,2,100.0,0,0,0,0,1,3,0,0
Willian,BRA,MF,Olympiacos,36-069,1988,0.6,1,0,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0
Aslak Witry,NOR,DF,Ludogorets,28-221,1996,2.0,2,1,0,2,0,2,5,40.0,3,5,2,3,1,3,7,0
Ricky van Wolfswinkel,NED,FW,Twente,35-264,1989,2.0,2,1,2,0,0,1,7,14.3,6,4,0,4,0,2,6,0
Mert Yandaş,TUR,MF,Fenerbahçe,30-059,1994,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0
Roman Yaremchuk,UKR,FW,Olympiacos,28-325,1995,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Andriy Yarmolenko,UKR,FW,Dynamo Kyiv,34-360,1989,0.7,2,2,0,2,0,0,2,0.0,2,0,0,0,1,3,1,0
Terry Yegbe,GHA,DF,Elfsborg,23-266,2001,2.0,1,1,0,0,1,1,1,100.0,0,3,3,0,9,10,8,0
İsmail Yüksek,TUR,FW,Fenerbahçe,25-265,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mattia Zaccagni,ITA,FW,Lazio,29-123,1995,0.8,3,1,1,1,1,0,3,0.0,3,0,0,0,0,3,1,0
Kristoffer Zachariassen,NOR,"MF,FW",Ferencváros,29-356,1994,1.1,4,3,1,2,1,1,2,50.0,1,1,0,1,0,4,1,0
Christos Zafeiris,GRE,MF,Slavia Prague,21-237,2003,1.1,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0
Wilfried Zaha,CIV,FW,Lyon,31-342,1992,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
Eran Zahavi,ISR,FW,Maccabi Tel Aviv,37-084,1987,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Dmitrijs Zelenkovs,LVA,"DF,MF",FK Rīgas FS,24-155,2000,1.7,2,1,2,0,0,0,2,0.0,2,5,0,5,4,6,2,0
Arber Zeneli,KVX,FW,Elfsborg,29-235,1995,1.3,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
