Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Serge Gnabry,GER,FW,Bayern Munich,29-116,1995,3.4,195,0,8,65,124,23,195,9,4,44.4,5,55.6,129,577,308,9,5,5,6,0,161,55
Ben Godfrey,ENG,DF,Atalanta,26-297,1998,0.1,3,0,2,1,0,0,3,0,0,,0,,3,5,4,0,0,0,0,0,2,0
Aleksandr Golovin,RUS,"FW,MF",Monaco,28-161,1996,2.5,148,0,13,56,79,5,148,4,3,75.0,1,25.0,73,360,122,2,4,1,5,5,108,20
Angel Gomes,ENG,MF,Lille,24-068,2000,1.1,49,3,13,28,8,1,49,0,0,,0,,28,101,37,0,1,0,3,0,40,1
Marlon Gomes,BRA,"MF,FW",Shakhtar,20-329,2003,1.0,71,2,15,37,19,6,71,5,2,40.0,3,60.0,46,228,107,4,1,2,2,0,49,5
Joe Gomez,ENG,DF,Liverpool,27-168,1997,0.3,32,6,11,16,5,0,32,0,0,,0,,9,24,17,0,0,0,0,0,16,3
Pedro Gonçalves,POR,MF,Sporting CP,26-132,1998,2.2,78,4,19,35,25,4,78,4,3,75.0,1,25.0,49,298,201,5,3,1,4,3,57,4
Facundo González,URU,DF,Feyenoord,21-154,2003,0.1,5,2,3,0,2,1,5,0,0,,0,,2,22,14,1,0,1,1,0,1,1
Nicolás González,ARG,FW,Juventus,26-215,1998,0.9,48,1,12,25,13,4,48,6,1,16.7,4,66.7,28,197,89,1,2,1,2,1,36,4
Jon Gorenc Stanković,SVN,MF,Sturm Graz,28-298,1996,1.0,64,6,28,33,3,1,64,1,0,0.0,1,100.0,29,92,61,0,1,0,1,0,28,0
Leon Goretzka,GER,"MF,DF",Bayern Munich,29-275,1995,0.5,48,1,9,28,12,2,48,0,0,,0,,21,137,61,3,2,0,0,0,32,1
Lucas Gourna-Douath,FRA,MF,RB Salzburg,21-094,2003,2.0,141,4,38,91,14,0,141,6,1,16.7,4,66.7,92,684,242,1,2,0,2,2,88,1
Ryan Gravenberch,NED,MF,Liverpool,22-175,2002,4.0,240,11,55,147,40,2,240,6,4,66.7,2,33.3,138,883,506,13,10,0,3,4,157,5
Jack Grealish,ENG,"FW,MF",Manchester City,29-058,1995,1.1,61,2,3,14,46,9,61,3,0,0.0,0,0.0,46,341,249,10,6,5,0,1,48,13
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,33-231,1991,3.5,229,2,31,111,89,9,229,4,3,75.0,0,0.0,139,625,326,11,8,0,9,2,176,19
Álex Grimaldo,ESP,DF,Leverkusen,29-048,1995,3.7,278,15,69,118,93,11,278,12,7,58.3,4,33.3,157,559,295,5,9,0,2,2,203,31
Pascal Groß,GER,"MF,DF",Dortmund,33-145,1991,2.7,325,8,65,163,97,5,325,2,0,0.0,1,50.0,212,852,345,3,8,1,0,7,247,14
