Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Denso Kasius,NED,"FW,DF",AZ Alkmaar,22-030,2002,1.0,61,2,25,20,18,0,61,5,2,40.0,2,40.0,30,139,84,1,2,0,2,0,36,5
Tomasz Kędziora,POL,DF,PAOK,30-147,1994,3.0,258,28,120,125,13,3,258,0,0,,0,,158,900,398,0,3,0,3,1,183,1
Can Keles,AUT,FW,Beşiktaş,23-064,2001,0.1,5,0,0,0,5,0,5,0,0,,0,,3,19,5,1,0,0,0,0,4,1
Anan Khalaili,ISR,"FW,DF",Union SG,20-063,2004,1.6,97,4,26,39,36,5,97,6,2,33.3,3,50.0,54,290,121,4,5,1,5,1,65,8
Isaac Kiese Thelin,SWE,FW,Malmö,32-134,1992,1.7,33,2,4,10,19,5,33,0,0,,0,,22,67,12,0,0,0,4,5,27,3
Mārtiņš Ķigurs,LVA,"MF,DF",FK Rīgas FS,27-219,1997,0.1,9,0,1,7,1,0,9,0,0,,0,,9,83,52,0,0,0,0,0,9,1
Semih Kılıçsoy,TUR,FW,Beşiktaş,19-082,2005,0.9,33,1,5,13,15,4,33,3,2,66.7,1,33.3,24,132,61,3,1,1,4,4,28,6
Antonín Kinský,CZE,GK,Slavia Prague,21-237,2003,3.0,131,93,126,5,0,0,131,0,0,,0,,87,472,257,0,0,0,0,0,88,0
Mathias Kjølø,NOR,MF,Twente,23-131,2001,0.6,32,1,12,18,2,0,32,0,0,,0,,21,87,27,1,0,0,0,0,20,1
Ansgar Knauff,GER,MF,Eint Frankfurt,22-300,2002,1.2,56,1,17,12,27,8,56,1,0,0.0,1,100.0,33,128,57,1,2,1,2,0,36,13
Robin Koch,GER,DF,Eint Frankfurt,28-111,1996,2.0,123,15,55,67,3,1,123,1,1,100.0,0,0.0,81,380,187,0,0,0,0,0,85,2
Mateusz Kochalski,POL,GK,Qarabağ,24-103,2000,2.0,57,49,57,0,0,0,57,0,0,,0,,37,175,104,0,0,0,0,0,28,0
Manu Koné,FRA,MF,Roma,23-172,2001,1.9,121,2,16,75,30,0,121,3,2,66.7,1,33.3,96,596,235,5,7,0,3,0,92,1
Giannis Konstantelias,GRE,MF,PAOK,21-245,2003,2.8,101,1,2,40,61,16,101,11,5,45.5,6,54.5,58,471,197,8,7,5,11,4,70,12
Peer Koopmeiners,NED,MF,AZ Alkmaar,24-185,2000,2.3,141,3,29,74,39,0,141,4,1,25.0,3,75.0,66,261,112,3,3,1,6,1,86,8
Jan Kopic,CZE,DF,Viktoria Plzeň,34-154,1990,0.3,14,1,1,6,7,1,14,1,0,0.0,1,100.0,8,25,13,0,0,0,0,0,10,3
Charalampos Kostoulas,GRE,"FW,MF",Olympiacos,17-159,2007,0.5,18,0,1,8,9,1,18,0,0,,0,,8,40,9,0,0,0,1,0,11,2
Dominik Kotarski,CRO,GK,PAOK,24-269,2000,3.0,140,108,136,4,0,0,140,0,0,,0,,73,373,243,1,0,0,0,0,87,0
Cedric Kouadio,CIV,FW,FK Rīgas FS,28-170,1996,2.5,77,0,8,36,35,7,77,3,2,66.7,1,33.3,53,265,105,5,2,3,11,11,55,11
Štěpán Kozel,CZE,DF,Slavia Prague,21-242,2003,0.0,2,1,2,0,0,0,2,0,0,,0,,1,2,1,0,0,0,0,0,2,0
Andrej Kramarić,CRO,MF,Hoffenheim,33-139,1991,1.8,98,0,5,53,41,5,98,1,0,0.0,1,100.0,63,256,105,2,4,1,2,2,79,7
Rasmus Kristensen,DEN,DF,Eint Frankfurt,27-117,1997,2.9,248,12,74,120,54,1,248,3,3,100.0,0,0.0,154,645,342,5,10,0,3,1,168,21
Takefusa Kubo,JPN,"MF,FW",Real Sociedad,23-154,2001,1.3,90,0,4,32,54,12,90,6,1,16.7,5,83.3,56,419,233,11,7,5,3,2,69,16
Jan Kuchta,CZE,FW,Midtjylland,27-302,1997,1.6,34,0,4,16,14,4,34,0,0,,0,,12,42,2,0,0,0,2,2,24,3
Bas Kuipers,NED,DF,Twente,30-080,1994,0.5,16,1,2,9,5,2,16,0,0,,0,,9,32,3,0,0,0,0,0,7,0
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24-194,2000,1.0,52,0,9,18,25,5,52,3,1,33.3,2,66.7,33,166,103,3,1,1,6,3,34,13
Berkan Kutlu,TUR,"MF,DF",Galatasaray,26-285,1998,0.3,27,1,8,9,10,0,27,2,1,50.0,1,50.0,20,67,22,0,0,0,1,0,20,2
Dave Kwakman,NED,MF,AZ Alkmaar,20-090,2004,0.1,8,3,7,1,0,0,8,0,0,,0,,4,20,1,0,0,0,0,0,3,1
Gaëtan Laborde,FRA,FW,Nice,30-186,1994,0.7,14,1,2,5,7,3,14,0,0,,0,,4,8,0,0,0,0,1,0,11,3
Alexandre Lacazette,FRA,FW,Lyon,33-161,1991,2.7,95,0,7,33,55,16,95,6,3,50.0,3,50.0,74,237,79,1,2,0,4,5,81,23
Gustaf Lagerbielke,SWE,DF,Twente,24-209,2000,0.1,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Mayckel Lahdo,SWE,"FW,MF",AZ Alkmaar,21-311,2002,0.4,14,0,0,9,5,0,14,0,0,,0,,11,59,15,1,0,0,2,0,12,2
Sam Lammers,NED,FW,Twente,27-189,1997,2.4,84,4,12,40,33,15,84,2,0,0.0,1,50.0,54,182,61,4,2,4,8,3,62,13
Will Lankshear,ENG,FW,Tottenham,19-199,2005,0.7,17,0,1,6,10,5,17,0,0,,0,,12,56,31,3,1,2,2,1,13,6
Hugo Larsson,SWE,MF,Eint Frankfurt,20-131,2004,1.5,84,4,14,48,22,1,84,0,0,,0,,50,151,90,1,0,0,0,0,53,6
Johan Larsson,SWE,FW,Elfsborg,34-184,1990,0.2,12,0,3,7,2,1,12,1,1,100.0,0,0.0,5,16,7,0,0,0,0,0,8,1
Tom Lawrence,WAL,MF,Rangers,30-297,1994,1.9,83,1,13,40,34,9,83,3,2,66.7,1,33.3,44,250,156,4,5,2,4,2,41,7
Hisham Layous,ISR,FW,Maccabi Tel Aviv,23-358,2000,0.9,44,0,3,10,31,13,44,2,0,0.0,2,100.0,32,261,172,10,3,7,2,2,34,13
Manuel Lazzari,ITA,DF,Lazio,30-342,1993,0.1,4,2,2,2,0,0,4,0,0,,0,,2,14,0,0,0,0,0,0,2,0
Enzo Le Fée,FRA,MF,Roma,24-276,2000,0.6,62,0,7,43,12,1,62,2,2,100.0,0,0.0,51,291,119,2,2,0,0,0,47,3
Stav Lemkin,ISR,DF,Maccabi Tel Aviv,21-217,2003,1.8,108,6,32,59,17,4,108,0,0,,0,,40,105,62,0,0,0,1,0,54,2
Theo Leoni,BEL,MF,Anderlecht,24-198,2000,1.2,86,4,31,40,16,3,86,1,1,100.0,0,0.0,46,165,58,1,0,1,3,0,59,2
Fedde Leysen,BEL,DF,Union SG,21-119,2003,0.1,15,3,4,7,4,1,15,0,0,,0,,7,22,8,0,0,0,0,0,6,0
Matthijs de Ligt,NED,DF,Manchester Utd,25-085,1999,1.9,122,13,53,60,10,5,122,0,0,,0,,77,268,126,1,1,0,1,1,91,0
Victor Lindelöf,SWE,DF,Manchester Utd,30-111,1994,0.6,38,8,30,8,0,0,38,0,0,,0,,23,80,31,0,0,0,0,0,24,0
Ondřej Lingr,CZE,"MF,FW",Slavia Prague,26-029,1998,1.2,45,0,9,10,26,7,45,0,0,,0,,25,103,31,2,0,2,1,2,28,13
Žiga Lipušček,SVN,DF,FK Rīgas FS,27-305,1997,3.0,164,41,111,48,6,4,164,2,2,100.0,0,0.0,99,414,192,2,0,0,0,3,94,0
