Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Luis Eduardo Marques dos Santos,BRA,DF,,27-139,1997,9,5,391,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.9,1.0,10,43,30,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.22,0.01,0.22
Luis Eduardo Marques dos Santos,BRA,"FW,DF",,27-139,1997,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tevis Gabriel Alves Santos,BRA,FW,,18-262,2006,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Renzo Saravia,ARG,DF,Mineiro,31-122,1993,22,17,"1,515",16.8,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.2,38,122,58,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Eduardo Sasha,BRA,FW,Bull Bragantino,32-235,1992,20,18,"1,456",16.2,3,4,7,2,1,1,6,1,3.4,2.7,1.8,4.5,20,44,79,0.19,0.25,0.43,0.12,0.37,0.21,0.11,0.33,0.16,0.28
Lucas Sasha,BRA,MF,,34-229,1990,20,12,"1,210",13.4,0,0,0,0,0,0,2,0,0.6,0.6,1.6,2.2,7,40,24,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16
Gustavo Sauer,BRA,"FW,MF",,31-169,1993,6,3,231,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,4,5,13,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.18,0.12,0.18
Jefferson Savarino,VEN,"MF,FW",(RJ),27-340,1996,20,14,"1,377",15.3,4,5,9,4,0,0,3,0,3.4,3.1,4.6,7.7,31,83,113,0.26,0.33,0.59,0.26,0.59,0.22,0.30,0.52,0.20,0.51
Gustavo Scarpa,BRA,"DF,MF",Mineiro,30-285,1994,26,21,"1,865",20.7,4,4,8,2,2,2,3,0,3.8,2.2,3.5,5.7,66,118,195,0.19,0.19,0.39,0.10,0.29,0.18,0.17,0.35,0.11,0.28
Igor Schlemper,BRA,"DF,FW",,19-229,2005,3,1,100,1.1,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,2,0.00,0.90,0.90,0.00,0.90,0.02,0.20,0.22,0.02,0.22
Cleiton Schwengber,BRA,GK,Bull Bragantino,27-058,1997,23,23,"1,979",22.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Serna,COL,FW,,26-304,1997,10,6,563,6.3,1,2,3,1,0,0,0,0,1.8,1.8,1.0,2.8,25,6,43,0.16,0.32,0.48,0.16,0.48,0.29,0.16,0.45,0.29,0.45
Juan Sforza,ARG,MF,da Gama,22-245,2002,22,12,"1,196",13.3,1,0,1,1,0,0,3,0,0.7,0.7,0.1,0.8,7,63,10,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
Shaylon,BRA,"FW,MF",Goianiense,27-172,1997,27,21,"1,768",19.6,2,1,3,1,1,2,2,0,3.8,2.3,4.4,6.7,28,105,75,0.10,0.05,0.15,0.05,0.10,0.20,0.23,0.42,0.12,0.34
André Silva,BRA,"FW,MF",Paulo,27-135,1997,23,12,"1,107",12.3,5,2,7,5,0,0,3,0,2.9,2.9,0.8,3.7,17,25,86,0.41,0.16,0.57,0.41,0.57,0.24,0.06,0.30,0.24,0.30
Luan Silva,BRA,MF,,25-155,1999,22,20,"1,444",16.0,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,6,37,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Lucas Silva,BRA,MF,,31-243,1993,23,18,"1,385",15.4,1,0,1,1,0,0,3,0,0.7,0.7,0.8,1.5,22,60,36,0.06,0.00,0.06,0.06,0.06,0.05,0.05,0.09,0.05,0.09
Rafael Silva,BRA,FW,,32-195,1992,8,8,527,5.9,3,0,3,3,0,0,2,0,1.7,1.7,0.1,1.8,6,10,27,0.51,0.00,0.51,0.51,0.51,0.29,0.02,0.31,0.29,0.31
Thiago Silva,BRA,DF,,40-024,1984,8,8,720,8.0,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,0,18,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
Everton Soares,BRA,FW,,28-208,1996,10,10,537,6.0,1,2,3,1,0,0,1,0,0.9,0.9,1.2,2.1,23,15,54,0.17,0.34,0.50,0.17,0.50,0.15,0.21,0.36,0.15,0.36
Fábio Soares,BRA,MF,,19-318,2004,3,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Tiquinho Soares,BRA,"FW,MF",(RJ),33-273,1991,21,12,"1,156",12.8,4,3,7,2,2,2,4,0,5.3,3.8,2.1,5.9,7,26,55,0.31,0.23,0.54,0.16,0.39,0.42,0.16,0.58,0.30,0.46
Fernando Sobral,BRA,MF,,29-304,1994,25,14,"1,396",15.5,1,2,3,0,1,1,4,0,1.3,0.5,2.1,2.6,16,88,43,0.06,0.13,0.19,0.00,0.13,0.08,0.14,0.22,0.03,0.17
Yeferson Soteldo,VEN,"FW,MF",,27-108,1997,16,13,"1,145",12.7,4,2,6,4,0,0,1,0,2.3,2.3,3.0,5.3,82,55,107,0.31,0.16,0.47,0.31,0.47,0.18,0.24,0.42,0.18,0.42
Yan Souto,BRA,"DF,MF",,23-011,2001,4,2,237,2.6,1,0,1,1,0,0,0,0,0.0,0.0,0.1,0.1,0,6,1,0.38,0.00,0.38,0.38,0.38,0.01,0.03,0.05,0.01,0.05
Gabriel Souza,BRA,FW,da Gama,19-285,2005,2,1,91,1.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,1,8,0.99,0.00,0.99,0.99,0.99,0.21,0.00,0.21,0.21,0.21
Hugo Souza,BRA,GK,,25-259,1999,13,13,"1,170",13.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Igor Vinícius de Souza,BRA,DF,Paulo,27-198,1997,21,20,"1,706",19.0,0,2,2,0,0,0,5,1,0.8,0.8,2.3,3.0,41,88,107,0.00,0.11,0.11,0.00,0.11,0.04,0.12,0.16,0.04,0.16
Josef de Souza,BRA,MF,da Gama,35-248,1989,4,1,76,0.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Everaldo Stum,BRA,FW,,33-103,1991,28,25,"1,792",19.9,8,2,10,7,1,1,5,0,6.1,5.3,1.6,6.9,34,32,145,0.40,0.10,0.50,0.35,0.45,0.30,0.08,0.39,0.27,0.35
Damián Suárez,URU,DF,(RJ),36-172,1988,17,13,"1,244",13.8,0,1,1,0,0,0,5,0,0.1,0.1,1.6,1.7,22,37,55,0.00,0.07,0.07,0.00,0.07,0.01,0.12,0.13,0.01,0.13
