Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Jelle Bataille,BEL,DF,,24,1999,27,25,"2,182",24.2,1,0,1,1,0,0,3,0,1.1,1.1,2.3,3.4,73,174,190,0.04,0.00,0.04,0.04,0.04,0.05,0.09,0.14,0.05,0.14
David Bates,SCO,DF,,26,1996,27,23,"2,086",23.2,1,0,1,1,0,0,5,0,1.0,1.0,1.4,2.4,1,53,3,0.04,0.00,0.04,0.04,0.04,0.04,0.06,0.10,0.04,0.10
Emin Bayram,TUR,DF,,20,2003,23,22,"1,974",21.9,1,2,3,1,0,0,8,0,1.0,1.0,0.8,1.8,20,78,11,0.05,0.09,0.14,0.05,0.14,0.05,0.04,0.08,0.05,0.08
Rafik Belghali,ALG,DF,,21,2002,7,3,260,2.9,1,1,2,1,0,0,1,0,0.4,0.4,0.2,0.6,7,12,25,0.35,0.35,0.69,0.35,0.69,0.14,0.06,0.20,0.14,0.20
Nadhir Benbouali,ALG,"FW,MF",,23,2000,8,3,333,3.7,0,0,0,0,0,0,0,0,1.3,1.3,0.4,1.7,3,10,39,0.00,0.00,0.00,0.00,0.00,0.36,0.10,0.45,0.36,0.45
Ján Bernát,SVK,MF,,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antoine Bernier,BEL,"FW,MF",,25,1997,21,8,662,7.4,2,1,3,2,0,0,1,0,2.1,2.1,0.4,2.5,23,17,60,0.27,0.14,0.41,0.27,0.41,0.28,0.05,0.34,0.28,0.34
Adriano Bertaccini,BEL,"MF,FW",,22,2000,3,0,39,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,1,5,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60
Mickaël Biron,MTQ,"FW,MF",Molenbeek,25,1997,18,17,"1,445",16.1,7,1,8,6,1,1,1,0,5.9,5.1,1.8,6.9,38,40,113,0.44,0.06,0.50,0.37,0.44,0.37,0.11,0.48,0.32,0.43
Nathan Bitumazala,FRA,"MF,FW",,20,2002,6,0,115,1.3,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.3,3,6,6,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
Eric Bocat,FRA,"DF,MF",,24,1999,29,28,"2,447",27.2,1,3,4,1,0,0,2,0,1.2,1.2,3.2,4.4,102,83,181,0.04,0.11,0.15,0.04,0.15,0.04,0.12,0.16,0.04,0.16
Arnaud Bodart,BEL,GK,Liège,25,1998,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Merveille Bokadi,COD,DF,Liège,31,1992,18,15,"1,305",14.5,1,1,2,1,0,0,0,1,0.6,0.6,0.2,0.7,6,55,6,0.07,0.07,0.14,0.07,0.14,0.04,0.01,0.05,0.04,0.05
Sinan Bolat,TUR,GK,,34,1988,26,26,"2,340",26.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Boli Bolingoli-Mbombo,BEL,DF,,28,1995,4,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christopher Bonsu Baah,GHA,FW,,18,2004,27,14,"1,190",13.2,1,1,2,1,0,0,5,3,2.1,2.1,3.0,5.1,52,47,180,0.08,0.08,0.15,0.08,0.15,0.16,0.22,0.38,0.16,0.38
Jordan Bos,AUS,DF,,20,2002,21,19,"1,713",19.0,2,1,3,2,0,0,4,0,2.1,2.1,1.9,3.9,54,64,102,0.11,0.05,0.16,0.11,0.16,0.11,0.10,0.21,0.11,0.21
Mohamed Bouchouari,BEL,DF,,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mehdi Boukamir,MAR,DF,,19,2004,10,5,466,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,4,13,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Dedryck Boyata,BEL,"DF,MF",Brugge,32,1990,5,2,176,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,2,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
