Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Bruno Araújo dos Santos,BRA,DF,Goiás,29,1993,5.0,166,217,76.5,2954,1033,75,85,88.2,75,97,77.3,15,23,65.2,0,0.2,0.4,-0.2,3,8,4,2,20
Eduardo Santos,BRA,DF,Red Bull Bragantino,25,1997,11.3,441,534,82.6,8483,3161,148,164,90.2,237,266,89.1,48,84,57.1,0,0.0,0.1,0.0,1,29,2,0,38
Fábio Santos,BRA,DF,Corinthians,37,1985,18.6,934,1124,83.1,14670,5972,499,548,91.1,368,427,86.2,52,98,53.1,1,0.4,0.5,+0.6,9,63,11,3,81
Juan Santos,BRA,FW,São Paulo,20,2002,14.2,242,322,75.2,3138,690,150,180,83.3,66,93,71.0,8,11,72.7,1,2.0,1.8,-1.0,22,11,12,2,24
Júnior Santos,BRA,FW,Botafogo (RJ),28,1994,24.0,533,729,73.1,7748,1651,324,386,83.9,164,224,73.2,29,53,54.7,1,2.3,2.3,-1.3,21,28,21,9,48
Luis Eduardo Marques dos Santos,BRA,DF,Fortaleza,25,1997,4.3,166,215,77.2,2903,1371,78,90,86.7,64,88,72.7,22,31,71.0,0,0.3,0.3,-0.3,6,13,4,4,10
Pedrinho Santos,BRA,"FW,MF",Corinthians,16,2006,6.9,163,222,73.4,2458,660,93,112,83.0,62,78,79.5,6,12,50.0,0,0.2,0.3,-0.2,6,13,4,1,21
Renzo Saravia,ARG,DF,Atlético Mineiro,29,1993,19.0,758,976,77.7,12120,4570,379,431,87.9,321,388,82.7,44,106,41.5,2,0.9,0.8,+1.1,9,82,7,4,75
Eduardo Sasha,BRA,"FW,MF",Red Bull Bragantino,30,1992,24.8,507,693,73.2,7709,1484,275,338,81.4,162,214,75.7,41,62,66.1,3,4.3,2.9,-1.3,43,47,20,1,82
Lucas Sasha,BRA,MF,Fortaleza,32,1990,11.3,450,528,85.2,7285,2038,218,246,88.6,187,206,90.8,32,50,64.0,1,0.3,0.3,+0.7,10,58,2,0,59
Gustavo Sauer,BRA,"FW,MF",Botafogo (RJ),29,1993,2.9,72,91,79.1,1108,328,42,46,91.3,23,26,88.5,4,11,36.4,1,0.4,0.3,+0.6,4,6,4,1,13
Cleiton Schwengber,BRA,GK,Red Bull Bragantino,25,1997,33.0,705,1033,68.2,19758,14389,133,133,100.0,301,308,97.7,251,567,44.3,0,0.0,0.1,0.0,0,29,1,0,1
Luis Segovia,ECU,DF,Botafogo (RJ),25,1997,1.1,36,43,83.7,710,292,12,13,92.3,18,19,94.7,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,2
Matias Segovia,PAR,FW,Botafogo (RJ),20,2003,7.2,253,328,77.1,4175,1072,140,160,87.5,79,107,73.8,25,41,61.0,1,1.5,1.4,-0.5,16,25,14,5,33
Sidimar,BRA,DF,Goiás,30,1992,11.2,330,386,85.5,7111,2346,70,78,89.7,208,228,91.2,49,74,66.2,0,0.2,0.2,-0.2,4,11,3,0,20
Aderlan Silva,BRA,DF,Red Bull Bragantino,32,1990,15.8,791,1021,77.5,13486,5637,389,436,89.2,302,375,80.5,72,147,49.0,2,1.2,2.0,+0.8,21,65,20,8,84
Gabriel Silva,BRA,"FW,MF",Coritiba,20,2002,1.0,16,22,72.7,216,60,10,15,66.7,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,2
Kauan Silva,BRA,FW,Palmeiras,18,2004,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Luan Silva,BRA,MF,São Paulo,23,1999,6.8,286,329,86.9,4285,891,154,166,92.8,112,125,89.6,9,14,64.3,0,0.0,0.2,0.0,1,22,2,0,19
Lucas Silva,BRA,MF,Cruzeiro,29,1993,16.4,753,930,81.0,14876,4144,276,309,89.3,340,384,88.5,122,186,65.6,2,2.0,2.3,0.0,46,104,15,2,127
Lucas Silva,BRA,MF,Grêmio,29,1993,2.5,127,148,85.8,2042,533,65,71,91.5,52,60,86.7,8,11,72.7,0,0.0,0.0,0.0,1,13,0,0,14
Nathan Silva,BRA,DF,Atlético Mineiro,25,1997,4.0,213,238,89.5,4459,1606,48,53,90.6,146,152,96.1,18,31,58.1,0,0.3,0.5,-0.3,1,9,0,0,15
Ricardo Silva,BRA,DF,América (MG),30,1992,17.9,489,632,77.4,9700,3970,160,189,84.7,257,301,85.4,64,114,56.1,0,0.1,0.2,-0.1,2,35,1,0,44
Wellington Silva,BRA,FW,Cuiabá,30,1993,14.8,317,409,77.5,5194,1275,169,195,86.7,119,148,80.4,23,39,59.0,2,2.7,2.8,-0.7,24,32,15,2,49
Maximiliano Silvera,URU,"MF,FW",Santos,25,1997,5.0,95,124,76.6,1194,190,59,69,85.5,25,35,71.4,2,5,40.0,1,0.3,0.7,+0.7,2,4,2,0,9
Simioni,BRA,MF,Goiás,19,2003,0.5,3,5,60.0,39,0,2,4,50.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jailson Siqueira,BRA,"MF,DF",Palmeiras,27,1995,1.8,45,58,77.6,914,226,10,15,66.7,29,31,93.5,5,6,83.3,1,0.3,0.4,+0.7,2,4,0,0,6
Islam Slimani,ALG,FW,Coritiba,34,1988,9.1,157,216,72.7,2028,244,98,121,81.0,40,58,69.0,6,12,50.0,2,1.3,0.6,+0.7,8,12,2,1,12
Everton Soares,BRA,"FW,MF",Flamengo,26,1996,19.3,540,701,77.0,7951,1846,320,356,89.9,187,232,80.6,20,70,28.6,5,3.7,5.1,+1.3,39,23,36,4,75
Tiquinho Soares,BRA,FW,Botafogo (RJ),32,1991,27.1,476,672,70.8,7455,1354,267,355,75.2,139,184,75.5,43,61,70.5,4,2.7,2.3,+1.3,32,42,12,3,52
Fernando Sobral,BRA,MF,Cuiabá,28,1994,21.1,702,925,75.9,11799,3530,354,402,88.1,242,314,77.1,79,137,57.7,2,1.4,1.6,+0.6,15,100,24,5,104
Yeferson Soteldo,VEN,"FW,MF",Santos,25,1997,17.3,441,606,72.8,6877,2088,235,277,84.8,158,207,76.3,34,69,49.3,6,5.8,5.7,+0.2,47,22,36,11,76
Yago Souza,BRA,MF,América (MG),16,2006,0.2,6,6,100.0,69,16,5,5,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Everaldo Stum,BRA,FW,Bahia,31,1991,24.2,296,473,62.6,4271,1047,173,250,69.2,96,142,67.6,15,32,46.9,1,2.5,2.4,-1.5,28,33,20,4,56
Luis Suárez,URU,FW,Grêmio,36,1987,32.0,761,1091,69.8,10723,2619,461,606,76.1,210,289,72.7,41,69,59.4,11,5.8,6.6,+5.2,52,57,38,2,107
Bruno Tabata,BRA,"MF,FW",Palmeiras,25,1997,1.4,51,72,70.8,818,225,29,33,87.9,17,23,73.9,3,8,37.5,0,0.1,0.1,-0.1,1,6,3,0,11
Tadeu,BRA,GK,Goiás,30,1992,35.0,837,1204,69.5,27464,20211,132,132,100.0,304,311,97.7,399,746,53.5,1,0.3,0.1,+0.7,5,39,0,0,1
Talisson,BRA,FW,Red Bull Bragantino,20,2002,1.7,19,33,57.6,185,77,17,23,73.9,1,1,100.0,0,4,0.0,0,0.0,0.0,0.0,0,3,1,0,5
Tchê Tchê,BRA,"MF,DF",Botafogo (RJ),30,1992,29.5,1115,1297,86.0,19518,5064,497,530,93.8,485,546,88.8,108,167,64.7,5,3.5,4.1,+1.5,36,160,19,5,168
Alex Teixeira,BRA,"FW,MF",Vasco da Gama,33,1990,12.6,251,307,81.8,3553,767,145,160,90.6,79,95,83.2,12,24,50.0,3,1.6,1.1,+1.4,13,11,7,2,28
David Terans,URU,"MF,FW",Ath Paranaense,28,1994,4.4,102,139,73.4,1928,595,51,56,91.1,29,37,78.4,20,37,54.1,0,0.3,0.3,-0.3,8,14,2,1,12
