Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Tiago Silva,POR,MF,Vitória,31-156,1993,9,9,736,8.2,1,3,4,0,1,1,3,0,1.0,0.2,1.2,1.5,6,67,13,0.12,0.37,0.49,0.00,0.37,0.12,0.15,0.28,0.03,0.18
Tomás Silva,POR,"DF,MF",Boavista,18-164,2006,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
David Simão,POR,MF,Arouca,34-174,1990,10,10,793,8.8,1,0,1,1,0,0,3,0,0.2,0.2,0.8,1.0,3,69,17,0.11,0.00,0.11,0.11,0.11,0.02,0.09,0.11,0.02,0.11
Sphephelo Sithole,RSA,"FW,MF",Gil Vicente FC,25-247,1999,2,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Filipe Soares,POR,MF,Farense,25-169,1999,5,3,204,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Lucas Soares,BRA,MF,Santa Clara,26-185,1998,9,5,427,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,10,12,21,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Rafa Soares,POR,DF,Famalicão,29-180,1995,4,3,305,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,3,12,22,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.15,0.02,0.15
Djibril Soumaré,SEN,MF,Nacional,21-303,2003,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
André Sousa,POR,"MF,DF",Nacional,34-119,1990,3,0,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Dyego Sousa,POR,FW,Nacional,35-052,1989,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miguel Sousa,POR,MF,Casa Pia,26-047,1998,8,5,389,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.6,1.0,8,27,20,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.22,0.08,0.22
Vasco Sousa,POR,MF,Porto,21-216,2003,7,4,307,3.4,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,4,19,10,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.19,0.11,0.19
Gabriel Airton de Souza,BRA,FW,Moreirense,28-221,1996,10,4,481,5.3,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,16,4,32,0.19,0.00,0.19,0.19,0.19,0.14,0.01,0.15,0.14,0.15
Jerry St. Juste,NED,DF,Sporting CP,28-017,1996,2,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Max Svensson,ESP,"FW,MF",Casa Pia,,,10,5,464,5.2,0,1,1,0,0,0,1,0,1.2,1.2,0.5,1.7,12,10,21,0.00,0.19,0.19,0.00,0.19,0.23,0.09,0.32,0.23,0.32
