Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Diogo Costa,GK,Portugal,24,1999,5.7,155,122,33,6,0,0,0,1,0,0,0,0,140,0,0
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,149,110,39,2,0,0,22,30,7,1,5,0,103,0,5
Bryan Cristante,MF,Italy,28,1995,1.5,114,113,1,1,0,1,3,0,0,0,0,0,101,0,0
Kevin Csoboth,DF,Hungary,23,2000,0.1,8,6,2,2,0,0,0,0,0,0,0,0,6,0,0
Marc Cucurella,DF,Spain,25,1998,6.1,367,326,41,3,1,0,5,38,0,0,0,0,330,0,9
Mirlind Daku,FW,Albania,26,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,100,94,6,0,0,0,3,6,0,0,0,0,91,0,2
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,14,14,0,0,0,0,1,0,0,0,0,0,10,0,0
Kevin Danso,DF,Austria,25,1998,2.4,169,163,6,5,1,1,0,0,0,0,0,0,147,0,2
Márton Dárdai,DF,Hungary,21,2002,1.9,95,83,10,3,0,3,0,6,0,0,0,0,66,2,0
Matteo Darmian,DF,Italy,34,1989,1.8,107,98,9,1,0,0,1,8,0,0,0,0,97,0,2
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,37,36,1,0,0,0,1,0,1,0,1,0,33,0,0
Paweł Dawidowicz,DF,Poland,28,1995,2.0,79,75,4,2,0,0,0,0,0,0,0,0,74,0,1
Kevin De Bruyne,MF,Belgium,32,1991,4.0,227,189,37,9,7,3,21,5,20,7,4,1,164,1,7
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeno Debast,DF,Belgium,20,2003,1.2,109,102,6,1,1,1,0,5,0,0,0,0,97,1,0
Thomas Delaney,MF,Denmark,32,1991,0.9,35,35,0,0,0,0,1,0,0,0,0,0,22,0,0
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,176,154,22,4,2,1,36,2,16,3,8,0,119,0,9
Merih Demiral,DF,Türkiye,25,1998,2.3,94,86,8,6,0,0,2,0,0,0,0,0,82,0,0
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,323,275,48,13,2,0,2,35,0,0,0,0,285,0,3
Rúben Dias,DF,Portugal,26,1997,4.7,411,396,14,10,0,0,3,0,0,0,0,0,382,1,1
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,125,100,23,2,0,1,12,15,6,2,2,0,99,2,7
Berat Djimsiti,DF,Albania,30,1993,3.0,144,140,3,3,0,1,0,0,0,0,0,0,127,1,0
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,113,108,4,0,1,2,8,4,0,0,0,0,89,1,6
Kasper Dolberg,FW,Denmark,26,1997,0.4,10,10,0,0,0,0,1,0,0,0,0,0,7,0,0
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,102,81,21,5,0,0,0,0,0,0,0,0,87,0,0
David Doudera,FW,Czechia,25,1998,1.0,24,23,1,0,0,0,1,1,0,0,0,0,18,0,0
Artem Dovbyk,FW,Ukraine,26,1997,2.7,34,28,6,0,0,0,0,1,0,0,0,0,27,0,2
Denis Drăguș,FW,Romania,24,1999,3.2,54,51,3,0,0,0,1,0,0,0,0,0,35,0,1
Radu Drăgușin,DF,Romania,21,2002,4.0,106,97,9,7,1,1,0,2,0,0,0,0,90,0,0
Vanja Drkušič,DF,Slovenia,24,1999,4.3,109,105,4,4,0,1,1,0,0,0,0,0,84,0,1
Kwadwo Duah,FW,Switzerland,26,1997,1.2,25,23,2,0,0,0,1,0,0,0,0,0,13,0,0
Martin Dúbravka,GK,Slovakia,35,1989,4.3,162,122,39,16,0,0,0,0,0,0,0,0,108,1,0
Ondrej Duda,MF,Slovakia,29,1994,3.5,170,162,8,3,0,1,9,0,5,1,4,0,138,0,4
Denzel Dumfries,DF,Netherlands,27,1996,5.0,271,219,51,0,0,2,18,51,0,0,0,0,220,1,8
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Lasha Dvali,DF,Georgia,28,1995,4.0,132,127,5,5,0,0,0,0,0,0,0,0,115,0,1
Timi Elšnik,MF,Slovenia,25,1998,4.0,117,115,2,2,0,0,4,0,0,0,0,0,87,0,2
Breel Embolo,FW,Switzerland,26,1997,3.3,46,44,2,0,2,0,1,0,0,0,0,0,39,0,1
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,215,179,36,9,1,4,32,1,26,11,9,3,159,0,5
Eberechi Eze,"DF,MF",England,25,1998,1.1,40,37,3,1,0,0,5,0,2,1,1,0,30,0,1
Wout Faes,DF,Belgium,25,1998,4.0,290,277,12,5,0,2,0,1,0,0,0,0,255,1,1
