Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Mirlind Daku,FW,Albania,26,1998,0.1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,100.0
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,0,0,0,2,0,0,3,1,1,0,0,0,10,2,0,100.0
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,50.0
Kevin Danso,DF,Austria,25,1998,2.4,1,0,0,4,5,0,0,0,0,0,0,0,11,6,8,42.9
Márton Dárdai,DF,Hungary,21,2002,1.9,0,0,0,3,3,0,0,0,1,0,0,0,0,4,0,100.0
Matteo Darmian,DF,Italy,34,1989,1.8,0,0,0,4,1,1,1,1,1,0,0,0,8,1,0,100.0
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,1,0,0,1,4,0,1,0,3,0,0,0,1,1,2,33.3
Paweł Dawidowicz,DF,Poland,28,1995,2.0,1,0,0,5,0,0,0,0,0,0,0,0,5,2,1,66.7
Kevin De Bruyne,MF,Belgium,32,1991,4.0,0,0,0,5,6,2,21,0,1,0,0,0,16,7,1,87.5
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Zeno Debast,DF,Belgium,20,2003,1.2,0,0,0,3,0,0,0,0,1,0,0,0,7,1,1,50.0
Thomas Delaney,MF,Denmark,32,1991,0.9,0,0,0,3,1,1,1,2,0,0,0,0,4,2,3,40.0
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,1,0,0,7,7,1,36,1,5,1,0,0,12,3,2,60.0
Merih Demiral,DF,Türkiye,25,1998,2.3,0,0,0,2,2,0,2,4,2,0,0,0,5,14,4,77.8
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,0,0,0,4,6,1,2,6,9,0,0,0,11,6,3,66.7
Rúben Dias,DF,Portugal,26,1997,4.7,0,0,0,2,0,1,3,3,1,0,0,0,8,11,7,61.1
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,0,0,0,0,2,0,12,2,2,0,0,0,7,1,1,50.0
Berat Djimsiti,DF,Albania,30,1993,3.0,0,0,0,1,2,0,0,2,0,0,0,0,5,6,2,75.0
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,0,0,0,5,8,0,8,1,2,0,0,0,12,1,2,33.3
Kasper Dolberg,FW,Denmark,26,1997,0.4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100.0
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0
David Doudera,FW,Czechia,25,1998,1.0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,
Artem Dovbyk,FW,Ukraine,26,1997,2.7,1,0,0,3,2,3,0,1,2,0,0,0,6,7,2,77.8
Denis Drăguș,FW,Romania,24,1999,3.2,0,0,0,8,3,1,1,1,1,0,0,0,8,2,12,14.3
Radu Drăgușin,DF,Romania,21,2002,4.0,0,0,0,1,5,0,0,6,1,0,0,0,13,5,3,62.5
Vanja Drkušič,DF,Slovenia,24,1999,4.3,1,0,0,7,1,0,1,1,7,0,1,0,13,6,4,60.0
Kwadwo Duah,FW,Switzerland,26,1997,1.2,0,0,0,1,1,1,1,1,1,0,0,0,2,5,2,71.4
Martin Dúbravka,GK,Slovakia,35,1989,4.3,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,100.0
Ondrej Duda,MF,Slovakia,29,1994,3.5,1,0,0,9,6,0,9,3,3,0,0,0,11,3,3,50.0
Denzel Dumfries,DF,Netherlands,27,1996,5.0,2,0,0,9,4,1,18,3,5,0,1,0,15,7,5,58.3
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lasha Dvali,DF,Georgia,28,1995,4.0,0,0,0,2,0,0,0,1,3,0,0,0,7,6,9,40.0
Timi Elšnik,MF,Slovenia,25,1998,4.0,0,0,0,4,3,0,4,4,7,0,0,0,22,4,2,66.7
Breel Embolo,FW,Switzerland,26,1997,3.3,0,0,0,4,9,1,1,1,3,0,0,0,7,2,9,18.2
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,0,0,0,0,4,1,32,2,2,0,0,0,22,0,2,0.0
Eberechi Eze,"DF,MF",England,25,1998,1.1,0,0,0,1,5,0,5,0,0,0,0,0,4,1,5,16.7
Wout Faes,DF,Belgium,25,1998,4.0,1,0,0,4,2,0,0,4,7,0,0,0,14,3,9,25.0
Nicolò Fagioli,MF,Italy,22,2001,1.1,1,0,0,1,0,0,4,0,1,0,0,0,5,0,0,
João Félix,"MF,FW",Portugal,24,1999,1.2,0,0,0,0,1,0,7,0,0,0,0,0,5,0,0,
Bruno Fernandes,MF,Portugal,29,1994,4.2,0,0,0,5,6,2,32,2,5,0,0,0,22,2,5,28.6
Attila Fiola,DF,Hungary,33,1990,2.0,0,0,0,5,3,0,1,0,1,0,0,0,2,1,2,33.3
Phil Foden,"FW,MF",England,23,2000,6.9,1,0,0,1,6,4,27,1,4,0,0,0,20,2,4,33.3
Youssouf Fofana,MF,France,25,1999,0.5,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,100.0
Michael Folorunsho,FW,Italy,25,1998,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
Przemysław Frankowski,DF,Poland,28,1995,3.0,0,0,0,5,1,0,7,1,5,0,0,0,13,1,3,25.0
