Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
David Doudera,FW,Czechia,25,1998,1.0,38,3,23,13,3,0,38,3,2,66.7,1,33.3,24,185,101,3,1,0,3,0,23,1
Artem Dovbyk,FW,Ukraine,26,1997,2.7,52,2,3,16,34,16,52,2,2,100.0,0,0.0,33,132,58,2,1,2,6,3,36,12
Denis Drăguș,FW,Romania,24,1999,3.2,94,8,21,37,39,9,94,10,6,60.0,2,20.0,46,260,115,2,3,1,8,6,61,13
Radu Drăgușin,DF,Romania,21,2002,4.0,157,40,106,48,4,2,157,0,0,,0,,79,440,218,0,1,0,1,0,79,1
Vanja Drkušič,DF,Slovenia,24,1999,4.3,146,26,83,62,2,1,146,1,1,100.0,0,0.0,67,368,168,0,0,0,0,1,75,1
Kwadwo Duah,FW,Switzerland,26,1997,1.2,34,0,1,19,14,5,34,0,0,,0,,17,98,39,1,1,0,5,0,28,5
Martin Dúbravka,GK,Slovakia,35,1989,4.3,173,142,171,2,0,0,173,0,0,,0,,108,558,251,0,0,0,0,0,92,0
Ondrej Duda,MF,Slovakia,29,1994,3.5,205,8,46,125,35,1,205,3,3,100.0,0,0.0,115,559,148,2,3,0,1,7,145,9
Denzel Dumfries,DF,Netherlands,27,1996,5.0,303,10,59,134,110,14,303,7,2,28.6,4,57.1,181,568,231,7,2,3,3,4,204,42
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,4,0,0,1,3,0,4,0,0,,0,,3,25,0,0,1,0,1,1,3,0
Lasha Dvali,DF,Georgia,28,1995,4.0,172,33,120,49,3,0,172,1,0,0.0,1,100.0,81,386,204,2,0,0,1,1,105,0
Timi Elšnik,MF,Slovenia,25,1998,4.0,156,7,41,87,29,6,156,9,3,33.3,5,55.6,73,582,278,12,4,3,2,1,77,3
Breel Embolo,FW,Switzerland,26,1997,3.3,90,3,6,39,47,17,90,8,3,37.5,4,50.0,71,349,130,4,2,5,12,14,80,13
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,255,3,20,107,132,15,255,4,2,50.0,1,25.0,156,541,277,5,3,2,6,2,173,14
Eberechi Eze,"DF,MF",England,25,1998,1.1,51,2,7,20,24,3,51,6,3,50.0,1,16.7,33,216,101,6,0,2,1,1,36,7
Wout Faes,DF,Belgium,25,1998,4.0,322,44,168,153,3,0,322,1,1,100.0,0,0.0,210,869,544,3,1,0,1,0,243,0
Nicolò Fagioli,MF,Italy,22,2001,1.1,111,1,15,63,33,0,111,2,1,50.0,1,50.0,92,495,244,3,9,0,0,2,90,0
João Félix,"MF,FW",Portugal,24,1999,1.2,88,0,3,19,66,4,88,6,2,33.3,4,66.7,62,363,150,2,7,0,0,0,76,15
Bruno Fernandes,MF,Portugal,29,1994,4.2,337,4,47,171,120,11,337,6,1,16.7,4,66.7,208,1165,672,17,11,5,4,8,252,33
Attila Fiola,DF,Hungary,33,1990,2.0,88,11,47,31,10,0,88,1,0,0.0,1,100.0,61,321,135,2,0,0,1,2,59,3
Phil Foden,"FW,MF",England,23,2000,6.9,422,4,34,214,178,10,422,17,9,52.9,7,41.2,274,1288,491,7,16,1,14,7,348,44
Youssouf Fofana,MF,France,25,1999,0.5,35,1,6,18,11,1,35,0,0,,0,,23,132,63,1,2,0,0,0,28,1
Michael Folorunsho,FW,Italy,25,1998,0.0,2,0,0,1,1,0,2,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Przemysław Frankowski,DF,Poland,28,1995,3.0,152,18,50,67,39,1,152,7,2,28.6,2,28.6,78,530,336,6,6,1,1,3,99,9
Davide Frattesi,MF,Italy,24,1999,2.1,74,1,13,30,31,11,74,3,1,33.3,2,66.7,60,221,87,2,2,0,3,2,63,13
Remo Freuler,MF,Switzerland,31,1992,5.1,276,10,48,164,65,9,276,1,0,0.0,0,0.0,148,607,310,7,5,0,7,3,189,17
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,32,0,4,15,15,2,32,1,0,0.0,1,100.0,27,189,95,3,2,2,1,3,27,10
Chris Führich,FW,Germany,26,1998,0.2,17,0,0,8,10,1,17,1,1,100.0,0,0.0,13,94,38,3,2,1,0,0,13,3
Niclas Füllkrug,FW,Germany,30,1993,1.8,58,3,4,21,33,14,58,1,0,0.0,1,100.0,29,99,48,2,0,1,6,1,49,12
