Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Matz Sels,BEL,GK,Strasbourg,Ligue 1,31,1992,19,19,"1,710",19.0,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0
James Shea,ENG,GK,Luton Town,Premier League,32,1991,1,0,15,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
Rui Silva,POR,GK,Betis,La Liga,29,1994,28,28,"2,475",27.5,36,1.31,120,85,75.8,10,9,9,9,32.1,8,7,1,0,12.5
Marco Silvestri,ITA,GK,Udinese,Serie A,32,1991,17,17,"1,530",17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0
Unai Simón,ESP,GK,Athletic Club,La Liga,26,1997,36,36,"3,182",35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75.0
Antonio Sivera,ESP,GK,Alavés,La Liga,26,1996,34,34,"3,060",34.0,38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0.0
Łukasz Skorupski,POL,GK,Bologna,Serie A,32,1991,32,32,"2,880",32.0,29,0.91,106,77,75.5,14,13,5,13,40.6,6,3,1,2,25.0
Daniele Sommariva,ITA,GK,Genoa,Serie A,26,1997,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Yann Sommer,SUI,GK,Inter,Serie A,34,1988,34,34,"3,060",34.0,19,0.56,98,78,82.7,27,6,1,19,55.9,4,2,1,1,33.3
David Soria,ESP,GK,Getafe,La Liga,30,1993,38,38,"3,413",37.9,52,1.37,171,118,72.5,10,13,15,10,26.3,7,5,1,1,16.7
Alessandro Sorrentino,ITA,GK,Monza,Serie A,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0,1,4,0,0.0,4,4,0,0,0.0
Marco Sportiello,ITA,GK,Milan,Serie A,31,1992,7,7,630,7.0,11,1.57,33,23,69.7,3,3,1,2,28.6,1,1,0,0,0.0
Jason Steele,ENG,GK,Brighton,Premier League,32,1990,17,17,"1,530",17.0,34,2.00,74,42,58.1,5,4,8,2,11.8,3,3,0,0,0.0
Thomas Strakosha,ALB,GK,Brentford,Premier League,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
Mile Svilar,SRB,GK,Roma,Serie A,23,1999,15,15,"1,350",15.0,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0
Wojciech Szczęsny,POL,GK,Juventus,Serie A,33,1990,35,35,"3,150",35.0,30,0.86,108,79,74.1,17,13,5,15,42.9,3,2,1,0,33.3
Arnau Tenas,ESP,GK,Paris S-G,Ligue 1,22,2001,6,5,529,5.9,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31,1992,28,28,"2,520",28.0,27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0.0
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,33,1990,33,33,"2,970",33.0,35,1.06,126,90,77.0,15,8,10,8,24.2,7,6,1,0,14.3
James Trafford,ENG,GK,Burnley,Premier League,20,2002,28,28,"2,520",28.0,62,2.21,166,106,65.7,3,5,20,2,7.1,5,5,0,0,0.0
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,33,1990,32,32,"2,880",32.0,48,1.50,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2
Mark Travers,IRL,GK,Bournemouth,Premier League,24,1999,4,4,360,4.0,5,1.25,18,13,77.8,2,0,2,2,50.0,1,1,0,0,0.0
Stefano Turati,ITA,GK,Frosinone,Serie A,21,2001,31,31,"2,745",30.5,58,1.90,152,94,65.1,6,9,16,4,12.9,7,5,1,1,16.7
Matt Turner,USA,GK,Nott'ham Forest,Premier League,29,1994,17,17,"1,530",17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,34,1988,11,11,990,11.0,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0
Álvaro Vallés,ESP,GK,Las Palmas,La Liga,26,1997,37,37,"3,263",36.3,44,1.21,152,108,74.3,10,10,17,8,21.6,9,5,3,1,37.5
Bart Verbruggen,NED,GK,Brighton,Premier League,20,2002,21,21,"1,890",21.0,28,1.33,91,63,72.5,7,8,6,4,19.0,3,3,0,0,0.0
Guglielmo Vicario,ITA,GK,Tottenham,Premier League,26,1996,38,38,"3,420",38.0,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0
Fran Vieites,ESP,GK,Betis,La Liga,24,1999,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,0,0,
Iván Villar,ESP,GK,Celta Vigo,La Liga,26,1997,12,12,"1,014",11.3,18,1.60,44,26,63.6,2,4,6,0,0.0,3,2,1,0,33.3
Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,Premier League,29,1994,5,5,450,5.0,12,2.40,22,10,50.0,1,0,4,1,20.0,1,1,0,0,0.0
Robin Zentner,GER,GK,Mainz 05,Bundesliga,28,1994,30,30,"2,700",30.0,48,1.60,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0
Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,28,1995,27,27,"2,430",27.0,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0
