Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Nathan Aké,NED,DF,Manchester City,29-264,1995,0.8,83,89,93.3,1190,179,45,46,97.8,37,39,94.9,1,2,50.0,0,0.0,0.1,0.0,0,8,0,0,6
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-257,2002,4.0,148,190,77.9,2334,698,90,98,91.8,44,57,77.2,12,23,52.2,1,0.7,0.9,+0.3,5,13,5,3,24
Kerem Aktürkoğlu,TUR,FW,Benfica,26-018,1998,3.4,64,89,71.9,724,148,40,48,83.3,12,20,60.0,2,4,50.0,0,0.0,0.1,0.0,2,4,0,0,2
Trent Alexander-Arnold,ENG,DF,Liverpool,26-032,1998,3.5,166,219,75.8,3174,1165,64,76,84.2,83,98,84.7,18,41,43.9,1,0.5,0.5,+0.5,5,17,4,0,27
Alisson,BRA,GK,Liverpool,32-037,1992,2.0,64,87,73.6,1653,1182,14,14,100.0,33,34,97.1,17,38,44.7,0,0.0,0.0,0.0,0,3,0,0,0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-282,2000,3.1,64,83,77.1,946,187,35,40,87.5,23,29,79.3,3,5,60.0,0,0.7,0.5,-0.7,3,5,4,2,5
Mohamed Aly Camara,GUI,DF,Young Boys,27-072,1997,2.0,66,72,91.7,1440,476,16,17,94.1,43,44,97.7,7,11,63.6,0,0.4,0.0,-0.4,1,4,0,0,2
Jordan Amavi,FRA,DF,Brest,30-244,1994,0.9,36,58,62.1,692,294,10,15,66.7,21,25,84.0,4,13,30.8,0,0.0,0.0,0.0,0,1,1,0,2
Zeki Amdouni,SUI,FW,Benfica,23-340,2000,1.2,14,19,73.7,147,1,11,12,91.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Benjamin André,FRA,MF,Lille,34-097,1990,4.0,164,206,79.6,2608,693,74,86,86.0,72,77,93.5,9,19,47.4,0,0.0,0.1,0.0,0,18,1,0,20
