Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,27-297,1996,0.2,12,13,92.3,110,32,11,11,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,2
Santiago Bueno,URU,DF,Wolves,Premier League,25-343,1998,0.9,50,55,90.9,889,278,24,26,92.3,22,23,95.7,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,2
Marius Bülter,GER,FW,Hoffenheim,Bundesliga,31-202,1993,4.8,68,93,73.1,1032,289,42,48,87.5,18,27,66.7,5,9,55.6,1,1.2,1.2,-0.2,6,10,7,3,8
Facundo Buonanotte,ARG,"MF,FW",Leicester City,Premier League,19-299,2004,4.1,91,122,74.6,1315,347,55,67,82.1,27,33,81.8,5,11,45.5,2,1.1,0.6,+0.9,6,11,3,1,12
Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25-133,1999,6.0,263,296,88.9,4525,1611,109,116,94.0,134,142,94.4,16,28,57.1,0,0.0,0.0,0.0,2,17,1,0,25
Jonathan Burkardt,GER,"FW,MF",Mainz 05,Bundesliga,24-098,2000,6.0,84,110,76.4,1304,190,46,58,79.3,28,33,84.8,6,12,50.0,0,0.2,0.3,-0.2,4,7,3,0,10
Oliver Burke,SCO,DF,Werder Bremen,Bundesliga,27-193,1997,0.1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Dan Burn,ENG,DF,Newcastle Utd,Premier League,32-161,1992,7.0,340,372,91.4,5869,2439,132,145,91.0,189,194,97.4,15,23,65.2,0,0.1,0.1,-0.1,1,2,2,0,12
Wes Burns,WAL,FW,Ipswich Town,Premier League,29-329,1994,3.1,54,79,68.4,909,235,28,34,82.4,15,25,60.0,8,11,72.7,0,0.7,0.5,-0.7,3,1,4,3,2
Marnon Busch,GER,DF,Heidenheim,Bundesliga,29-314,1994,2.7,126,165,76.4,2714,996,41,48,85.4,59,69,85.5,25,45,55.6,0,0.3,0.2,-0.3,4,10,5,5,6
