Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
João Costa,POR,FW,Santa Clara,24-243,2000,1.4,23,34,67.6,260,33,14,20,70.0,6,8,75.0,0,1,0.0,0,0.0,0.4,0.0,0,1,1,0,2
Michel Costa,BRA,MF,Estoril,22-321,2001,6.6,207,246,84.1,3552,986,103,113,91.2,77,88,87.5,21,30,70.0,0,0.1,0.3,-0.1,4,23,5,2,26
Sandro Cruz,ANG,DF,Gil Vicente FC,23-177,2001,7.8,313,383,81.7,5355,2178,147,160,91.9,135,154,87.7,23,43,53.5,0,0.2,0.2,-0.2,3,14,1,0,20
Augusto Dabo,POR,DF,Boavista,20-237,2004,1.0,23,35,65.7,329,176,14,16,87.5,6,9,66.7,1,5,20.0,0,0.0,0.0,0.0,0,3,0,0,3
Amadou Dante,MLI,"DF,MF",Arouca,24-029,2000,5.6,204,248,82.3,3697,1068,87,98,88.8,103,123,83.7,13,20,65.0,0,0.6,0.4,-0.6,6,13,6,3,16
Mathias De Amorim,FRA,MF,Famalicão,19-331,2004,1.0,37,43,86.0,602,173,18,18,100.0,12,16,75.0,4,4,100.0,0,0.0,0.0,0.0,1,8,1,0,5
Zeno Debast,BEL,DF,Sporting CP,21-012,2003,6.3,519,564,92.0,10195,4180,172,178,96.6,287,299,96.0,56,77,72.7,1,0.5,0.4,+0.5,3,72,5,1,57
Depú,ANG,FW,Gil Vicente FC,24-302,2000,0.5,6,8,75.0,69,15,5,6,83.3,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Derick,BRA,"DF,MF",Farense,31-065,1993,4.3,97,144,67.4,1942,569,37,41,90.2,46,62,74.2,14,31,45.2,1,0.3,0.1,+0.7,2,5,3,2,5
Ángel Di María,ARG,FW,Benfica,36-265,1988,5.6,279,369,75.6,5106,1615,131,147,89.1,96,121,79.3,44,77,57.1,2,2.0,3.4,0.0,15,27,29,7,62
Matheus Dias,BRA,MF,Nacional,27-272,1997,8.2,257,305,84.3,5126,1657,99,113,87.6,115,131,87.8,40,53,75.5,1,0.6,0.5,+0.4,8,31,4,0,39
Tiago Dias,POR,FW,Casa Pia,26-185,1998,0.3,12,17,70.6,236,95,5,5,100.0,2,3,66.7,4,6,66.7,0,0.2,0.3,-0.2,2,0,2,2,0
Ousmane Diomande,CIV,DF,Sporting CP,20-337,2003,7.8,667,705,94.6,12977,3894,175,182,96.2,451,463,97.4,37,49,75.5,0,0.3,0.2,-0.3,2,13,1,0,16
Tiago Djaló,POR,DF,Porto,24-210,2000,2.0,172,177,97.2,3467,955,38,38,100.0,121,125,96.8,13,14,92.9,0,0.1,0.0,-0.1,1,2,0,0,1
Maxime Dominguez,SUI,MF,Gil Vicente FC,28-278,1996,2.8,97,108,89.8,1405,405,50,51,98.0,35,40,87.5,6,9,66.7,0,0.5,0.5,-0.5,6,3,1,0,11
Issiar Dramé,MLI,DF,Estrela,25-263,1999,2.8,70,86,81.4,1650,622,11,13,84.6,47,51,92.2,12,20,60.0,0,0.0,0.0,0.0,0,5,0,0,4
Dudu,BRA,FW,Nacional,25-087,1999,0.3,2,2,100.0,30,2,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Marcus Edwards,ENG,"FW,MF",Sporting CP,25-338,1998,0.7,25,34,73.5,321,139,14,16,87.5,8,9,88.9,0,2,0.0,0,0.2,0.1,-0.2,3,4,1,0,10
Ricardo Esgaio,POR,"FW,DF",Sporting CP,31-173,1993,0.3,37,42,88.1,579,217,22,22,100.0,13,14,92.9,2,6,33.3,0,0.0,0.0,0.0,0,10,0,0,1
Tiago Esgaio,POR,"DF,MF",Arouca,29-096,1995,9.9,480,619,77.5,9024,3167,197,224,87.9,228,273,83.5,54,94,57.4,0,0.4,0.9,-0.4,7,33,6,4,39
Dario Essugo,POR,MF,Sporting CP,19-236,2005,0.2,14,14,100.0,228,20,8,8,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,1
Luís Esteves,POR,MF,Nacional,26-210,1998,8.9,271,360,75.3,5650,1845,105,116,90.5,103,131,78.6,54,94,57.4,1,1.1,0.8,-0.1,15,35,5,1,49
Stephen Eustáquio,CAN,MF,Porto,27-320,1996,3.5,240,280,85.7,4222,1214,99,114,86.8,116,127,91.3,20,30,66.7,0,0.8,0.8,-0.8,6,17,4,2,31
Evanilson,BRA,FW,Porto,25-030,1999,0.1,2,4,50.0,35,1,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Fabiano,BRA,DF,Moreirense,24-236,2000,6.3,223,306,72.9,4300,1603,85,97,87.6,105,135,77.8,29,62,46.8,0,0.1,0.3,-0.1,2,19,3,1,20
Claudio Falcão,BRA,"MF,DF",Farense,30-125,1994,9.7,216,279,77.4,4491,1616,68,84,81.0,104,125,83.2,40,55,72.7,0,0.3,0.1,-0.3,10,26,2,0,32
Jorge Filipe Oliveira Fernandes,POR,DF,Vitória,27-217,1997,1.5,72,78,92.3,1494,358,20,22,90.9,45,48,93.8,7,8,87.5,0,0.3,0.0,-0.3,1,4,1,0,5
Martim Fernandes,POR,DF,Porto,18-292,2006,6.1,282,356,79.2,4613,1201,145,161,90.1,113,141,80.1,21,41,51.2,4,2.7,2.2,+1.3,13,13,11,6,20
Mateus Fernandes,POR,"FW,MF",Sporting CP,20-118,2004,0.3,23,25,92.0,283,80,10,11,90.9,5,6,83.3,2,2,100.0,0,0.1,0.1,-0.1,1,1,1,0,2
Roger Fernandes,GNB,"FW,MF",Braga,18-350,2005,6.0,177,241,73.4,2658,440,101,118,85.6,59,77,76.6,11,26,42.3,0,0.7,0.7,-0.7,5,6,5,0,14
Rúben Fernandes,POR,DF,Gil Vicente FC,38-183,1986,9.8,583,657,88.7,12269,3630,129,138,93.5,385,405,95.1,65,102,63.7,0,0.1,0.4,-0.1,2,34,0,0,29
Roberto Férnandez,ESP,FW,Braga,22-125,2002,4.4,58,87,66.7,665,101,40,52,76.9,10,14,71.4,2,4,50.0,0,0.1,0.1,-0.1,4,6,0,0,4
João Ferreira Barros,POR,"MF,FW",Boavista,18-300,2006,1.1,12,20,60.0,174,43,5,8,62.5,7,9,77.8,0,1,0.0,0,0.1,0.0,-0.1,1,2,0,0,1
Filipe Ferreira,POR,DF,Boavista,34-039,1990,9.5,283,383,73.9,5253,2430,118,130,90.8,126,157,80.3,32,74,43.2,0,0.3,0.3,-0.3,5,22,5,3,23
Fernando Ferreira Fonseca,POR,DF,AVS Futebol,27-236,1997,6.3,226,303,74.6,4221,1816,88,96,91.7,114,149,76.5,23,45,51.1,0,0.5,0.4,-0.5,5,13,4,3,22
João Ferreira,POR,DF,Braga,23-228,2001,5.3,266,334,79.6,5539,2134,102,114,89.5,120,144,83.3,41,66,62.1,1,0.7,0.7,+0.3,8,26,3,1,23
Marcelo dos Santos Ferreira,BRA,DF,Moreirense,35-101,1989,10.0,440,515,85.4,9476,3391,110,115,95.7,260,286,90.9,67,109,61.5,0,0.1,0.2,-0.1,1,23,1,0,13
Pedro Ferreira,POR,MF,Santa Clara,26-305,1998,8.6,193,263,73.4,3372,981,93,113,82.3,71,94,75.5,21,40,52.5,1,0.3,0.1,+0.7,5,20,4,1,23
Tiago Ferreira,POR,FW,Estrela,22-232,2002,0.4,9,12,75.0,167,42,4,5,80.0,5,5,100.0,0,1,0.0,0,0.1,0.0,-0.1,1,0,0,0,1
Daniel Figueira,POR,GK,Estoril,26-108,1998,1.0,19,24,79.2,401,267,7,7,100.0,8,8,100.0,4,9,44.4,0,0.0,0.0,0.0,0,0,0,0,0
Tiago Fonseca Morais,POR,"FW,MF",Rio Ave,21-063,2003,5.3,97,135,71.9,1337,487,56,65,86.2,27,38,71.1,5,7,71.4,0,0.2,0.5,-0.2,5,13,6,0,16
José Fontán,ESP,DF,Arouca,24-268,2000,6.9,425,474,89.7,8231,3155,142,154,92.2,234,242,96.7,46,72,63.9,0,0.0,0.0,0.0,0,18,1,0,15
José Fonte,POR,DF,Casa Pia,40-319,1983,6.0,218,250,87.2,4060,1359,81,91,89.0,115,124,92.7,18,30,60.0,0,0.1,0.0,-0.1,1,6,0,0,7
