Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Pieter Gerkens,BEL,MF,Gent,29-065,1995,3.2,78,116,67.2,1462,484,30,37,81.1,33,41,80.5,11,28,39.3,1,0.4,0.5,+0.6,5,10,1,0,15
Faisal Al Ghamdi,KSA,MF,Beerschot,23-065,2001,1.9,14,21,66.7,236,99,7,9,77.8,3,8,37.5,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1
Óscar Gil,ESP,DF,OH Leuven,27-174,1997,3.9,142,183,77.6,2619,659,52,69,75.4,69,80,86.3,16,24,66.7,0,0.2,0.1,-0.2,4,4,2,0,9
Bruno Godeau,BEL,DF,Sint-Truiden,32-160,1992,9.8,588,657,89.5,11757,4333,195,209,93.3,306,321,95.3,76,107,71.0,0,0.0,0.2,0.0,0,36,1,0,35
Bryan Goncalves,FRA,DF,Dender,28-090,1996,3.4,129,176,73.3,2840,1349,40,46,87.0,61,72,84.7,25,53,47.2,0,0.1,0.1,-0.1,2,16,1,1,20
Parfait Guiagon,CIV,FW,Charleroi,23-238,2001,8.1,240,315,76.2,3686,966,123,153,80.4,86,110,78.2,15,26,57.7,0,1.6,1.0,-1.6,10,23,12,4,35
Patrik Gunnarsson,ISL,GK,Kortrijk,23-337,2000,10.0,197,316,62.3,6612,5292,29,31,93.5,89,90,98.9,79,193,40.9,0,0.0,0.0,0.0,0,16,0,0,0
Andri Guðjohnsen,ISL,FW,Gent,22-262,2002,5.6,84,110,76.4,1319,391,43,53,81.1,24,35,68.6,8,9,88.9,1,0.9,0.9,+0.1,3,7,5,0,15
Anouar Ait El Hadj,BEL,MF,Union SG,22-180,2002,4.6,137,184,74.5,2276,719,67,76,88.2,44,57,77.2,19,40,47.5,0,0.5,0.7,-0.5,8,13,5,0,21
Geoffry Hairemans,BEL,"MF,FW",Mechelen,32-362,1991,2.5,108,133,81.2,1931,441,44,48,91.7,48,58,82.8,13,22,59.1,0,1.0,0.8,-1.0,6,9,7,2,17
Dogucan Haspolat,TUR,MF,Westerlo,24-249,2000,10.0,295,441,66.9,6300,2252,100,121,82.6,119,168,70.8,69,138,50.0,2,1.0,1.4,+1.0,17,42,4,0,44
