Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Ross Sykes,ENG,DF,Union SG,23,1999,1.0,58,74,78.4,972,321,28,33,84.8,24,30,80.0,5,9,55.6,0,0.0,0.0,0.0,1,4,1,0,5
Oleksandr Syrota,UKR,DF,Dynamo Kyiv,22,2000,4.2,183,223,82.1,3359,954,66,74,89.2,104,113,92.0,12,29,41.4,0,0.0,0.0,0.0,0,4,0,0,12
Attila Szalai,HUN,DF,Fenerbahçe,24,1998,8.0,441,519,85.0,8840,3939,142,156,91.0,238,255,93.3,55,99,55.6,0,0.3,1.1,-0.3,4,38,2,0,36
Wojciech Szczęsny,POL,GK,Juventus,32,1990,7.8,150,202,74.3,3779,2452,27,27,100.0,74,74,100.0,44,95,46.3,0,0.0,0.0,0.0,0,0,0,0,0
Sebastian Szymański,POL,"MF,FW",Feyenoord,23,1999,7.5,149,210,71.0,2131,838,89,103,86.4,43,59,72.9,12,26,46.2,3,1.5,1.2,+1.5,15,19,15,3,35
Alexander Sørloth,NOR,FW,Real Sociedad,26,1995,4.7,79,110,71.8,1099,133,47,60,78.3,21,29,72.4,5,7,71.4,1,0.4,0.2,+0.6,6,2,2,0,8
Mohamed Taabouni,NED,MF,Feyenoord,20,2002,0.3,17,18,94.4,298,54,6,6,100.0,8,8,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,1
Dušan Tadić,SRB,"FW,MF",Ajax,33,1988,2.0,57,82,69.5,978,307,27,34,79.4,16,25,64.0,10,14,71.4,0,0.6,1.2,-0.6,10,3,5,4,10
Jonathan Tah,GER,DF,Leverkusen,26,1996,8.3,531,566,93.8,10972,4103,157,164,95.7,288,302,95.4,80,87,92.0,0,0.0,0.3,0.0,0,23,0,0,33
Muhammet Taha Tepe,TUR,GK,Trabzonspor,21,2001,1.0,14,19,73.7,396,338,1,1,100.0,8,9,88.9,5,9,55.6,0,0.0,0.0,0.0,0,0,0,0,0
Flavien Tait,FRA,MF,Rennes,29,1993,4.8,235,260,90.4,3919,1011,114,124,91.9,84,86,97.7,27,30,90.0,0,0.2,0.3,-0.2,3,22,4,0,37
Atomu Tanaka,JPN,MF,HJK,34,1987,0.4,15,20,75.0,247,51,9,12,75.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
