Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Federico Valverde,URU,MT,Real Madrid,26-085,1998,9,9,788,8.8,2,2,4,2,0,0,2,0,0.4,0.4,1.2,1.6,18,67,19,0.23,0.23,0.46,0.23,0.46,0.04,0.14,0.18,0.04,0.18
José Luis García Vayá,ESP,MT,Valencia,26-065,1998,9,9,787,8.7,0,2,2,0,0,0,4,0,0.1,0.1,1.3,1.4,4,57,4,0.00,0.23,0.23,0.00,0.23,0.01,0.15,0.16,0.01,0.16
Jesus Vazquez,ESP,DF,Valencia,21-287,2003,8,7,559,6.2,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,21,12,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Lucas Vázquez,ESP,DF,Real Madrid,33-106,1991,7,2,221,2.5,1,1,2,1,0,0,0,0,0.2,0.2,0.7,0.9,3,15,24,0.41,0.41,0.81,0.41,0.81,0.09,0.28,0.37,0.09,0.37
Alejo Véliz,ARG,AT,Espanyol,21-026,2003,9,7,570,6.3,1,0,1,1,0,0,2,0,1.5,1.5,0.5,2.0,1,5,14,0.16,0.00,0.16,0.16,0.16,0.23,0.08,0.31,0.23,0.31
Mikel Vesga,ESP,MT,Athletic Club,31-147,1993,7,4,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.5,2,20,5,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.14,0.01,0.14
Carlos Vicente,ESP,"AT,MT",Alavés,25-175,1999,8,8,707,7.9,2,0,2,2,0,0,1,0,1.1,1.1,1.2,2.3,21,12,43,0.25,0.00,0.25,0.25,0.25,0.14,0.15,0.29,0.14,0.29
Pau Victor Delgado,ESP,AT,Barcelona,22-324,2001,6,1,119,1.3,1,1,2,1,0,0,2,0,0.5,0.5,0.1,0.6,1,3,12,0.76,0.76,1.51,0.76,1.51,0.37,0.09,0.46,0.37,0.46
Nacho Vidal,ESP,DF,Osasuna,29-265,1995,3,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asier Villalibre,ESP,AT,Alavés,27-015,1997,5,2,178,2.0,1,0,1,0,1,1,0,0,1.3,0.5,0.0,0.5,2,2,9,0.51,0.00,0.51,0.00,0.00,0.64,0.00,0.64,0.25,0.25
