Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Marnon Busch,GER,DF,Heidenheim,29-312,1994,4,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,4,6,6,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13
Anthony Caci,FRA,DF,Mainz 05,27-106,1997,6,6,471,5.2,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,4,15,14,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
Emre Can,GER,"MT,DF",Dortmund,30-277,1994,6,4,366,4.1,2,0,2,0,2,2,1,0,1.7,0.2,0.1,0.3,7,23,6,0.49,0.00,0.49,0.00,0.00,0.42,0.03,0.46,0.04,0.07
Julian Chabot,GER,DF,Stuttgart,26-246,1998,6,6,519,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,27,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19-152,2005,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fares Chaïbi,ALG,"MT,AT",Eint Frankfurt,21-322,2002,6,4,361,4.0,0,0,0,0,0,0,1,0,1.8,1.8,0.5,2.2,10,16,23,0.00,0.00,0.00,0.00,0.00,0.44,0.12,0.55,0.44,0.55
Anrie Chase,JPN,DF,Stuttgart,20-205,2004,5,3,317,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,16,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Arthur Chaves,BRA,DF,Hoffenheim,23-260,2001,1,0,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabio Chiarodia,ITA,DF,Gladbach,19-132,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alexis Claude-Maurice,FRA,AT,Augsburg,26-131,1998,1,0,34,0.4,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,0,2,2.65,0.00,2.65,2.65,2.65,0.63,0.00,0.63,0.63,0.63
