Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Dimitry Bertaud,COD,GB,Montpellier,26-131,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emmanuel Biumla,FRA,DF,Angers,19-160,2005,5,4,373,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marco Bizot,NED,GB,Brest,33-219,1991,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ludovic Blas,FRA,"AT,MT",Rennes,26-289,1997,7,7,594,6.6,3,2,5,3,0,0,2,0,1.8,1.8,1.0,2.8,21,28,52,0.45,0.30,0.76,0.45,0.76,0.27,0.16,0.43,0.27,0.43
Augustine Boakye,GHA,"MT,AT",Saint-Étienne,23-347,2000,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Jeremie Boga,CIV,"MT,AT",Nice,27-286,1997,4,3,247,2.7,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,16,0.00,0.36,0.36,0.00,0.36,0.13,0.14,0.27,0.13,0.27
Moïse Bombito,CAN,DF,Nice,24-199,2000,5,5,424,4.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ayyoub Bouaddi,FRA,MT,Lille,17-013,2007,6,1,139,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,6,2,0.00,0.65,0.65,0.00,0.65,0.00,0.34,0.34,0.00,0.34
Badredine Bouanani,ALG,"AT,MT",Nice,19-312,2004,7,2,260,2.9,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,10,10,20,0.00,0.00,0.00,0.00,0.00,0.25,0.10,0.35,0.25,0.35
Benjamin Bouchouari,MAR,MT,Saint-Étienne,22-337,2001,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Hicham Boudaoui,ALG,MT,Nice,25-022,1999,5,5,449,5.0,1,1,2,1,0,0,2,0,0.5,0.5,0.5,0.9,12,27,11,0.20,0.20,0.40,0.20,0.40,0.09,0.09,0.19,0.09,0.19
Benjamin Bourigeaud,FRA,MT,Rennes,30-275,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,4,4,1.13,0.00,1.13,1.13,1.13,0.17,0.00,0.17,0.17,0.17
Bilal Brahimi,ALG,MT,Nice,24-215,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,4,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
Lilian Brassier,FRA,DF,Marseille,24-348,1999,6,5,451,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,21,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Aurélio Buta,POR,DF,Reims,27-248,1997,5,5,423,4.7,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,3,13,9,0.00,0.21,0.21,0.00,0.21,0.02,0.04,0.06,0.02,0.06
Marcin Bułka,POL,GB,Nice,25-011,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rémy Cabella,FRA,"MT,AT",Lille,34-221,1990,7,3,270,3.0,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.6,11,18,33,0.00,0.33,0.33,0.00,0.33,0.25,0.29,0.54,0.25,0.54
Mathieu Cafaro,FRA,"MT,AT",Saint-Étienne,27-204,1997,7,5,418,4.6,1,0,1,1,0,0,2,0,0.8,0.8,0.3,1.1,9,9,32,0.22,0.00,0.22,0.22,0.22,0.18,0.07,0.25,0.18,0.25
Duje Ćaleta-Car,CRO,DF,Lyon,28-028,1996,7,7,629,7.0,1,0,1,1,0,0,3,0,1.6,1.6,0.0,1.6,2,15,0,0.14,0.00,0.14,0.14,0.14,0.23,0.00,0.23,0.23,0.23
Issiaga Camara,GUI,MT,Nice,19-256,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lamine Camara,SEN,MT,Monaco,20-288,2004,6,5,419,4.7,2,1,3,2,0,0,3,1,0.6,0.6,0.7,1.4,6,19,9,0.43,0.21,0.64,0.43,0.64,0.14,0.16,0.29,0.14,0.29
Mahdi Camara,FRA,MT,Brest,26-107,1998,7,6,524,5.8,2,0,2,2,0,0,1,0,0.6,0.6,0.2,0.8,10,21,16,0.34,0.00,0.34,0.34,0.34,0.10,0.04,0.13,0.10,0.13
Axel Camblan,FRA,"MT,AT",Brest,21-046,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
