Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Jim Allevinah,GAB,FW,Angers,Ligue 1,29-232,1995,4,3,223,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,13,18,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.10,0.08,0.10
Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,24-139,2000,8,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,31,17,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08,0.03,0.08
Iker Almena,ESP,"FW,DF",Girona,La Liga,20-165,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30-249,1994,3,0,32,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,4,0.00,0.00,0.00,0.00,0.00,0.54,0.50,1.04,0.54,1.04
Pontus Almqvist,SWE,FW,Parma,Serie A,25-098,1999,6,0,169,1.9,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,11,2,14,0.53,0.53,1.07,0.53,1.07,0.25,0.44,0.70,0.25,0.70
Marcos Alonso,ESP,"DF,MF",Celta Vigo,La Liga,33-293,1990,5,3,372,4.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,12,34,18,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Giorgio Altare,ITA,DF,Venezia,Serie A,26-068,1998,3,2,194,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,4,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Adrià Altimira,ESP,"FW,DF",Leganés,La Liga,23-202,2001,5,3,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Sergi Altimira,ESP,MF,Betis,La Liga,23-052,2001,6,3,354,3.9,0,1,1,0,0,0,2,0,0.3,0.2,0.2,0.4,5,21,6,0.00,0.25,0.25,0.00,0.25,0.07,0.05,0.12,0.04,0.09
Edson Álvarez,MEX,"MF,DF",West Ham,Premier League,26-358,1997,5,3,244,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,1,12,3,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21-106,2003,9,7,672,7.5,1,1,2,1,0,0,3,0,0.4,0.4,0.3,0.8,33,23,74,0.13,0.13,0.27,0.13,0.27,0.06,0.05,0.10,0.06,0.10
