Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Jonathan David,"MF,FW",Canada,24,2000,5.0,14,2.83,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alphonso Davies,DF,Canada,23,2000,5.1,9,1.76,5,3,0,1,0,0,0,0.00,0,0,0,0,0,0
Víctor Dávila,FW,Chile,26,1997,2.6,8,3.13,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0
Erick Davis,DF,Panama,32,1991,3.9,8,2.05,5,3,0,0,0,0,1,0.26,1,0,0,0,0,0
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,1.8,8,4.39,3,4,0,1,0,0,2,1.10,1,1,0,0,0,0
Luc De Fougerolles,DF,Canada,18,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolás De La Cruz,MF,Uruguay,26,1997,3.9,25,6.39,16,7,1,0,1,0,3,0.77,1,2,0,0,0,0
Rodrigo De Paul,MF,Argentina,29,1994,5.3,22,4.40,18,1,0,1,2,0,1,0.20,1,0,0,0,0,0
Ángel Di María,"MF,FW",Argentina,35,1988,3.9,19,4.83,16,2,0,0,1,0,1,0.25,1,0,0,0,0,0
Ismael Díaz,MF,Panama,26,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luis Díaz,FW,Colombia,27,1997,5.6,15,2.66,10,0,3,0,2,0,0,0.00,0,0,0,0,0,0
Paulo Díaz,DF,Chile,29,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kaheim Dixon,"MF,FW",Jamaica,19,2004,0.7,2,2.81,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Domínguez,GK,Ecuador,36,1987,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jhon Durán,FW,Colombia,20,2003,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Echeverría,MF,Chile,28,1995,2.0,2,1.02,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Éderson,MF,Brazil,24,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3.0,7,2.33,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Julio Enciso,"FW,MF",Paraguay,20,2004,2.8,15,5.38,4,3,3,3,2,0,0,0.00,0,0,0,0,0,0
Endrick,FW,Brazil,17,2006,1.4,2,1.42,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Matías Espinoza,DF,Paraguay,26,1997,1.8,1,0.56,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Stephen Eustáquio,MF,Canada,27,1996,4.8,12,2.51,9,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Evanilson,MF,Brazil,24,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Fajardo,"FW,MF",Panama,30,1993,3.3,4,1.22,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Edgardo Fariña,DF,Panama,22,2001,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enzo Fernández,MF,Argentina,23,2001,3.9,12,3.08,10,0,1,1,0,0,2,0.51,1,0,0,1,0,0
Nicolás Fernández,DF,Chile,24,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nahuel Ferraresi,DF,Venezuela,25,1998,3.0,6,2.00,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Edison Flores,"FW,MF",Peru,29,1994,2.1,3,1.45,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Franco,MF,Ecuador,25,1998,3.8,4,1.05,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Thomas Galdames,DF,Chile,25,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pedro Gallese,GK,Peru,33,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Orlando Galo,MF,Costa Rica,23,2000,3.0,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Alejandro Garnacho,FW,Argentina,19,2004,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Néstor Giménez,DF,Paraguay,26,1997,1.2,1,0.83,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Santiago Giménez,FW,Mexico,22,2001,2.4,6,2.49,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0
João Gomes,MF,Brazil,22,2001,3.6,7,1.94,4,0,0,0,2,1,1,0.28,0,0,0,0,1,0
Freddy Góndola,MF,Panama,28,1995,0.5,1,2.00,1,0,0,0,0,0,1,2.00,1,0,0,0,0,0
Alexander González,DF,Venezuela,31,1992,2.0,3,1.50,1,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Derlis González,MF,Paraguay,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolás González,"MF,FW",Argentina,25,1998,2.8,5,2.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Demarai Gray,"MF,FW",Jamaica,27,1996,2.2,3,1.36,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Joao Grimaldo,MF,Peru,20,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Gruezo,"MF,FW",Ecuador,28,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eduardo Guerrero,FW,Panama,23,2000,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paolo Guerrero,FW,Peru,40,1984,1.1,2,1.87,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Bruno Guimarães,MF,Brazil,26,1997,3.7,13,3.52,8,2,0,1,2,0,2,0.54,1,0,0,1,0,0
Luis Haquín,DF,Bolivia,26,1997,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Wes Harding,DF,Jamaica,27,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Harvey,DF,Panama,23,2000,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Hector,DF,Jamaica,31,1992,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yangel Herrera,MF,Venezuela,26,1998,3.6,10,2.76,8,0,2,0,0,0,1,0.28,1,0,0,0,0,0
Piero Hincapié,DF,Ecuador,22,2002,4.0,5,1.25,4,0,0,0,1,0,1,0.25,1,0,0,0,0,0
Ethan Horvath,GK,United States,28,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
