Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Andrés Cubas,MF,Paraguay,27,1996,2,170,85,63.0,1.9,2,85,1,0,,0,0.00,2,6,-4,-2.12,-1.22,1.6,4.5,-2.8,-1.51,-2.20
Héctor Cuellar,DF,Bolivia,23,2000,3,225,75,83.3,2.5,2,90,2,1,45,0,0.00,1,8,-7,-2.80,+1.20,0.9,6.1,-5.3,-2.10,-1.22
Jaume Cuéllar,FW,Bolivia,22,2001,1,17,17,6.3,0.2,0,,0,1,17,2,0.00,0,3,-3,-15.88,-13.75,0.0,0.8,-0.8,-4.07,-2.32
Carlos Cuesta,DF,Colombia,24,1999,5,480,96,84.2,5.3,5,96,5,0,,1,2.00,10,2,+8,+1.50,+0.50,8.7,2.7,+6.0,+1.20,+1.27
Christian Cueva,"MF,FW",Peru,32,1991,2,26,13,9.6,0.3,0,,0,2,13,1,0.00,0,1,-1,-3.46,-2.72,0.4,1.3,-0.9,-3.27,-2.37
Danilo,DF,Brazil,32,1991,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,2,+3,+0.75,,6.3,3.2,+3.2,+0.79,
Jonathan David,"MF,FW",Canada,24,2000,6,446,74,82.6,5.0,5,84,3,1,24,0,1.00,3,6,-3,-0.61,-0.61,6.4,8.3,-2.0,-0.39,-1.91
Álvaro David Montero,GK,Colombia,28,1995,0,,,,,0,,0,0,,6,,,,,,,,,,,
Alphonso Davies,DF,Canada,23,2000,6,459,77,85.0,5.1,5,86,4,1,29,0,1.00,3,6,-3,-0.59,-0.59,6.4,8.3,-1.9,-0.37,-2.08
Víctor Dávila,FW,Chile,26,1997,3,230,77,85.2,2.6,3,77,1,0,,0,0.67,0,1,-1,-0.39,-0.39,1.5,3.7,-2.3,-0.88,+0.55
Erick Davis,DF,Panama,32,1991,4,352,88,97.8,3.9,4,88,3,0,,0,1.50,6,9,-3,-0.77,+10.48,3.0,4.8,-1.8,-0.46,+7.50
Shaquan Davis,GK,Jamaica,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,5,164,33,30.4,1.8,1,59,0,4,26,1,1.60,3,1,+2,+1.10,-0.10,3.3,1.7,+1.6,+0.85,+0.17
Luc De Fougerolles,DF,Canada,18,2005,1,66,66,12.2,0.7,1,66,0,0,,5,1.00,1,1,0,0.00,+0.57,1.7,0.4,+1.3,+1.79,+2.11
