Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Julio Cascante,DF,Costa Rica,30,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Cristian Cásseres Jr.,MF,Venezuela,24,2000,1.7,1,0,0,2,3,0,1,3,2,0,0,0,12,2,2,50.0
Kevin Castaño,MF,Colombia,23,2000,0.9,1,0,0,0,3,0,0,0,0,0,0,0,2,1,5,16.7
Jesús Castillo,MF,Peru,22,2001,0.5,0,0,0,2,2,0,0,2,0,0,1,0,2,0,1,0.0
Renaldo Cephas,"MF,DF",Jamaica,24,1999,0.7,0,0,0,0,2,0,3,1,1,0,0,0,2,1,1,50.0
Boris Cespedes,MF,Bolivia,28,1995,1.7,0,0,0,1,1,0,0,1,1,0,0,0,4,2,1,66.7
Lucas Chávez,"FW,MF",Bolivia,20,2003,0.4,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,
Luis Chávez,MF,Mexico,28,1996,2.9,1,0,0,1,4,0,21,4,2,0,0,0,18,1,5,16.7
Mathieu Choiniere,MF,Canada,24,1999,1.2,0,0,0,3,3,0,6,2,3,0,0,0,11,0,2,0.0
Anthony Contreras,FW,Costa Rica,24,2000,0.1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,66.7
Jhon Córdoba,FW,Colombia,30,1993,4.6,2,0,0,10,3,4,3,0,2,1,0,0,11,20,14,58.8
José Cordoba,DF,Panama,22,2001,4.0,1,0,0,2,2,0,0,3,4,0,1,0,14,3,6,33.3
Derek Cornelius,DF,Canada,26,1997,4.8,2,0,0,9,2,0,0,5,6,0,0,0,12,11,8,57.9
Janner Corozo,FW,Ecuador,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
