Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Raul Bicalho,BRA,DF,Bahia,23,1999,3.6,0,4,0,0.0,1.12,0.00,0.00,,10.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Matheus Bidu,BRA,DF,Corinthians,23,1999,18.4,0,16,6,37.5,0.87,0.33,0.00,0.00,24.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Biel,BRA,"FW,MF",Bahia,21,2001,15.1,5,46,15,32.6,3.04,0.99,0.11,0.33,17.8,1,0,0,5.2,5.2,0.11,-0.2,-0.2
Rafael Bilu,BRA,FW,Cruzeiro,23,1999,1.0,0,4,0,0.0,4.19,0.00,0.00,,19.0,0,0,0,0.7,0.7,0.17,-0.7,-0.7
Biro,BRA,"FW,MF",Corinthians,18,2004,6.4,0,14,3,21.4,2.20,0.47,0.00,0.00,20.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Bitelo,BRA,"MF,FW",Grêmio,23,2000,17.2,4,31,7,22.6,1.80,0.41,0.13,0.57,18.9,1,0,0,3.6,3.6,0.12,+0.4,+0.4
Paulinho Bóia,BRA,FW,América (MG),24,1998,1.5,0,1,0,0.0,0.66,0.00,0.00,,63.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Thiago Borbas,URU,FW,Red Bull Bragantino,20,2002,15.9,9,55,26,47.3,3.47,1.64,0.16,0.35,13.7,1,0,0,9.2,9.2,0.17,-0.2,-0.2
Daniel Borges,BRA,DF,América (MG),29,1993,8.9,0,3,0,0.0,0.34,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Daniel Borges,BRA,DF,Botafogo (RJ),29,1993,0.5,0,1,1,100.0,2.00,2.00,0.00,0.00,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Marllon Borges,BRA,DF,Cuiabá,30,1992,36.0,1,13,4,30.8,0.36,0.11,0.08,0.25,8.7,0,0,0,1.5,1.5,0.12,-0.5,-0.5
Pedro Borges,BRA,"MF,FW",Fortaleza,25,1997,6.3,0,5,1,20.0,0.80,0.16,0.00,0.00,16.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5
