Player,Nation,Pos,Squad,Born,Seasons
Marcus Coco,FRA,"DF,FW",Nantes,1996,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Sébastien Corchia,FRA,DF,Nantes,1990,"{'2022-2023': ['Europa League', 'Ligue 1']}"
Kalifa Coulibaly,MLI,"FW,MF",Red Star,1991,{'2022-2023': ['Europa League']}
Nichita Covali,MDA,FW,Sheriff Tiraspol,2002,{'2022-2023': ['Europa League']}
Crespo,POR,MF,Fenerbahçe,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['La Liga']}"
Bryan Cristante,ITA,"MF,DF",Roma,1995,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A'], 'EURO 2024': ['EURO 2024']}"
Elvin Cəfərquliyev,AZE,DF,Qarabağ,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Johan Dahlin,SWE,GK,Malmö,1986,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Diogo Dalot,POR,DF,Manchester Utd,1999,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Henrik Dalsgaard,DEN,DF,Midtjylland,1989,{'2022-2023': ['Europa League']}
Danilo,BRA,FW,Feyenoord,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Amadou Dante,MLI,DF,Sturm Graz,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Primeira Liga']}"
Spas Delev,BUL,"FW,DF",Ludogorets,1989,{'2022-2023': ['Europa League']}
Andy Delort,ALG,FW,Nantes,1991,"{'2022-2023': ['Europa League', 'Ligue 1']}"
Stefano Denswil,SUR,DF,Trabzonspor,1993,{'2022-2023': ['Europa League']}
Kiril Despodov,BUL,FW,Ludogorets,1996,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Samba Diallo,SEN,"MF,FW",Dynamo Kyiv,2003,{'2022-2023': ['Europa League']}
Krépin Diatta,SEN,"MF,FW",Monaco,1999,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1', 'Champions League'], 'WC 2022': ['WC 2022']}"
Ismael Diawara,MLI,GK,Malmö,1994,{'2022-2023': ['Europa League']}
Dénes Dibusz,HUN,GK,Ferencváros,1990,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Javairô Dilrosun,NED,"FW,MF",Feyenoord,1998,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League']}"
Ousmane Diomande,CIV,DF,Sporting CP,2003,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League'], '2024-2025': ['Primeira Liga', 'Champions League']}"
Edan Diop,FRA,DF,Monaco,2004,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1']}"
Mouhamed Diop,SEN,"MF,FW",Sheriff Tiraspol,2000,{'2022-2023': ['Europa League']}
Axel Disasi,FRA,DF,Monaco,1998,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League'], 'WC 2022': ['WC 2022']}"
Mix Diskerud,USA,MF,AC Omonia,1990,{'2022-2023': ['Europa League']}
Álvaro djaló,ESP,"FW,MF",Braga,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
Djaniny,CPV,"FW,MF",Trabzonspor,1991,{'2022-2023': ['Europa League']}
Ritsu Doan,JPN,"MF,FW",Freiburg,1998,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga'], 'WC 2022': ['WC 2022']}"
Danilho Doekhi,NED,DF,Union Berlin,1998,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga']}"
Jeremy Doku,BEL,"MF,FW",Rennes,2002,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Premier League', 'Ligue 1', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Désiré Doué,FRA,"MF,FW",Rennes,2005,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1', 'Champions League']}"
Aleksandar Dragović,AUT,DF,Red Star,1991,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League']}"
Anders Dreyer,DEN,"FW,MF",Midtjylland,1998,"{'2022-2023': ['Europa League'], '2023-2024': ['Belgian Pro League'], '2024-2025': ['Europa League', 'Belgian Pro League']}"
Joel Drommel,NED,GK,PSV Eindhoven,1996,"{'2022-2023': ['Europa League'], '2024-2025': ['Champions League']}"
Vladyslav Dubinchak,UKR,DF,Dynamo Kyiv,1998,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Paulo Dybala,ARG,"MF,FW",Roma,1993,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Europa League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A'], 'WC 2022': ['WC 2022']}"
Nikolas Dyhr,DEN,DF,Midtjylland,2001,{'2022-2023': ['Europa League']}
Blerim Džemaili,SUI,MF,Zürich,1986,{'2022-2023': ['Europa League']}
Mads Døhr Thychosen,DEN,DF,Midtjylland,1997,{'2022-2023': ['Europa League']}
Dennis Eckert,GER,FW,Union SG,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Belgian Pro League'], '2024-2025': ['Belgian Pro League']}"
Maximilian Eggestein,GER,MF,Freiburg,1996,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Anthony Elanga,SWE,FW,Manchester Utd,2002,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Mohamed Elneny,EGY,MF,Arsenal,1992,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League']}"
Aritz Elustondo,ESP,DF,Real Sociedad,1994,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League'], '2024-2025': ['Europa League', 'La Liga']}"
Breel Embolo,SUI,FW,Monaco,1997,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1', 'Champions League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Emanuel Emegha,NED,FW,Sturm Graz,2003,"{'2022-2023': ['Europa League'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Nikos Englezou,CYP,"DF,FW",AÉK Lárnaka,1993,{'2022-2023': ['Europa League']}
Enrique,ESP,MF,Betis,2003,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Strahinja Eraković,SRB,DF,Red Star,2001,{'2022-2023': ['Europa League']}
Yusuf Erdoğan,TUR,DF,Trabzonspor,1992,{'2022-2023': ['Europa League']}
Evren Eren Elmalı,TUR,DF,Trabzonspor,2000,{'2022-2023': ['Europa League']}
Christian Eriksen,DEN,MF,Manchester Utd,1992,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Anderson Esiti,NGA,MF,Ferencváros,1994,{'2022-2023': ['Europa League']}
Runar Espejord,NOR,FW,Bodø/Glimt,1996,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Evander,BRA,MF,Midtjylland,1998,{'2022-2023': ['Europa League']}
Fabiano,BRA,GK,AC Omonia,1988,{'2022-2023': ['Europa League']}
Fabiano,BRA,DF,Braga,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Primeira Liga']}"
Fábio,BRA,DF,Nantes,1990,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Imad Faraj,MAR,"FW,MF",AÉK Lárnaka,1999,{'2022-2023': ['Europa League']}
Giacomo Faticanti,ITA,MF,Roma,2004,{'2022-2023': ['Europa League']}
Nabil Fekir,FRA,MF,Betis,1993,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'La Liga'], '2024-2025': ['La Liga']}"
Luiz Felipe,ITA,DF,Betis,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga']}"
Bruno Fernandes,POR,"MF,FW",Manchester Utd,1994,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Carlos Fernández,ESP,"FW,MF",Real Sociedad,1996,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga', 'Champions League']}"
Mark Flekken,NED,GK,Freiburg,1993,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Premier League'], '2024-2025': ['Premier League']}"
Youssouf Fofana,FRA,MF,Monaco,1999,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Champions League', 'Serie A'], 'EURO 2024': ['EURO 2024'], 'WC 2022': ['WC 2022']}"
Guillaume François,BEL,DF,Union SG,1990,"{'2022-2023': ['Europa League'], '2023-2024': ['Belgian Pro League'], '2024-2025': ['Belgian Pro League']}"
Fred,BRA,MF,Manchester Utd,1993,"{'2022-2023': ['Premier League', 'Europa League'], '2024-2025': ['Europa League'], 'WC 2022': ['WC 2022']}"
Mohammed Fuseini,GHA,FW,Sturm Graz,2002,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League', 'Belgian Pro League']}"
Romain Gall,USA,DF,Malmö,1995,{'2022-2023': ['Europa League']}
Ignatius Ganago,CMR,"FW,MF",Nantes,1999,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1']}"
Gara Garayev,AZE,MF,Qarabağ,1992,{'2022-2023': ['Europa League']}
Alejandro Garnacho,ARG,FW,Manchester Utd,2004,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Europa League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Stefan Gartenmann,DEN,DF,Midtjylland,1997,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Jusuf Gazibegović,BIH,DF,Sturm Graz,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Jean-Philippe Gbamin,CIV,MF,Trabzonspor,1995,"{'2022-2023': ['Europa League'], '2024-2025': ['Ligue 1']}"
David de Gea,ESP,GK,Manchester Utd,1990,"{'2022-2023': ['Premier League', 'Europa League'], '2024-2025': ['Serie A']}"
Lutsharel Geertruida,NED,"DF,MF",Feyenoord,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Bundesliga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Anwar El Ghazi,NED,FW,PSV Eindhoven,1995,"{'2022-2023': ['Europa League'], '2023-2024': ['Bundesliga']}"
Niko Gießelmann,GER,DF,Union Berlin,1991,"{'2022-2023': ['Europa League', 'Bundesliga']}"
Armin Gigovic,BIH,MF,Midtjylland,2002,"{'2022-2023': ['Europa League'], '2024-2025': ['Bundesliga']}"
Mario Gila,ESP,DF,Lazio,2000,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A']}"
Santiago Giménez,MEX,FW,Feyenoord,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League'], 'CopaAmerica2024': ['CopaAmerica2024']}"
Matthias Ginter,GER,DF,Freiburg,1994,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga'], 'WC 2022': ['WC 2022']}"
Andrei Girotto,BRA,DF,Nantes,1992,"{'2022-2023': ['Europa League', 'Ligue 1']}"
Eugeniu Gliga,MDA,FW,Sheriff Tiraspol,2001,{'2022-2023': ['Europa League']}
Oscar Gloukh,ISR,MF,RB Salzburg,2004,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Marko Gobeljić,SRB,DF,Red Star,1992,{'2022-2023': ['Europa League']}
Amer Gojak,BIH,"MF,FW",Ferencváros,1997,{'2022-2023': ['Europa League']}
Aleksandr Golovin,RUS,"MF,FW",Monaco,1996,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Ligue 1', 'Champions League']}"
Rodrigo Gomes,POR,MF,Braga,2003,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga'], '2024-2025': ['Premier League']}"
Maxi Gómez,URU,FW,Trabzonspor,1996,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga'], 'WC 2022': ['WC 2022']}"
Victor Gomez,ESP,DF,Braga,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Europa League', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Claude Gonçalves,POR,MF,Ludogorets,1994,{'2022-2023': ['Europa League']}
Édgar González,ESP,DF,Betis,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga']}"
Mikel González,ESP,"MF,DF",AÉK Lárnaka,1985,{'2022-2023': ['Europa League']}
Urko González,ESP,MF,Real Sociedad,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga']}"
Jean Gorby,FRA,MF,Braga,2002,"{'2022-2023': ['Europa League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Jon Gorenc Stanković,SVN,MF,Sturm Graz,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Andoni Gorosabel,ESP,DF,Real Sociedad,1996,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga'], '2024-2025': ['Europa League', 'La Liga']}"
Amine Gouiri,ALG,FW,Rennes,2000,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Michael Gregoritsch,AUT,FW,Freiburg,1994,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga'], 'EURO 2024': ['EURO 2024']}"
Vincenzo Grifo,ITA,"MF,FW",Freiburg,1993,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Lennart Grill,GER,GK,Union Berlin,1999,"{'2022-2023': ['Europa League', 'Bundesliga']}"
Denny Gropper,ISR,DF,Ludogorets,1999,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Albert Grønbaek,DEN,"MF,FW",Bodø/Glimt,2001,"{'2022-2023': ['Europa League'], '2024-2025': ['Ligue 1']}"
Andrés Guardado,MEX,MF,Betis,1986,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'La Liga'], 'WC 2022': ['WC 2022']}"
Renan Guedes,BRA,DF,Sheriff Tiraspol,1998,{'2022-2023': ['Europa League']}
Adrián Guerrero,ESP,"DF,MF",Zürich,1998,{'2022-2023': ['Europa League']}
Daniel Guerrero,ESP,FW,Betis,2005,{'2022-2023': ['Europa League']}
Evann Guessand,CIV,"FW,MF",Nantes,2001,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Europa League', 'Ligue 1']}"
Ander Guevara,ESP,MF,Real Sociedad,1997,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga']}"
Manuel Gulde,GER,DF,Freiburg,1991,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga']}"
Arda Güler,TUR,MF,Fenerbahçe,2005,"{'2022-2023': ['Europa League'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga', 'Champions League'], 'EURO 2024': ['EURO 2024']}"
Christian Günter,GER,"DF,MF",Freiburg,1993,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Luís Gustavo Ledes,POR,MF,AÉK Lárnaka,1992,{'2022-2023': ['Europa League']}
Erick Gutiérrez,MEX,MF,PSV Eindhoven,1995,"{'2022-2023': ['Europa League'], 'WC 2022': ['WC 2022']}"
Ádám Gyurcsó,HUN,"FW,MF",AÉK Lárnaka,1991,{'2022-2023': ['Europa League']}
Janik Haberer,GER,MF,Union Berlin,1994,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League'], '2024-2025': ['Bundesliga']}"
Dennis Hadzikadunic,BIH,DF,Malmö,1998,"{'2022-2023': ['Europa League', 'La Liga']}"
Elias Hagen,NOR,MF,Bodø/Glimt,2000,{'2022-2023': ['Europa League']}
Nikita Haikin,RUS,GK,Bodø/Glimt,1995,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Aapo Halme,FIN,DF,HJK,1998,{'2022-2023': ['Europa League']}
Marek Hamšík,SVK,MF,Trabzonspor,1987,{'2022-2023': ['Europa League']}
Dávid Hancko,SVK,DF,Feyenoord,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League'], '2024-2025': ['Champions League'], 'EURO 2024': ['EURO 2024']}"
Genki Haraguchi,JPN,MF,Union Berlin,1991,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga']}"
Denys Harmash,UKR,"FW,MF",Dynamo Kyiv,1990,{'2022-2023': ['Europa League']}
Quilindschy Hartman,NED,DF,Feyenoord,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League']}"
Dogucan Haspolat,TUR,MF,Trabzonspor,2000,"{'2022-2023': ['Europa League'], '2023-2024': ['Belgian Pro League'], '2024-2025': ['Belgian Pro League']}"
Adrian Hatman,MDA,MF,Sheriff Tiraspol,2003,{'2022-2023': ['Europa League']}
Conor Hazard,NIR,GK,HJK,1998,{'2022-2023': ['Europa League']}
Frederik Hedegaard,DEN,FW,Midtjylland,2003,{'2022-2023': ['Europa League']}
Gustavo Henrique,BRA,DF,Fenerbahçe,1993,"{'2022-2023': ['Europa League'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Luiz Henrique,BRA,"FW,MF",Betis,2001,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'La Liga'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Heron,BRA,"FW,MF",Sheriff Tiraspol,2000,{'2022-2023': ['Europa League']}
Përparim Hetemaj,FIN,MF,HJK,1986,{'2022-2023': ['Europa League']}
Stefan Hierländer,AUT,MF,Sturm Graz,1991,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Selmin Hodza,SUI,FW,Zürich,2003,{'2022-2023': ['Europa League']}
Ki-Jana Hoever,NED,DF,PSV Eindhoven,2002,"{'2022-2023': ['Europa League'], '2024-2025': ['Ligue 1']}"
Nicolas Höfler,GER,MF,Freiburg,1990,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Rob Holding,ENG,DF,Arsenal,1995,"{'2022-2023': ['Premier League', 'Europa League']}"
Lucas Höler,GER,FW,Freiburg,1994,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Europa League', 'Bundesliga'], '2024-2025': ['Bundesliga']}"
Marc Hornschuh,GER,MF,Zürich,1991,{'2022-2023': ['Europa League']}
André Horta,POR,MF,Braga,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League']}"
Ricardo Horta,POR,MF,Braga,1994,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga', 'Champions League'], '2024-2025': ['Primeira Liga', 'Europa League'], 'WC 2022': ['WC 2022']}"
Tomi Horvat,SVN,MF,Sturm Graz,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Champions League']}"
Arttu Hoskonen,FIN,DF,HJK,1997,{'2022-2023': ['Europa League']}
Santeri Hostikka,FIN,"MF,FW",HJK,1997,{'2022-2023': ['Europa League']}
Vitor Hugo,BRA,DF,Trabzonspor,1991,"{'2022-2023': ['Europa League'], '2023': ['Brasil2023SerieA'], '2024': ['Brasil2024SerieA', 'Brasil2024']}"
Abbas Huseynov,AZE,DF,Qarabağ,1995,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Badavi Huseynov,AZE,DF,Qarabağ,1991,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Elseid Hysaj,ALB,DF,Lazio,1994,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Serie A'], 'EURO 2024': ['EURO 2024']}"
Marius Høibråten,NOR,DF,Bodø/Glimt,1995,{'2022-2023': ['Europa League']}
Roger Ibanez,BRA,DF,Roma,1998,"{'2022-2023': ['Europa League', 'Serie A']}"
Oussama Idrissi,MAR,FW,Feyenoord,1996,{'2022-2023': ['Europa League']}
Borja Iglesias,ESP,FW,Betis,1993,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'Bundesliga', 'La Liga'], '2024-2025': ['La Liga']}"
Danila Ignatov,MDA,DF,Sheriff Tiraspol,2001,{'2022-2023': ['Europa League']}
Asier Illarramendi,ESP,MF,Real Sociedad,1990,"{'2022-2023': ['Europa League', 'La Liga']}"
Ciro Immobile,ITA,FW,Lazio,1990,"{'2022-2023': ['Europa League', 'Serie A'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Europa League']}"
Hwang In-beom,KOR,MF,Olympiacos,1996,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League'], 'WC 2022': ['WC 2022']}"
Hernani Infande,POR,MF,Braga,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['Primeira Liga']}"
Jo Inge Berget,NOR,"MF,FW",Malmö,1990,{'2022-2023': ['Europa League']}
Sandro Ingolitsch,AUT,DF,Sturm Graz,1997,{'2022-2023': ['Europa League']}
Gustav Isaksen,DEN,FW,Midtjylland,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League', 'Serie A'], '2024-2025': ['Europa League', 'Serie A']}"
Mirko Ivanić,MNE,"MF,FW",Red Star,1993,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Paul Jaeckel,GER,DF,Union Berlin,1998,"{'2022-2023': ['Europa League', 'Bundesliga'], '2023-2024': ['Bundesliga', 'Champions League']}"
Alireza Jahanbakhsh,IRN,FW,Feyenoord,1993,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League', 'Champions League'], 'WC 2022': ['WC 2022']}"
Ismail Jakobs,SEN,"FW,MF",Monaco,1999,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1'], '2024-2025': ['Europa League', 'Ligue 1'], 'WC 2022': ['WC 2022']}"
Marko Janković,MNE,MF,Qarabağ,1995,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League'], '2024-2025': ['Europa League']}"
Jakob Jantscher,AUT,FW,Sturm Graz,1989,{'2022-2023': ['Europa League']}
Oliver Jensen,DEN,"MF,FW",Midtjylland,2002,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Victor Jensen,DEN,DF,Midtjylland,2003,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Gabriel Jesus,BRA,FW,Arsenal,1997,"{'2022-2023': ['Premier League', 'Europa League'], '2023-2024': ['Premier League', 'Champions League'], '2024-2025': ['Premier League', 'Champions League'], 'WC 2022': ['WC 2022']}"
Joaquín,ESP,"FW,MF",Betis,1981,"{'2022-2023': ['Europa League', 'La Liga']}"
Luuk de Jong,NED,FW,PSV Eindhoven,1990,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League'], 'WC 2022': ['WC 2022']}"
Willian José,BRA,FW,Betis,1991,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['Europa League', 'La Liga']}"
Juanmi,ESP,FW,Betis,1993,"{'2022-2023': ['Europa League', 'La Liga'], '2023-2024': ['La Liga'], '2024-2025': ['La Liga']}"
Juninho,BRA,DF,Midtjylland,1995,{'2022-2023': ['Europa League']}
Mauro Júnior,BRA,"DF,FW",PSV Eindhoven,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Armel Junior Zohouri,CIV,DF,Sheriff Tiraspol,2001,"{'2022-2023': ['Europa League'], '2023-2024': ['Europa League']}"
Sory Kaba,GUI,"FW,MF",Midtjylland,1995,"{'2022-2023': ['Europa League'], '2023-2024': ['La Liga']}"
Vladyslav Kabayev,UKR,"FW,MF",Dynamo Kyiv,1995,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
Abdoul Kader Bamba,FRA,FW,Nantes,1994,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Ligue 1']}"
Ferdi Kadioglu,TUR,DF,Fenerbahçe,1999,"{'2022-2023': ['Europa League'], '2024-2025': ['Premier League'], 'EURO 2024': ['EURO 2024']}"
İrfan Kahveci,TUR,"MF,FW",Fenerbahçe,1995,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League'], 'EURO 2024': ['EURO 2024']}"
Andronikos Kakoulli,CYP,FW,AC Omonia,2001,{'2022-2023': ['Europa League']}
Arnaud Kalimuendo,FRA,FW,Rennes,2002,"{'2022-2023': ['Europa League', 'Ligue 1'], '2023-2024': ['Europa League', 'Ligue 1'], '2024-2025': ['Ligue 1']}"
Alexios Kalogeropoulos,GRE,DF,Olympiacos,2004,{'2022-2023': ['Europa League']}
Aboubakar Kamara,MTN,FW,Olympiacos,1995,{'2022-2023': ['Europa League']}
Lindrit Kamberi,SUI,DF,Zürich,1999,{'2022-2023': ['Europa League']}
Ismaël Kandouss,MAR,DF,Union SG,1997,"{'2022-2023': ['Europa League'], '2023-2024': ['Belgian Pro League'], '2024-2025': ['Belgian Pro League']}"
Guélor Kanga,GAB,MF,Red Star,1990,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League'], '2024-2025': ['Champions League']}"
Kings Kangwa,ZAM,"MF,FW",Red Star,1999,"{'2022-2023': ['Europa League'], '2023-2024': ['Champions League', 'Belgian Pro League']}"
Oleksandr Karavayev,UKR,"DF,FW",Dynamo Kyiv,1992,"{'2022-2023': ['Europa League'], '2024-2025': ['Europa League']}"
