Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Simone Bastoni,ITA,"MF,DF",Spezia,Serie A,25,1996,19,"1,189",63,34.8,13.2,15,74,3,4,22,3,0.89,12,22,-10,-0.76,+0.09,14.2,17.3,-3.0,-0.23,+0.38
Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,31,1991,15,686,46,20.1,7.6,8,73,2,7,14,9,1.47,5,7,-2,-0.26,-0.13,4.6,11.2,-6.7,-0.88,-0.72
Maximilian Bauer,GER,DF,Augsburg,Bundesliga,22,2000,27,"1,846",68,60.3,20.5,20,84,17,7,25,6,1.11,25,41,-16,-0.78,-0.41,21.0,36.5,-15.5,-0.75,-0.12
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,34,"3,060",90,100.0,34.0,34,90,34,0,,0,1.06,48,57,-9,-0.26,,48.0,51.1,-3.1,-0.09,
Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,26,1996,8,562,70,18.4,6.2,6,82,3,2,37,9,1.38,7,10,-3,-0.48,-1.06,8.2,8.4,-0.2,-0.02,+0.14
Julian Baumgartlinger,AUT,MF,Augsburg,Bundesliga,34,1988,16,554,35,18.1,6.2,3,90,3,13,22,11,0.69,11,17,-6,-0.97,-0.44,8.4,10.7,-2.4,-0.38,+0.39
Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,Bundesliga,22,1999,33,"2,567",78,83.9,28.5,33,78,14,0,,0,1.09,40,49,-9,-0.32,-0.32,42.0,42.8,-0.8,-0.03,+0.38
Cyrille Bayala,BFA,MF,Ajaccio,Ligue 1,26,1996,33,"2,009",61,58.7,22.3,25,72,7,8,26,1,0.76,8,42,-34,-1.52,-0.44,18.3,31.5,-13.2,-0.59,-0.29
Brian Bayeye,COD,DF,Torino,Serie A,22,2000,2,64,32,1.9,0.7,1,54,0,1,10,35,1.00,0,2,-2,-2.81,-2.89,0.2,0.7,-0.5,-0.70,-0.76
Noah Joel Sarenren Bazee,NGA,"MF,FW",Augsburg,Bundesliga,25,1996,2,20,10,0.7,0.2,0,,0,2,10,8,1.50,0,0,0,0.00,+0.62,0.2,0.1,0.0,+0.16,+0.87
Gavin Bazunu,IRL,GK,Southampton,Premier League,20,2002,32,"2,880",90,84.2,32.0,32,90,32,0,,6,0.75,27,56,-29,-0.91,+0.43,30.5,45.8,-15.3,-0.48,+0.81
Luca Bazzoli,GER,MF,Stuttgart,Bundesliga,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Yoann Beaka,FRA,MF,Troyes,Ligue 1,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Bebé,CPV,FW,Rayo Vallecano,La Liga,32,1990,4,60,15,1.8,0.7,0,,0,4,15,13,0.25,1,1,0,0.00,+0.21,1.0,0.1,+1.0,+1.45,+1.65
Ihlas Bebou,TOG,"FW,DF",Hoffenheim,Bundesliga,28,1994,19,"1,416",75,46.3,15.7,17,79,6,2,39,0,0.95,21,25,-4,-0.25,+0.02,19.5,24.9,-5.4,-0.34,-0.47
Rodrigo Becão,BRA,DF,Udinese,Serie A,26,1996,28,"2,484",89,72.6,27.6,28,89,25,0,,0,1.50,38,31,+7,+0.25,+1.02,35.2,37.7,-2.5,-0.09,+0.14
Mads Bech Sørensen,DEN,"DF,MF",Brentford,Premier League,23,1999,4,21,5,0.6,0.2,0,,0,4,5,3,2.00,1,0,+1,+4.29,+3.99,0.3,0.3,0.0,+0.15,-0.04
Mads Bech Sørensen,DEN,DF,Nice,Ligue 1,23,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Julius Beck,DEN,MF,Spezia,Serie A,17,2005,1,10,10,0.3,0.1,0,,0,1,10,23,0.00,0,1,-1,-9.00,-8.21,0.2,0.2,0.0,+0.21,+0.69
Sheraldo Becker,SUR,FW,Union Berlin,Bundesliga,27,1995,34,"2,554",75,83.5,28.4,33,76,4,1,33,0,1.82,41,32,+9,+0.32,-0.39,29.9,36.1,-6.3,-0.22,-0.50
Jan Bednarek,POL,DF,Southampton,Premier League,26,1996,20,"1,672",84,48.9,18.6,20,84,17,0,,3,0.55,16,39,-23,-1.24,-0.52,16.9,34.9,-18.0,-0.97,-0.71
Jan Bednarek,POL,DF,Aston Villa,Premier League,26,1996,3,100,33,2.9,1.1,1,45,0,2,28,10,1.33,0,1,-1,-0.90,-1.06,2.5,1.1,+1.3,+1.19,+1.28
Donny van de Beek,NED,MF,Manchester Utd,Premier League,25,1997,7,167,24,4.9,1.9,2,55,0,5,12,4,1.71,3,3,0,0.00,-0.42,2.4,1.5,+0.9,+0.46,0.00
Asmir Begović,BIH,GK,Everton,Premier League,35,1987,1,90,90,2.6,1.0,1,90,1,0,,37,3.00,1,0,+1,+1.00,+1.65,0.4,1.0,-0.7,-0.67,-0.14
Yanis Begraoui,MAR,"FW,MF",Toulouse,Ligue 1,21,2001,3,65,22,1.9,0.7,1,45,0,2,10,11,0.00,1,4,-3,-4.15,-4.07,0.3,2.2,-1.9,-2.65,-2.58
Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,1991,33,"1,535",47,50.2,17.1,17,71,1,16,21,0,1.85,30,23,+7,+0.41,+0.06,18.7,21.5,-2.8,-0.16,-0.05
Alexis Beka Beka,FRA,"MF,DF",Nice,Ligue 1,21,2001,14,545,39,15.9,6.1,7,63,0,7,14,19,1.29,5,9,-4,-0.66,-1.13,7.5,8.8,-1.2,-0.20,-0.64
Jérémie Bela,ANG,"DF,MF",Clermont Foot,Ligue 1,29,1993,19,743,39,21.7,8.3,7,73,2,12,20,9,1.00,8,10,-2,-0.24,-0.18,7.3,12.9,-5.6,-0.68,-0.51
Reda Belahyane,MAR,MF,Nice,Ligue 1,18,2004,4,182,46,5.3,2.0,1,90,1,3,31,14,1.00,0,2,-2,-0.99,-1.35,1.4,2.5,-1.1,-0.57,-0.95
