Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Mexx Meerdink,NED,"FW,DF",AZ Alkmaar,21-101,2003,3,36,12,13.3,0.4,0,,0,3,12,0,1.00,0,2,-2,-5.00,-5.00,0.5,1.2,-0.6,-1.57,-1.83
Ofek Melika,ISR,GK,Maccabi Tel Aviv,19-284,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Brais Méndez,ESP,MF,Real Sociedad,27-300,1997,3,241,80,89.3,2.7,3,80,1,0,,0,1.33,4,4,0,0.00,0.00,2.9,2.6,+0.4,+0.14,-0.45
Antoine Mendy,FRA,DF,Nice,20-159,2004,1,73,73,27.0,0.8,1,73,0,0,,2,0.00,0,1,-1,-1.23,+0.14,1.0,1.5,-0.6,-0.70,-0.56
Dries Mertens,BEL,MF,Galatasaray,37-180,1987,3,235,78,87.0,2.6,3,78,0,0,,0,2.33,7,5,+2,+0.77,-1.81,7.2,3.8,+3.3,+1.28,+0.46
Julien Mesbahi,NED,DF,Twente,18-276,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
Giannis Michailidis,GRE,DF,PAOK,24-258,2000,1,90,90,33.3,1.0,1,90,1,0,,2,1.50,0,1,-1,-1.00,0.00,2.0,0.7,+1.3,+1.28,+2.63
Florian Micheler,AUT,MF,Hoffenheim,19-169,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Simion Michez,BEL,FW,Slavia Prague,22-267,2002,3,141,47,52.2,1.6,2,66,0,1,10,0,1.33,0,2,-2,-1.28,-3.37,1.4,1.6,-0.2,-0.13,-0.77
David Miculescu,ROU,FW,FCSB,23-184,2001,3,152,51,56.3,1.7,2,54,0,1,45,0,2.00,2,4,-2,-1.18,-2.71,1.8,3.0,-1.2,-0.70,-0.68
