Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Gustavo Mendonça,POR,MF,AVS Futebol,21-241,2003,1,18,18,2.0,0.2,0,,0,1,18,3,3.00,1,0,+1,+5.00,+6.12,0.4,0.1,+0.3,+1.58,+2.15
Miguel Menino,POR,MF,Farense,21-302,2003,7,362,52,40.2,4.0,4,68,0,3,30,0,0.57,3,8,-5,-1.24,+0.10,3.4,9.5,-6.1,-1.50,-0.44
John Mercado,ECU,"FW,MF",AVS Futebol,22-157,2002,9,670,74,74.4,7.4,9,74,2,0,,0,1.00,5,12,-7,-0.94,+0.23,5.7,8.5,-2.9,-0.39,+0.54
Mehdi Merghem,FRA,MF,Farense,27-111,1997,4,234,59,26.0,2.6,3,73,0,1,16,0,0.25,1,3,-2,-0.77,+0.72,2.2,5.2,-3.1,-1.18,+0.09
Bruno Messi,POR,"MF,FW",Santa Clara,28-059,1996,3,57,19,6.3,0.6,0,,0,3,19,3,1.00,0,0,0,0.00,-0.11,0.9,0.3,+0.6,+0.98,+0.51
Enea Mihaj,ALB,DF,Famalicão,26-125,1998,10,855,86,95.0,9.5,10,86,9,0,,0,1.60,11,8,+3,+0.32,+0.32,9.1,11.7,-2.6,-0.27,+1.28
Mika,POR,GK,Moreirense,33-244,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Álex Millán,ESP,"FW,MF",Farense,25-000,1999,8,380,48,42.2,4.2,4,69,0,4,26,0,0.50,0,5,-5,-1.18,+0.20,2.8,6.6,-3.7,-0.88,+0.63
Cezary Miszta,POL,GK,Rio Ave,23-008,2001,2,180,90,20.0,2.0,2,90,2,0,,8,0.50,2,7,-5,-2.50,-1.62,1.2,3.8,-2.6,-1.31,-0.85
Isaac Monteiro,POR,DF,Casa Pia,20-248,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rodrigo Mora,POR,MF,Porto,17-186,2007,3,45,15,5.0,0.5,0,,0,3,15,1,3.00,3,0,+3,+6.00,+3.89,1.2,0.1,+1.2,+2.35,+0.68
Morato,BRA,DF,Benfica,23-130,2001,1,90,90,11.1,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-4.50,0.8,1.5,-0.7,-0.70,-2.40
Paulo Moreira,POR,MF,Estrela,24-264,2000,5,157,31,17.4,1.7,2,59,0,3,13,2,0.80,2,7,-5,-2.87,-2.02,2.4,4.8,-2.4,-1.39,-0.74
Marco Moreno,ESP,DF,Farense,23-261,2001,7,508,73,56.4,5.6,6,82,4,1,16,3,0.00,3,13,-10,-1.77,-1.08,4.3,13.6,-9.3,-1.65,-0.94
Hidemasa Morita,JPN,MF,Sporting CP,29-181,1995,10,618,62,68.7,6.9,6,86,3,4,26,0,3.00,26,1,+25,+3.64,+1.41,19.8,2.8,+17.0,+2.47,+0.67
Mosquito,BRA,GK,Arouca,28-148,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
Moura,POR,DF,Famalicão,25-083,1999,4,360,90,40.0,4.0,4,90,4,0,,0,2.25,7,2,+5,+1.25,+1.58,4.3,3.2,+1.2,+0.29,+1.05
Moura,POR,DF,Porto,25-083,1999,6,517,86,57.4,5.7,6,86,4,0,,0,3.00,18,2,+16,+2.79,+1.14,14.5,3.3,+11.3,+1.96,+0.60
João Moutinho,POR,"MF,FW",Braga,38-060,1986,2,114,57,12.7,1.3,1,90,1,1,24,0,2.00,2,1,+1,+0.79,-0.24,2.4,0.7,+1.7,+1.32,+0.88
MT,BRA,"MF,DF",Santa Clara,23-251,2001,10,900,90,100.0,10.0,10,90,10,0,,0,1.80,13,12,+1,+0.10,,13.9,8.8,+5.1,+0.51,
Jonathan Mutombo,FRA,DF,Gil Vicente FC,22-072,2002,4,140,35,15.6,1.6,1,90,1,3,17,4,0.00,1,3,-2,-1.29,-1.05,1.7,3.7,-2.0,-1.31,-1.07
Manuel Namora,POR,FW,Boavista,26-269,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nani,POR,"FW,MF",Estrela,37-356,1986,9,465,52,51.7,5.2,4,70,0,5,37,0,0.60,5,12,-7,-1.35,-0.32,2.6,8.8,-6.2,-1.20,-0.86
Fran Navarro,ESP,FW,Porto,26-278,1998,4,91,23,10.1,1.0,1,67,0,3,8,2,2.25,2,1,+1,+0.99,-1.46,1.4,0.9,+0.5,+0.50,-1.34
Mor Ndiaye,SEN,MF,Estoril,23-351,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Christian Neiva Afonso,POR,DF,AVS Futebol,29-333,1994,10,799,80,88.8,8.9,9,84,5,1,45,0,0.90,9,16,-7,-0.79,+1.88,8.1,12.9,-4.7,-0.53,-0.05
Rafael Nel,POR,FW,Sporting CP,19-218,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nenê,BRA,FW,AVS Futebol,41-102,1983,3,236,79,26.2,2.6,3,79,1,0,,0,1.33,4,3,+1,+0.38,+1.87,3.1,2.7,+0.4,+0.14,+0.91
Neneca,BRA,GK,Santa Clara,21-072,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,
Neto,BRA,MF,Farense,33-066,1991,10,585,59,65.0,6.5,8,71,2,2,9,0,0.40,2,10,-8,-1.23,+0.20,4.7,12.8,-8.1,-1.25,-0.01
Martim Neto,POR,MF,Benfica,21-298,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Martim Neto,POR,MF,Rio Ave,21-298,2003,5,307,61,34.1,3.4,4,73,0,1,16,0,0.60,4,8,-4,-1.17,+0.04,4.1,5.5,-1.4,-0.41,+0.33
Sikou Niakaté,MLI,DF,Braga,25-120,1999,7,630,90,70.0,7.0,7,90,7,0,,1,1.86,13,6,+7,+1.00,0.00,13.1,6.7,+6.5,+0.92,+1.24
Miguel Nóbrega,POR,DF,Rio Ave,24-204,2000,1,90,90,10.0,1.0,1,90,1,0,,0,0.00,1,3,-2,-2.00,-0.89,0.5,2.9,-2.4,-2.44,-2.02
Jonatás Noro,POR,DF,Braga,19-121,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
João Novais,POR,MF,Rio Ave,31-120,1993,9,504,56,56.0,5.6,6,73,2,3,22,1,0.89,4,10,-6,-1.07,+0.29,6.8,8.7,-1.9,-0.34,+0.65
Samuel Obeng,GHA,FW,Casa Pia,27-176,1997,6,295,49,32.8,3.3,4,71,0,2,6,1,1.17,1,3,-2,-0.61,-0.31,2.4,3.2,-0.8,-0.26,-0.19
Guillermo Ochoa,MEX,GK,AVS Futebol,39-117,1985,6,540,90,60.0,6.0,6,90,6,0,,0,0.83,4,12,-8,-1.33,-0.83,5.4,8.9,-3.5,-0.58,-0.15
Lawrence Ofori,GHA,MF,Moreirense,26-132,1998,7,524,75,58.2,5.8,6,83,3,1,24,0,1.86,8,6,+2,+0.34,+0.82,7.6,6.3,+1.3,+0.22,-0.05
Nélson Oliveira,POR,FW,Vitória,33-091,1991,10,652,65,72.4,7.2,8,76,0,2,22,0,1.80,10,7,+3,+0.41,+0.78,7.4,6.6,+0.8,+0.11,-0.20
