Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Till Cissokho,FRA,DF,Estrela,24-273,2000,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Clayton,BRA,DF,AVS Futebol,24-217,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Clayton,BRA,FW,Rio Ave,25-301,1999,9.6,4,29,12,41.4,3.02,1.25,0.10,0.25,19.5,0,1,1,3.1,2.3,0.08,+0.9,+0.7
Diego Collado,ESP,"MF,FW",Gil Vicente FC,23-303,2001,0.2,0,1,0,0.0,6.00,0.00,0.00,,15.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Fábio Conceição,POR,"DF,MF",Rio Ave,23-193,2001,3.2,0,5,0,0.0,1.57,0.00,0.00,,18.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Leo Cordeiro,BRA,MF,Estrela,29-041,1995,8.5,0,8,0,0.0,0.94,0.00,0.00,,23.0,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Félix Correia,POR,"FW,MF",Gil Vicente FC,23-290,2001,9.9,3,16,3,18.8,1.61,0.30,0.19,1.00,16.3,1,0,0,2.6,2.6,0.16,+0.4,+0.4
Alberto costa,POR,DF,Vitória,21-039,2003,1.5,0,1,0,0.0,0.67,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Bruno Xavier Almeida Costa,POR,"MF,FW",Nacional,27-202,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Diogo Costa,POR,GK,Porto,25-049,1999,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonçalo Costa,POR,DF,Estoril,24-263,2000,0.3,0,2,0,0.0,6.00,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Hélder Costa,ANG,FW,Estoril,30-300,1994,2.3,0,1,0,0.0,0.43,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0
João Costa,POR,FW,Santa Clara,24-245,2000,1.4,1,4,2,50.0,2.90,1.45,0.25,0.50,11.0,0,0,0,0.9,0.9,0.21,+0.1,+0.1
Michel Costa,BRA,MF,Estoril,22-323,2001,6.6,0,2,0,0.0,0.30,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Sandro Cruz,ANG,DF,Gil Vicente FC,23-179,2001,7.8,0,2,1,50.0,0.26,0.13,0.00,0.00,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
