Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Charalampos Kostoulas,GRE,"FW,MF",Olympiacos,17-159,2007,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominik Kotarski,CRO,GK,PAOK,24-269,2000,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cedric Kouadio,CIV,FW,FK Rīgas FS,28-170,1996,2.5,5,1.97,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Štěpán Kozel,CZE,DF,Slavia Prague,21-242,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrej Kramarić,CRO,MF,Hoffenheim,33-139,1991,1.8,9,4.97,8,0,0,0,1,0,1,0.55,1,0,0,0,0,0
Rasmus Kristensen,DEN,DF,Eint Frankfurt,27-117,1997,2.9,8,2.73,8,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Takefusa Kubo,JPN,"MF,FW",Real Sociedad,23-154,2001,1.3,8,6.05,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jan Kuchta,CZE,FW,Midtjylland,27-302,1997,1.6,4,2.40,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Bas Kuipers,NED,DF,Twente,30-080,1994,0.5,2,4.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24-194,2000,1.0,6,6.07,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Berkan Kutlu,TUR,"MF,DF",Galatasaray,26-285,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dave Kwakman,NED,MF,AZ Alkmaar,20-090,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gaëtan Laborde,FRA,FW,Nice,30-186,1994,0.7,2,2.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexandre Lacazette,FRA,FW,Lyon,33-161,1991,2.7,14,5.21,11,0,2,0,1,0,1,0.37,1,0,0,0,0,0
Gustaf Lagerbielke,SWE,DF,Twente,24-209,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mayckel Lahdo,SWE,"FW,MF",AZ Alkmaar,21-311,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sam Lammers,NED,FW,Twente,27-189,1997,2.4,7,2.90,6,0,0,0,0,1,1,0.41,0,0,0,0,0,1
Will Lankshear,ENG,FW,Tottenham,19-199,2005,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Hugo Larsson,SWE,MF,Eint Frankfurt,20-131,2004,1.5,3,1.96,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Johan Larsson,SWE,FW,Elfsborg,34-184,1990,0.2,1,6.43,0,0,1,0,0,0,1,6.43,0,0,1,0,0,0
Tom Lawrence,WAL,MF,Rangers,30-297,1994,1.9,6,3.20,3,0,1,1,1,0,0,0.00,0,0,0,0,0,0
Hisham Layous,ISR,FW,Maccabi Tel Aviv,23-358,2000,0.9,7,7.50,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Manuel Lazzari,ITA,DF,Lazio,30-342,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Enzo Le Fée,FRA,MF,Roma,24-276,2000,0.6,4,6.92,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Stav Lemkin,ISR,DF,Maccabi Tel Aviv,21-217,2003,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Theo Leoni,BEL,MF,Anderlecht,24-198,2000,1.2,2,1.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fedde Leysen,BEL,DF,Union SG,21-119,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthijs de Ligt,NED,DF,Manchester Utd,25-085,1999,1.9,2,1.07,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Victor Lindelöf,SWE,DF,Manchester Utd,30-111,1994,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ondřej Lingr,CZE,"MF,FW",Slavia Prague,26-029,1998,1.2,1,0.82,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Žiga Lipušček,SVN,DF,FK Rīgas FS,27-305,1997,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominik Livaković,CRO,GK,Fenerbahçe,29-301,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mihai Lixandru,ROU,MF,FCSB,23-153,2001,1.5,5,3.36,5,0,0,0,0,0,1,0.67,1,0,0,0,0,0
Danny Loader,ENG,FW,Porto,24-069,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Javi López,ESP,DF,Real Sociedad,22-225,2002,1.3,1,0.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tom Louchet,FRA,"MF,DF",Nice,21-185,2003,2.4,3,1.23,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Zakaria Loukili,SWE,"MF,FW",Malmö,18-285,2006,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zak Lovelace,ENG,FW,Rangers,18-287,2006,0.2,1,5.29,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Sayfallah Ltaief,TUN,"FW,MF",Twente,24-197,2000,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Odin Lurås Bjørtuft,NOR,DF,Bodø/Glimt,25-322,1998,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Isak Määttä,NOR,FW,Bodø/Glimt,23-047,2001,1.4,2,1.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Mac Allister,ARG,DF,Union SG,26-364,1997,1.8,2,1.11,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Koki Machida,JPN,DF,Union SG,27-072,1997,3.0,5,1.67,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
James Maddison,ENG,MF,Tottenham,27-348,1996,1.1,6,5.57,4,2,0,0,0,0,1,0.93,1,0,0,0,0,0
Elad Madmon,ISR,FW,Maccabi Tel Aviv,20-269,2004,2.3,5,2.13,2,0,2,1,0,0,1,0.43,1,0,0,0,0,0
Harry Maguire,ENG,DF,Manchester Utd,31-245,1993,1.1,3,2.62,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Habib Maïga,CIV,MF,Ferencváros,28-309,1996,1.4,2,1.43,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Seiya Maikuma,JPN,DF,AZ Alkmaar,27-020,1997,2.6,4,1.57,2,1,0,0,1,0,2,0.78,0,1,0,0,1,0
Kobbie Mainoo,ENG,MF,Manchester Utd,19-200,2005,0.1,2,15.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Ainsley Maitland-Niles,ENG,DF,Lyon,27-068,1997,3.0,4,1.33,3,0,0,1,0,0,1,0.33,1,0,0,0,0,0
Cebrails Makreckis,LVA,DF,Ferencváros,24-179,2000,1.2,4,3.46,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gianluca Mancini,ITA,DF,Roma,28-202,1996,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christos Mandas,GRE,GK,Lazio,23-049,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Óscar de Marcos,ESP,DF,Athletic Club,35-205,1989,1.6,2,1.22,2,0,0,0,0,0,1,0.61,1,0,0,0,0,0
Erick Marcus,BRA,"MF,FW",Ludogorets,20-249,2004,0.4,1,2.73,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Adrián Marín,ESP,DF,Braga,27-301,1997,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pablo Marín,ESP,MF,Real Sociedad,21-125,2003,1.7,3,1.73,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
