Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Maxime Delanghe,BEL,GK,Cercle Brugge,23-163,2001,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Mathias Delorge,BEL,MF,Gent,20-094,2004,11.8,21,1.77,16,3,1,0,1,0,2,0.17,2,0,0,0,0,0
Isaías Delpupo,ARG,"MF,FW",Sint-Truiden,21-216,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bas van den Eynden,BEL,DF,Mechelen,22-300,2002,5.0,3,0.59,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leander Dendoncker,BEL,"DF,MF",Anderlecht,29-201,1995,6.0,12,2.00,11,0,0,1,0,0,1,0.17,1,0,0,0,0,0
Kévin Denkey,TOG,FW,Cercle Brugge,23-338,2000,10.4,22,2.12,17,0,2,3,0,0,2,0.19,1,0,0,1,0,0
Alfie Devine,ENG,MF,Westerlo,20-093,2004,5.5,16,2.91,11,0,1,2,2,0,0,0.00,0,0,0,0,0,0
Julien Devriendt,BEL,GK,Dender,25-343,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gilles Dewaele,BEL,DF,Kortrijk,28-263,1996,4.9,4,0.82,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ibrahim Diakité,GUI,"DF,MF",Cercle Brugge,21-002,2003,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Guillaume Dietsch,FRA,GK,Dender,23-199,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alouis Diriken,BEL,MF,Sint-Truiden,20-303,2004,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kasper Dolberg,DEN,FW,Anderlecht,27-027,1997,9.6,25,2.60,17,0,3,3,2,0,2,0.21,0,0,1,1,0,0
Mahamadou Doumbia,MLI,MF,Antwerp,20-171,2004,10.4,28,2.98,18,0,6,3,1,0,2,0.21,1,0,1,0,0,0
Souleyman Doumbia,CIV,DF,Standard Liège,28-039,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vetle Dragsnes,NOR,DF,Charleroi,30-270,1994,11.3,27,2.40,24,1,1,0,1,0,1,0.09,1,0,0,0,0,0
Anders Dreyer,DEN,"FW,MF",Anderlecht,26-184,1998,8.1,33,4.10,24,5,1,2,0,1,2,0.25,0,1,0,1,0,0
Olivier Dumont,BEL,"FW,MF",Sint-Truiden,22-241,2002,1.9,4,2.05,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dennis Eckert,GER,FW,Standard Liège,27-298,1997,4.4,14,3.21,7,0,1,4,2,0,1,0.23,0,0,1,0,0,0
Dennis Eckert,GER,FW,Union SG,27-298,1997,2.2,3,1.36,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Samuel Edozie,ENG,"FW,MF",Anderlecht,21-279,2003,4.0,14,3.48,8,0,5,0,1,0,1,0.25,0,0,1,0,0,0
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20-106,2004,1.6,2,1.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jurgen Ekkelenkamp,NED,MF,Antwerp,24-211,2000,0.7,1,1.36,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Matthieu Epolo,BEL,GK,Standard Liège,20-292,2004,12.0,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Alieu Fadera,GAM,MF,Genk,22-365,2001,2.0,11,5.50,5,0,1,2,2,1,1,0.50,1,0,0,0,0,0
Noah Fadiga,SEN,DF,Gent,24-335,1999,8.4,19,2.26,9,1,6,1,2,0,3,0.36,2,0,1,0,0,0
Omar Fayed,EGY,MF,Beerschot,21-121,2003,0.3,1,3.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19-273,2005,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Ferrari,URU,"FW,DF",Sint-Truiden,21-304,2003,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabio Ferraro,BEL,DF,Dender,22-060,2002,10.6,20,1.89,14,1,4,0,1,0,3,0.28,2,0,1,0,0,0
Nacho Ferri,ESP,FW,Kortrijk,20-028,2004,8.3,14,1.69,13,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Karol Fila,POL,DF,Dender,26-142,1998,2.8,5,1.78,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Mathias Fixelles,BEL,MF,Westerlo,28-083,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexis Flips,FRA,FW,Anderlecht,24-289,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexis Flips,FRA,"FW,MF",Charleroi,24-289,2000,2.2,12,5.51,6,3,0,2,1,0,0,0.00,0,0,0,0,0,0
Thomas Foket,BEL,DF,Anderlecht,30-038,1994,1.2,4,3.33,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Núrio Fortuna,ANG,"MF,DF",Gent,29-223,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marlon Fossey,USA,DF,Standard Liège,26-054,1998,10.1,26,2.59,20,4,1,0,1,0,0,0.00,0,0,0,0,0,0
Iver Fossum,NOR,MF,Kortrijk,28-110,1996,2.2,5,2.26,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Daam Foulon,BEL,"DF,MF",Mechelen,25-224,1999,10.4,22,2.12,18,0,3,0,1,0,7,0.67,4,0,2,0,1,0
Guillaume François,BEL,"FW,DF",Union SG,34-152,1990,1.2,3,2.52,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Matija Frigan,CRO,FW,Westerlo,21-265,2003,7.1,17,2.40,11,1,1,3,1,0,2,0.28,0,0,1,0,1,0
Haruya Fujii,JPN,DF,Kortrijk,23-312,2000,9.2,4,0.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joel Fujita,JPN,MF,Sint-Truiden,22-260,2002,9.7,25,2.59,22,0,1,0,0,2,2,0.21,2,0,0,0,0,0
Mohammed Fuseini,GHA,FW,Union SG,22-170,2002,9.0,28,3.10,20,1,2,2,3,0,1,0.11,1,0,0,0,0,0
Hugo Gambor,CTA,DF,Gent,21-308,2002,5.9,6,1.01,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Omri Gandelman,ISR,MF,Gent,24-170,2000,7.2,15,2.09,12,0,0,2,0,1,2,0.28,1,0,0,1,0,0
