Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Kristoffer Velde,NOR,"FW,MF",Olympiacos,25-060,1999,0.6,23,23,0,0,0,0,2,0,0,0,0,0,15,0,1
Micky van de Ven,NED,DF,Tottenham,23-203,2001,1.0,57,55,2,2,0,0,0,0,0,0,0,0,54,0,0
Olivier Verdon,BEN,DF,Ludogorets,29-034,1995,4.0,185,175,9,9,0,1,1,0,0,0,0,0,158,1,0
Jordan Veretout,FRA,MF,Lyon,31-252,1993,0.8,54,54,0,0,0,0,0,0,0,0,0,0,47,0,0
Yari Verschaeren,BEL,MF,Anderlecht,23-119,2001,1.7,87,81,6,3,1,1,8,1,2,1,1,0,71,0,3
Mikel Vesga,ESP,MF,Athletic Club,31-171,1993,0.4,16,16,0,0,0,0,0,0,0,0,0,0,9,0,0
Marko Vešović,MNE,DF,Qarabağ,33-072,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guglielmo Vicario,ITA,GK,Tottenham,28-032,1996,2.0,81,62,19,7,0,0,0,0,0,0,0,0,76,0,0
Caio Vidal,BRA,FW,Ludogorets,24-004,2000,1.5,25,24,1,0,0,0,3,1,0,0,0,0,14,0,2
Fabio Vieira,POR,"FW,MF",Porto,24-162,2000,1.4,52,47,4,2,0,0,4,1,1,1,0,0,45,1,1
Kostiantyn Vivcharenko,UKR,DF,Dynamo Kyiv,22-151,2002,1.7,78,62,15,2,0,0,1,13,0,0,0,0,63,1,1
Daniel Vivian,ESP,DF,Athletic Club,25-116,1999,3.9,247,234,13,12,0,5,0,1,0,0,0,0,202,0,1
Michel Vlap,NED,MF,Twente,27-159,1997,2.4,156,134,22,6,0,1,17,1,12,3,5,1,127,0,3
Nazar Voloshyn,UKR,FW,Dynamo Kyiv,21-144,2003,2.7,58,55,3,0,0,0,4,0,1,0,1,0,47,0,0
Matěj Vydra,CZE,"FW,MF",Viktoria Plzeň,32-191,1992,1.6,37,36,1,0,0,0,0,0,0,0,0,0,26,0,1
Kasper Waarst Høgh,DEN,FW,Bodø/Glimt,23-338,2000,1.9,42,39,3,0,0,0,0,0,0,0,0,0,28,0,1
Conrad Wallem,NOR,"DF,FW",Slavia Prague,24-152,2000,1.7,57,48,9,3,0,0,9,6,0,0,0,0,45,0,2
Wout Weghorst,NED,FW,Ajax,32-093,1992,1.2,23,23,0,0,0,0,0,0,0,0,0,0,14,0,1
Brice Wembangomo,NOR,DF,Bodø/Glimt,27-326,1996,0.2,18,14,4,0,0,0,1,4,0,0,0,0,18,0,0
Timo Werner,GER,"FW,MF",Tottenham,28-247,1996,1.4,56,50,6,0,0,0,5,1,5,0,0,0,43,0,0
Owen Wijndal,NED,"DF,FW",Ajax,24-346,1999,0.9,33,31,2,1,0,1,0,1,0,0,0,0,31,0,1
Iñaki Williams,GHA,FW,Athletic Club,30-146,1994,4.0,106,101,4,0,1,1,13,2,0,0,0,0,65,1,3
Nico Williams,ESP,FW,Athletic Club,22-119,2002,3.1,94,86,8,3,0,1,20,0,5,1,1,0,58,0,4
Willian,BRA,MF,Olympiacos,36-091,1988,0.6,25,23,2,1,0,0,4,0,1,1,0,0,19,0,0
Mees de Wit,NED,DF,AZ Alkmaar,26-205,1998,0.8,47,36,11,2,0,0,5,7,2,2,0,0,38,0,2
Aslak Witry,NOR,DF,Ludogorets,28-243,1996,3.9,196,156,39,13,0,0,5,25,1,0,1,0,149,1,3
Ricky van Wolfswinkel,NED,FW,Twente,35-286,1989,3.2,78,72,5,1,0,1,1,3,0,0,0,0,52,1,4
Mert Yandaş,TUR,"MF,DF",Fenerbahçe,30-081,1994,0.4,38,34,4,4,0,0,3,0,0,0,0,0,30,0,2
Roman Yaremchuk,UKR,FW,Olympiacos,28-347,1995,0.7,25,25,0,0,0,0,0,0,0,0,0,0,18,0,1
Andriy Yarmolenko,UKR,FW,Dynamo Kyiv,35-016,1989,0.7,25,24,1,0,0,0,1,1,0,0,0,0,21,0,0
Terry Yegbe,GHA,DF,Elfsborg,23-288,2001,4.0,177,156,19,5,0,1,0,13,0,0,0,0,118,2,2
Sagiv Yehezkel,ISR,DF,Maccabi Tel Aviv,29-232,1995,1.0,32,28,4,0,0,1,1,4,0,0,0,0,28,0,0
Ivan Yordanov,BUL,MF,Ludogorets,24-001,2000,0.9,28,27,1,1,0,0,0,0,0,0,0,0,26,0,0
