Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Samuel Edozie,ENG,"FW,MF",Anderlecht,21-279,2003,4.0,132,129,3,1,0,0,12,2,0,0,0,0,109,0,3
Malamine Efekele,FRA,"MF,FW",Cercle Brugge,20-106,2004,1.6,21,20,1,0,0,0,3,0,0,0,0,0,14,0,1
Jurgen Ekkelenkamp,NED,MF,Antwerp,24-211,2000,0.7,28,28,0,0,0,0,0,0,0,0,0,0,23,0,0
Matthieu Epolo,BEL,GK,Standard Liège,20-292,2004,12.0,349,228,119,28,0,0,0,0,0,0,0,0,189,2,2
Alieu Fadera,GAM,MF,Genk,22-365,2001,2.0,108,88,20,3,1,1,9,17,0,0,0,0,87,0,5
Noah Fadiga,SEN,DF,Gent,24-335,1999,8.4,313,263,50,2,0,0,9,48,0,0,0,0,251,0,8
Omar Fayed,EGY,MF,Beerschot,21-121,2003,0.3,10,8,2,1,0,0,0,1,0,0,0,0,7,0,0
Matias Fernandez-Pardo,BEL,"MF,FW",Gent,19-273,2005,1.8,46,44,2,0,0,0,0,0,0,0,0,0,33,0,3
Andrés Ferrari,URU,"FW,DF",Sint-Truiden,21-304,2003,0.6,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Fabio Ferraro,BEL,DF,Dender,22-060,2002,10.6,451,402,47,5,1,0,50,36,6,0,5,0,323,2,13
Nacho Ferri,ESP,FW,Kortrijk,20-028,2004,8.3,153,151,0,0,1,0,6,0,0,0,0,0,93,2,6
Karol Fila,POL,DF,Dender,26-142,1998,2.8,105,87,18,4,0,1,6,13,1,1,0,0,92,0,0
Mathias Fixelles,BEL,MF,Westerlo,28-083,1996,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Alexis Flips,FRA,FW,Anderlecht,24-289,2000,0.0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0
Alexis Flips,FRA,"FW,MF",Charleroi,24-289,2000,2.2,127,111,16,4,1,1,21,1,10,4,5,0,87,0,4
Thomas Foket,BEL,DF,Anderlecht,30-038,1994,1.2,74,61,13,2,0,0,5,11,0,0,0,0,61,0,0
Núrio Fortuna,ANG,"MF,DF",Gent,29-223,1995,0.1,8,5,3,0,0,0,0,3,0,0,0,0,5,0,0
Marlon Fossey,USA,DF,Standard Liège,26-054,1998,10.1,426,331,93,3,0,0,27,90,0,0,0,0,331,2,11
Iver Fossum,NOR,MF,Kortrijk,28-110,1996,2.2,73,72,1,0,0,0,2,0,1,0,0,0,54,0,3
Daam Foulon,BEL,"DF,MF",Mechelen,25-224,1999,10.4,518,451,64,4,0,3,21,60,0,0,0,0,413,3,7
