Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Adrian Hatman,MDA,MF,Sheriff Tiraspol,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Conor Hazard,NIR,GK,HJK,24,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Thorgan Hazard,BEL,MF,PSV Eindhoven,29,1993,1,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Frederik Hedegaard,DEN,FW,Midtjylland,19,2003,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Gustavo Henrique,BRA,DF,Fenerbahçe,29,1993,5,5,420,4.7,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.2,0,13,3,0.21,0.00,0.21,0.21,0.21,0.25,0.01,0.26,0.25,0.26
Luiz Henrique,BRA,"FW,MF",Betis,21,2001,7,4,436,4.8,2,2,4,2,0,0,0,0,1.4,1.4,0.4,1.8,11,7,43,0.41,0.41,0.83,0.41,0.83,0.28,0.09,0.37,0.28,0.37
Heron,BRA,"FW,MF",Sheriff Tiraspol,21,2000,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Përparim Hetemaj,FIN,MF,HJK,35,1986,5,4,279,3.1,2,0,2,2,0,0,2,0,0.8,0.8,0.4,1.2,2,14,16,0.65,0.00,0.65,0.65,0.65,0.24,0.13,0.37,0.24,0.37
Stefan Hierländer,AUT,MF,Sturm Graz,31,1991,4,4,279,3.1,0,0,0,0,0,0,3,1,0.1,0.1,0.3,0.4,2,11,6,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
Piero Hincapié,ECU,DF,Leverkusen,20,2002,8,8,741,8.2,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,19,38,16,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Adam Hložek,CZE,FW,Leverkusen,20,2002,8,4,367,4.1,1,2,3,1,0,0,0,0,1.3,1.3,0.6,1.9,6,10,23,0.25,0.49,0.74,0.25,0.74,0.32,0.15,0.47,0.32,0.47
Selmin Hodza,SUI,FW,Zürich,19,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,1.51,0.00,1.51,1.51,1.51
Ki-Jana Hoever,NED,DF,PSV Eindhoven,20,2002,2,1,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,4,5,5,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.28,0.18,0.28
Nicolas Höfler,GER,MF,Freiburg,32,1990,7,7,626,7.0,1,0,1,1,0,0,3,0,0.4,0.4,0.3,0.7,4,45,3,0.14,0.00,0.14,0.14,0.14,0.05,0.05,0.10,0.05,0.10
Rob Holding,ENG,DF,Arsenal,26,1995,7,6,613,6.8,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,4,33,0,0.15,0.00,0.15,0.15,0.15,0.06,0.04,0.10,0.06,0.10
Lucas Höler,GER,FW,Freiburg,28,1994,3,3,231,2.6,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,0,2,11,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13
Marc Hornschuh,GER,MF,Zürich,31,1991,3,1,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
André Horta,POR,MF,Braga,25,1996,5,3,252,2.8,0,1,1,0,0,0,2,0,0.1,0.1,0.3,0.4,14,23,7,0.00,0.36,0.36,0.00,0.36,0.03,0.11,0.14,0.03,0.14
Ricardo Horta,POR,MF,Braga,27,1994,6,6,504,5.6,2,2,4,1,1,1,0,0,1.7,0.9,1.3,2.2,5,22,23,0.36,0.36,0.71,0.18,0.54,0.30,0.23,0.52,0.16,0.38
Tomi Horvat,SVN,MF,Sturm Graz,23,1999,6,5,428,4.8,0,1,1,0,0,1,0,0,1.2,0.4,0.9,1.3,13,28,27,0.00,0.21,0.21,0.00,0.21,0.26,0.19,0.45,0.09,0.28
Arttu Hoskonen,FIN,DF,HJK,25,1997,6,6,492,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,6,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Santeri Hostikka,FIN,"MF,FW",HJK,24,1997,6,6,410,4.6,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.2,12,19,24,0.00,0.22,0.22,0.00,0.22,0.10,0.17,0.27,0.10,0.27
Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,8,8,750,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Callum Hudson-Odoi,ENG,FW,Leverkusen,21,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,2.16,0.60,2.76,2.16,2.76
Vitor Hugo,BRA,DF,Trabzonspor,31,1991,5,3,292,3.2,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,1,7,0,0.31,0.00,0.31,0.31,0.31,0.04,0.00,0.04,0.04,0.04
Abbas Huseynov,AZE,DF,Qarabağ,27,1995,4,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Badavi Huseynov,AZE,DF,Qarabağ,31,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,11,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Elseid Hysaj,ALB,DF,Lazio,28,1994,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,16,39,18,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Marius Høibråten,NOR,DF,Bodø/Glimt,27,1995,6,5,451,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11,36,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04
Roger Ibanez,BRA,DF,Roma,23,1998,13,12,"1,114",12.4,0,0,0,0,0,0,5,0,1.7,1.7,0.2,2.0,8,25,1,0.00,0.00,0.00,0.00,0.00,0.15,0.02,0.17,0.15,0.17
Oussama Idrissi,MAR,FW,Feyenoord,26,1996,7,6,400,4.4,3,3,6,3,0,0,1,0,0.3,0.3,0.8,1.1,33,17,63,0.68,0.68,1.35,0.68,1.35,0.07,0.18,0.26,0.07,0.26
Borja Iglesias,ESP,FW,Betis,29,1993,6,0,148,1.6,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,2,1,9,0.00,0.61,0.61,0.00,0.61,0.15,0.64,0.79,0.15,0.79
Danila Ignatov,MDA,DF,Sheriff Tiraspol,21,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Iling-Junior,ENG,"DF,FW",Juventus,18,2003,4,1,160,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,9,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
Asier Illarramendi,ESP,MF,Real Sociedad,32,1990,4,3,241,2.7,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.3,7,18,11,0.00,0.37,0.37,0.00,0.37,0.02,0.08,0.10,0.02,0.10
Ciro Immobile,ITA,FW,Lazio,32,1990,4,4,312,3.5,1,2,3,0,1,1,1,0,2.4,1.6,0.4,2.0,4,6,20,0.29,0.58,0.87,0.00,0.58,0.69,0.11,0.80,0.47,0.57
Hwang In-beom,KOR,MF,Olympiacos,25,1996,3,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gonçalo Inácio,POR,DF,Sporting CP,20,2001,6,5,483,5.4,1,0,1,1,0,0,1,0,1.1,1.1,1.0,2.1,8,31,0,0.19,0.00,0.19,0.19,0.19,0.22,0.19,0.41,0.22,0.41
Hernani Infande,POR,MF,Braga,21,2001,1,0,32,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.5,3,0,4,0.00,0.00,0.00,0.00,0.00,0.45,1.08,1.53,0.45,1.53
Jo Inge Berget,NOR,"MF,FW",Malmö,31,1990,4,4,279,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,1,11,15,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.15,0.05,0.15
Sandro Ingolitsch,AUT,DF,Sturm Graz,25,1997,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gustav Isaksen,DEN,FW,Midtjylland,21,2001,8,8,689,7.7,3,2,5,3,0,0,2,0,1.2,0.7,1.2,2.0,27,13,66,0.39,0.26,0.65,0.39,0.65,0.16,0.16,0.32,0.10,0.26
Mirko Ivanić,MNE,"MF,FW",Red Star,28,1993,4,3,300,3.3,0,1,1,0,0,0,0,0,0.6,0.6,0.4,1.0,6,22,27,0.00,0.30,0.30,0.00,0.30,0.17,0.12,0.29,0.17,0.29
Paul Jaeckel,GER,DF,Union Berlin,24,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
Alireza Jahanbakhsh,IRN,FW,Feyenoord,28,1993,9,7,613,6.8,3,1,4,3,0,0,1,0,1.0,1.0,0.8,1.8,21,31,66,0.44,0.15,0.59,0.44,0.59,0.15,0.11,0.26,0.15,0.26
Ismail Jakobs,SEN,"FW,MF",Monaco,22,1999,6,0,103,1.1,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,7,5,25,0.00,0.87,0.87,0.00,0.87,0.51,0.82,1.33,0.51,1.33
Marko Janković,MNE,MF,Qarabağ,27,1995,5,3,302,3.4,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,4,26,7,0.30,0.00,0.30,0.30,0.30,0.04,0.00,0.04,0.04,0.04
Jakob Jantscher,AUT,FW,Sturm Graz,33,1989,3,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.12,0.34,0.47,0.12,0.47
Oliver Jensen,DEN,"MF,FW",Midtjylland,20,2002,5,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Victor Jensen,DEN,DF,Midtjylland,18,2003,2,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Gabriel Jesus,BRA,FW,Arsenal,25,1997,6,3,254,2.8,0,1,1,0,0,0,1,0,1.2,1.2,1.4,2.6,8,7,25,0.00,0.35,0.35,0.00,0.35,0.43,0.49,0.93,0.43,0.93
Joaquín,ESP,"FW,MF",Betis,41,1981,7,7,399,4.4,1,0,1,1,0,0,1,0,0.2,0.2,0.8,1.0,14,20,24,0.23,0.00,0.23,0.23,0.23,0.05,0.17,0.22,0.05,0.22
Frenkie de Jong,NED,MF,Barcelona,25,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
Luuk de Jong,NED,FW,PSV Eindhoven,31,1990,5,3,256,2.8,2,1,3,2,0,0,0,0,1.0,1.0,0.7,1.7,0,6,13,0.70,0.35,1.05,0.70,1.05,0.35,0.25,0.60,0.35,0.60
Joan Jordán,ESP,MF,Sevilla,28,1994,5,2,234,2.6,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,2,10,2,0.38,0.00,0.38,0.38,0.38,0.01,0.00,0.01,0.01,0.01
Jorginho,ITA,MF,Arsenal,30,1991,2,2,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Willian José,BRA,FW,Betis,30,1991,8,6,515,5.7,2,0,2,1,1,1,0,0,1.7,0.9,0.6,1.5,6,9,35,0.35,0.00,0.35,0.17,0.17,0.30,0.10,0.40,0.16,0.26
Juanmi,ESP,FW,Betis,29,1993,3,3,174,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,3,6,5,0.00,0.52,0.52,0.00,0.52,0.36,0.25,0.61,0.36,0.61
Juninho,BRA,DF,Midtjylland,26,1995,5,1,196,2.2,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,3,9,1,0.46,0.00,0.46,0.46,0.46,0.24,0.05,0.28,0.24,0.28
Mauro Júnior,BRA,"DF,FW",PSV Eindhoven,23,1999,3,0,52,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.2,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.39
Armel Junior Zohouri,CIV,DF,Sheriff Tiraspol,21,2001,5,5,391,4.3,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,4,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Josip Juranović,CRO,DF,Union Berlin,26,1995,4,4,342,3.8,2,1,3,2,0,0,0,0,0.4,0.4,1.1,1.5,2,8,15,0.53,0.26,0.79,0.53,0.79,0.11,0.29,0.40,0.11,0.40
Sory Kaba,GUI,"FW,MF",Midtjylland,27,1995,5,3,276,3.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,3,8,20,0.33,0.00,0.33,0.33,0.33,0.17,0.03,0.20,0.17,0.20
Vladyslav Kabayev,UKR,"FW,MF",Dynamo Kyiv,26,1995,6,4,385,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,4,20,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Abdoul Kader Bamba,FRA,FW,Nantes,28,1994,4,1,109,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,6,8,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16
Ferdi Kadioglu,TUR,DF,Fenerbahçe,22,1999,6,5,469,5.2,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,17,9,33,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.16,0.07,0.16
İrfan Kahveci,TUR,"MF,FW",Fenerbahçe,27,1995,7,3,304,3.4,1,1,2,1,0,0,2,0,0.3,0.3,0.9,1.2,8,28,14,0.30,0.30,0.59,0.30,0.59,0.09,0.26,0.36,0.09,0.36
Andronikos Kakoulli,CYP,FW,AC Omonia,21,2001,4,3,273,3.0,0,1,1,0,0,0,2,0,0.7,0.7,0.5,1.1,2,3,17,0.00,0.33,0.33,0.00,0.33,0.21,0.15,0.37,0.21,0.37
Arnaud Kalimuendo,FRA,FW,Rennes,20,2002,6,4,344,3.8,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,9,6,27,0.00,0.00,0.00,0.00,0.00,0.19,0.08,0.27,0.19,0.27
Alexios Kalogeropoulos,GRE,DF,Olympiacos,18,2004,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Aboubakar Kamara,MTN,FW,Olympiacos,27,1995,4,2,189,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,0,21,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Lindrit Kamberi,SUI,DF,Zürich,22,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,1,10,0,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14
Ismaël Kandouss,MAR,DF,Union SG,24,1997,10,10,828,9.2,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,12,41,4,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Guélor Kanga,GAB,MF,Red Star,31,1990,6,6,493,5.5,3,0,3,1,2,2,1,0,1.9,0.3,1.2,1.6,8,58,10,0.55,0.00,0.55,0.18,0.18,0.35,0.22,0.57,0.06,0.28
Kings Kangwa,ZAM,"MF,FW",Red Star,23,1999,4,1,174,1.9,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5,2,10,7,0.00,0.00,0.00,0.00,0.00,0.13,0.12,0.26,0.13,0.26
