Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Pablo Torre,ESP,"MF,FW",Girona,La Liga,20,2003,7.8,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8
Raúl Torrente,ESP,DF,Granada,La Liga,21,2001,13.9,764,738,25,19,0,3,2,2,0,0,0,0,605,1,2
Ferrán Torres,ESP,FW,Barcelona,La Liga,23,2000,13.5,450,422,22,1,3,3,21,4,10,1,5,0,351,6,18
Óliver Torres,ESP,MF,Sevilla,La Liga,28,1994,18.0,883,838,40,13,2,5,44,9,12,6,3,0,714,5,19
Pau Torres,ESP,DF,Aston Villa,Premier League,26,1997,27.4,1788,1663,120,79,1,26,8,5,0,0,0,0,1562,5,9
Lucas Torró,ESP,MF,Osasuna,La Liga,29,1994,19.9,798,785,12,12,0,6,3,0,0,0,0,0,604,1,8
Fabio Torsiello,ITA,"FW,DF",Darmstadt 98,Bundesliga,18,2005,1.7,27,23,4,1,0,0,2,2,0,0,0,0,21,0,0
Ahmed Touba,ALG,DF,Lecce,Serie A,25,1998,3.1,137,125,12,3,0,0,0,0,0,0,0,0,115,0,1
Abdoulaye Touré,GUI,MF,Le Havre,Ligue 1,29,1994,25.4,1238,1219,14,9,1,6,4,3,0,0,0,0,1031,5,19
Souleymane Touré,FRA,DF,Lorient,Ligue 1,20,2003,22.8,1280,1215,61,28,1,3,5,2,0,0,0,0,1144,4,8
Lucas Tousart,FRA,MF,Union Berlin,Bundesliga,26,1997,17.5,523,514,6,3,3,2,9,0,0,0,0,0,389,3,17
Andros Townsend,ENG,"MF,FW",Luton Town,Premier League,32,1991,13.4,432,402,28,4,1,10,74,7,8,7,0,0,304,2,22
James Trafford,ENG,GK,Burnley,Premier League,20,2002,28.0,1541,1203,327,129,1,5,0,0,0,0,0,0,1009,11,5
